# Output table from Spectronaut filtered for the comparison of Geriatric to Young mouse crypts isolated from duodenum only. Related to Figure 3 and S3.,,,,,,,,,,
,,,,,,,,,,
Comparison (group1/group2),Group,Genes,ProteinDescriptions,ProteinNames,# Unique Peptides,AVG Log Ratio,Absolute AVG Log Ratio,% Change,Ratio,Qvalue
ger duo / young duo,P02301;P84244,H3f3c;H3f3a,Histone H3.3C;Histone H3.3,H3C_MOUSE;H33_MOUSE,1,-0.61965239,0.61965239,-34.91722778,0.650827722,0.000521165
ger duo / young duo,Q99NF1,Bco2,"Beta,beta-carotene 9',10'-oxygenase",BCDO2_MOUSE,14,-0.621212423,0.621212423,-34.98756583,0.650124342,0.035162234
ger duo / young duo,Q791V5,Mtch2,Mitochondrial carrier homolog 2,MTCH2_MOUSE,14,-0.624220729,0.624220729,-35.12298844,0.648770116,7.13E-05
ger duo / young duo,Q9WV85,Nme3,Nucleoside diphosphate kinase 3,NDK3_MOUSE,6,-0.628064871,0.628064871,-35.29562678,0.647043732,0.000813532
ger duo / young duo,P97872,Fmo5,Dimethylaniline monooxygenase [N-oxide-forming] 5,FMO5_MOUSE,28,-0.630998909,0.630998909,-35.42708367,0.645729163,0.000470786
ger duo / young duo,Q3UGR5,Hdhd2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,HDHD2_MOUSE,6,-0.631795704,0.631795704,-35.4627372,0.645372628,0.017844012
ger duo / young duo,Q8BHC4,Dcakd,Dephospho-CoA kinase domain-containing protein,DCAKD_MOUSE,11,-0.634620488,0.634620488,-35.58897693,0.644110231,0.003196629
ger duo / young duo,P61620,Sec61a1,Protein transport protein Sec61 subunit alpha isoform 1,S61A1_MOUSE,16,-0.635527194,0.635527194,-35.62944529,0.643705547,0.001557326
ger duo / young duo,Q9JI78,Ngly1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NGLY1_MOUSE,6,-0.637100935,0.637100935,-35.69962462,0.643003754,0.039694
ger duo / young duo,P58021,Tm9sf2,Transmembrane 9 superfamily member 2,TM9S2_MOUSE,21,-0.637798369,0.637798369,-35.73070148,0.642692985,0.000255817
ger duo / young duo,Q9ET30,Tm9sf3,Transmembrane 9 superfamily member 3,TM9S3_MOUSE,19,-0.639214754,0.639214754,-35.79376776,0.642062322,3.54E-06
ger duo / young duo,O35972,Mrpl23,"39S ribosomal protein L23, mitochondrial",RM23_MOUSE,7,-0.642673016,0.642673016,-35.94749119,0.640525088,0.005223131
ger duo / young duo,Q9CXD6,Mcur1,Mitochondrial calcium uniporter regulator 1,MCUR1_MOUSE,6,-0.646277845,0.646277845,-36.10733795,0.638926621,0.000874337
ger duo / young duo,Q8BXK9,Clic5,Chloride intracellular channel protein 5,CLIC5_MOUSE,18,-0.647969544,0.647969544,-36.18221435,0.638177857,0.037134577
ger duo / young duo,Q6PEM6,Gramd3,GRAM domain-containing protein 3,GRAM3_MOUSE,10,-0.652510941,0.652510941,-36.38278773,0.636172123,0.017542546
ger duo / young duo,Q8K1A5,Tmem41b,Transmembrane protein 41B,TM41B_MOUSE,4,-0.654794037,0.654794037,-36.48338373,0.635166163,0.000536098
ger duo / young duo,Q9DB73,Cyb5r1,NADH-cytochrome b5 reductase 1,NB5R1_MOUSE,5,-0.657658815,0.657658815,-36.60938435,0.633906156,0.021094732
ger duo / young duo,Q60692,Psmb6,Proteasome subunit beta type-6,PSB6_MOUSE,8,-0.658188641,0.658188641,-36.6326601,0.633673399,0.004703718
ger duo / young duo,Q91V01,Lpcat3,Lysophospholipid acyltransferase 5,MBOA5_MOUSE,8,-0.659472108,0.659472108,-36.68900861,0.633109914,0.046045963
ger duo / young duo,Q921L3,Tmco1,Transmembrane and coiled-coil domain-containing protein 1,TMCO1_MOUSE,5,-0.660898149,0.660898149,-36.75155784,0.632484422,0.025947806
ger duo / young duo,Q9D483,Polr3c,DNA-directed RNA polymerase III subunit RPC3,RPC3_MOUSE,3,-0.661038578,0.661038578,-36.757714,0.63242286,0.021414982
ger duo / young duo,Q8CIF6,Sidt2,SID1 transmembrane family member 2,SIDT2_MOUSE,6,-0.661194563,0.661194563,-36.76455144,0.632354486,0.027073562
ger duo / young duo,Q99LC9,Pex6,Peroxisome assembly factor 2,PEX6_MOUSE,17,-0.663237691,0.663237691,-36.85404136,0.631459586,0.003009605
ger duo / young duo,Q64012,Raly,RNA-binding protein Raly,RALY_MOUSE,20,-0.665744722,0.665744722,-36.96367743,0.630363226,1.34E-05
ger duo / young duo,Q0VG18,Smim24,Small integral membrane protein 24,SIM24_MOUSE,8,-0.668824255,0.668824255,-37.09808936,0.629019106,0.009650798
ger duo / young duo,Q80XL6,Acad11,Acyl-CoA dehydrogenase family member 11,ACD11_MOUSE,36,-0.672970891,0.672970891,-37.27862427,0.627213757,1.46E-06
ger duo / young duo,Q8BJ03,Cox15,Cytochrome c oxidase assembly protein COX15 homolog,COX15_MOUSE,8,-0.673332036,0.673332036,-37.29432311,0.627056769,0.019944694
ger duo / young duo,Q9CZP5,Bcs1l,Mitochondrial chaperone BCS1,BCS1_MOUSE,10,-0.674952149,0.674952149,-37.36470065,0.626352994,0.000600095
ger duo / young duo,Q9WVD5,Slc25a15,Mitochondrial ornithine transporter 1,ORNT1_MOUSE,18,-0.675186932,0.675186932,-37.37489302,0.62625107,0.000112534
ger duo / young duo,Q64464,Cyp3a13,Cytochrome P450 3A13,CP3AD_MOUSE,38,-0.675348997,0.675348997,-37.38192761,0.626180724,5.01E-06
ger duo / young duo,Q6PFR5,Tra2a,Transformer-2 protein homolog alpha,TRA2A_MOUSE,7,-0.687906325,0.687906325,-37.92459496,0.62075405,0.016616993
ger duo / young duo,O09158,Cyp3a25,Cytochrome P450 3A25,CP3AP_MOUSE,25,-0.692376435,0.692376435,-38.11663446,0.618833655,0.012542145
ger duo / young duo,Q6DIA2,Exoc3l4,Exocyst complex component 3-like protein 4,EX3L4_MOUSE,18,-0.69396925,0.69396925,-38.18491941,0.618150806,0.017499281
ger duo / young duo,Q3TRM4,Pnpla6,Neuropathy target esterase,PLPL6_MOUSE,21,-0.698610902,0.698610902,-38.38348045,0.616165195,0.001915665
ger duo / young duo,Q9DAS9,Gng12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,GBG12_MOUSE,8,-0.69997704,0.69997704,-38.44179968,0.615582003,0.004368901
ger duo / young duo,P62077,Timm8b,Mitochondrial import inner membrane translocase subunit Tim8 B,TIM8B_MOUSE,7,-0.711614728,0.711614728,-38.93636949,0.610636305,0.026883659
ger duo / young duo,Q61263,Soat1,Sterol O-acyltransferase 1,SOAT1_MOUSE,8,-0.716770828,0.716770828,-39.15421748,0.608457825,0.000457842
ger duo / young duo,Q64462,Cyp4b1,Cytochrome P450 4B1,CP4B1_MOUSE,26,-0.717712879,0.717712879,-39.19393561,0.608060644,0.030291134
ger duo / young duo,Q64310,Surf4,Surfeit locus protein 4,SURF4_MOUSE,5,-0.723277211,0.723277211,-39.42800689,0.605719931,0.005523881
ger duo / young duo,Q9D869,Chp2,Calcineurin B homologous protein 2,CHP2_MOUSE,11,-0.724149287,0.724149287,-39.46461019,0.605353898,0.000903721
ger duo / young duo,Q99LR1,Abhd12,Monoacylglycerol lipase ABHD12,ABD12_MOUSE,16,-0.732610524,0.732610524,-39.81860406,0.601813959,2.58E-05
ger duo / young duo,Q9D6Z0,Alkbh7,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",ALKB7_MOUSE,3,-0.733313024,0.733313024,-39.84790142,0.601520986,0.010464555
ger duo / young duo,Q9D7Z6,Clca1,Calcium-activated chloride channel regulator 1,CLCA1_MOUSE,50,-0.736992419,0.736992419,-40.00111559,0.599988844,1.62E-19
ger duo / young duo,P48281,Vdr,Vitamin D3 receptor,VDR_MOUSE,7,-0.738044262,0.738044262,-40.04484376,0.599551562,0.000128385
ger duo / young duo,Q80UU9,Pgrmc2,Membrane-associated progesterone receptor component 2,PGRC2_MOUSE,12,-0.739180565,0.739180565,-40.09204736,0.599079526,0.000706501
ger duo / young duo,P46412,Gpx3,Glutathione peroxidase 3,GPX3_MOUSE,4,-0.7418589,0.7418589,-40.20316212,0.597968379,0.01128486
ger duo / young duo,Q9DBW0,Cyp4v2,Cytochrome P450 4V2,CP4V2_MOUSE,23,-0.743320763,0.743320763,-40.26372276,0.597362772,0.00884509
ger duo / young duo,Q9Z0R9,Fads2,Fatty acid desaturase 2,FADS2_MOUSE,7,-0.74359417,0.74359417,-40.27504237,0.597249576,0.003167657
ger duo / young duo,P61022,Chp1,Calcineurin B homologous protein 1,CHP1_MOUSE,13,-0.746428549,0.746428549,-40.39226536,0.596077346,3.34E-09
ger duo / young duo,Q9D023,Mpc2,Mitochondrial pyruvate carrier 2,MPC2_MOUSE,8,-0.750663579,0.750663579,-40.5669872,0.594330128,0.000493602
ger duo / young duo,Q8K211,Slc31a1,High affinity copper uptake protein 1,COPT1_MOUSE,2,-0.752064407,0.752064407,-40.62466747,0.593753325,0.041795792
ger duo / young duo,Q8C3K6,Slc5a1,Sodium/glucose cotransporter 1,SC5A1_MOUSE,21,-0.759364724,0.759364724,-40.92435931,0.590756407,0.001512514
ger duo / young duo,Q9CYH2,Fam213a,Redox-regulatory protein FAM213A,F213A_MOUSE,17,-0.762807608,0.762807608,-41.06517081,0.589348292,1.29E-05
ger duo / young duo,Q8BK08,Tmem11,"Transmembrane protein 11, mitochondrial",TMM11_MOUSE,5,-0.764772058,0.764772058,-41.14536498,0.58854635,8.20E-05
ger duo / young duo,Q8BFV2,Pcid2,PCI domain-containing protein 2,PCID2_MOUSE,5,-0.766170859,0.766170859,-41.20240134,0.587975987,0.040597572
ger duo / young duo,Q6T3U4,Npc1l1,Niemann-Pick C1-like protein 1,NPCL1_MOUSE,30,-0.769711852,0.769711852,-41.34653892,0.586534611,8.63E-06
ger duo / young duo,O88908,Soat2,Sterol O-acyltransferase 2,SOAT2_MOUSE,12,-0.76999557,0.76999557,-41.35807248,0.586419275,7.57E-06
ger duo / young duo,Q8JZQ5,Aoc1,Amiloride-sensitive amine oxidase [copper-containing],AOC1_MOUSE,28,-0.773220539,0.773220539,-41.48901295,0.58510987,2.70E-11
ger duo / young duo,Q8CHT0,Aldh4a1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",AL4A1_MOUSE,15,-0.777923107,0.777923107,-41.67942322,0.583205768,0.038047932
ger duo / young duo,Q9CYW4,Hdhd3,Haloacid dehalogenase-like hydrolase domain-containing protein 3,HDHD3_MOUSE,16,-0.779505372,0.779505372,-41.74335081,0.582566492,2.67E-05
ger duo / young duo,Q3U9N9,Slc16a10,Monocarboxylate transporter 10,MOT10_MOUSE,4,-0.782515883,0.782515883,-41.86478981,0.581352102,0.036903992
ger duo / young duo,P15208,Insr,Insulin receptor,INSR_MOUSE,16,-0.782700598,0.782700598,-41.87223265,0.581277673,0.045248226
ger duo / young duo,Q9EP75,Cyp4f14,Leukotriene-B4 omega-hydroxylase 3,CP4FE_MOUSE,26,-0.786314428,0.786314428,-42.0176556,0.579823444,9.64E-06
ger duo / young duo,Q99J56,Derl1,Derlin-1,DERL1_MOUSE,4,-0.806775928,0.806775928,-42.8342052,0.571657948,0.020561513
ger duo / young duo,Q91VE0,Slc27a4,Long-chain fatty acid transport protein 4,S27A4_MOUSE,51,-0.806964934,0.806964934,-42.84169396,0.57158306,1.65E-08
ger duo / young duo,Q5XKN4,Jagn1,Protein jagunal homolog 1,JAGN1_MOUSE,4,-0.811354399,0.811354399,-43.01533639,0.569846636,0.042431023
ger duo / young duo,Q64362,Aktip,AKT-interacting protein,AKTIP_MOUSE,3,-0.822487712,0.822487712,-43.45339602,0.56546604,0.037513385
ger duo / young duo,Q9CQ69,Uqcrq,Cytochrome b-c1 complex subunit 8,QCR8_MOUSE,12,-0.823446512,0.823446512,-43.49096382,0.565090362,3.54E-05
ger duo / young duo,Q9CXJ4,Abcb8,"ATP-binding cassette sub-family B member 8, mitochondrial",ABCB8_MOUSE,15,-0.827067912,0.827067912,-43.63263282,0.563673672,4.45E-05
ger duo / young duo,Q9D7S7,Rpl22l1,60S ribosomal protein L22-like 1,RL22L_MOUSE,6,-0.836215675,0.836215675,-43.98891326,0.560110867,0.004947968
ger duo / young duo,Q99L43,Cds2,Phosphatidate cytidylyltransferase 2,CDS2_MOUSE,3,-0.836684465,0.836684465,-44.00711059,0.559928894,0.01846403
ger duo / young duo,Q9Z261,Cldn7,Claudin-7,CLD7_MOUSE,2,-0.83701241,0.83701241,-44.01983711,0.559801629,0.0122932
ger duo / young duo,Q3UZZ4,Olfm4,Olfactomedin-4,OLFM4_MOUSE,12,-0.841334939,0.841334939,-44.18731099,0.55812689,6.74E-07
ger duo / young duo,Q8CGA3,Slc43a2,Large neutral amino acids transporter small subunit 4,LAT4_MOUSE,8,-0.843684673,0.843684673,-44.27813979,0.557218602,0.019696009
ger duo / young duo,P35230,Reg3b,Regenerating islet-derived protein 3-beta,REG3B_MOUSE,8,-0.846103787,0.846103787,-44.37149603,0.55628504,0.036954001
ger duo / young duo,Q9D816,Cyp2c55,Cytochrome P450 2C55,CP255_MOUSE,15,-0.850740135,0.850740135,-44.54998079,0.554500192,0.033654703
ger duo / young duo,Q9R092,Hsd17b6,17-beta-hydroxysteroid dehydrogenase type 6,H17B6_MOUSE,10,-0.853402555,0.853402555,-44.65221661,0.553477834,0.026502022
ger duo / young duo,O09049,Reg3g,Regenerating islet-derived protein 3-gamma,REG3G_MOUSE,7,-0.855164826,0.855164826,-44.71978338,0.552802166,0.011539544
ger duo / young duo,Q80XL7,Mppe1,Metallophosphoesterase 1,MPPE1_MOUSE,1,-0.86532861,0.86532861,-45.10786379,0.548921362,0.044203538
ger duo / young duo,P48410,Abcd1,ATP-binding cassette sub-family D member 1,ABCD1_MOUSE,18,-0.866974175,0.866974175,-45.1704391,0.548295609,7.55E-05
ger duo / young duo,Q9D9M2,Usp12,Ubiquitin carboxyl-terminal hydrolase 12,UBP12_MOUSE,3,-0.885653019,0.885653019,-45.87575197,0.54124248,0.022935968
ger duo / young duo,Q9CR76,Tmem186,Transmembrane protein 186,TM186_MOUSE,7,-0.909646392,0.909646392,-46.76844529,0.532315547,0.023917775
ger duo / young duo,Q8BLX4,Slc35c1,GDP-fucose transporter 1,FUCT1_MOUSE,2,-0.911914051,0.911914051,-46.85205006,0.531479499,0.018478367
ger duo / young duo,O35083,Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,PLCA_MOUSE,8,-0.918359458,0.918359458,-47.08896509,0.529110349,0.00053322
ger duo / young duo,Q9D2V8,Mfsd10,Major facilitator superfamily domain-containing protein 10,MFS10_MOUSE,4,-0.958788812,0.958788812,-48.55113385,0.514488661,0.000435981
ger duo / young duo,Q9JI48,Plac8,Placenta-specific gene 8 protein,PLAC8_MOUSE,3,-0.99245137,0.99245137,-49.73769879,0.502623012,0.008612478
ger duo / young duo,P03921,Mtnd5,NADH-ubiquinone oxidoreductase chain 5,NU5M_MOUSE,8,-0.998884916,0.998884916,-49.96133921,0.500386608,0.000388762
ger duo / young duo,Q9R0Q3,Tmed2,Transmembrane emp24 domain-containing protein 2,TMED2_MOUSE,10,-1.011994004,1.011994004,-50.41395739,0.495860426,0.000138127
ger duo / young duo,P46978,Stt3a,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A_MOUSE,21,-1.033697009,1.033697009,-51.15431619,0.488456838,2.17E-08
ger duo / young duo,P03911,Mtnd4,NADH-ubiquinone oxidoreductase chain 4,NU4M_MOUSE,6,-1.038611889,1.038611889,-51.32043737,0.486795626,0.008441025
ger duo / young duo,P27784,Ccl6,C-C motif chemokine 6,CCL6_MOUSE,12,-1.04008007,1.04008007,-51.3699517,0.486300483,1.55E-05
ger duo / young duo,P60603,Romo1,Reactive oxygen species modulator 1,ROMO1_MOUSE,2,-1.045183063,1.045183063,-51.54165839,0.484583416,0.038503528
ger duo / young duo,P00397,Mtco1,Cytochrome c oxidase subunit 1,COX1_MOUSE,2,-1.046061754,1.046061754,-51.57116357,0.484288364,0.023131418
ger duo / young duo,G3X939,Slc9a3,Sodium/hydrogen exchanger 3,SL9A3_MOUSE,10,-1.063664436,1.063664436,-52.15846569,0.478415343,0.009937781
ger duo / young duo,Q9D8B4,Ndufa11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUAB_MOUSE,9,-1.065219879,1.065219879,-52.21001828,0.477899817,0.001047878
ger duo / young duo,Q6DYE8,Enpp3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3_MOUSE,25,-1.084935904,1.084935904,-52.85867884,0.471413212,1.11E-07
ger duo / young duo,Q8VDP6,Cdipt,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,CDIPT_MOUSE,3,-1.089857697,1.089857697,-53.01922874,0.469807713,0.00697595
ger duo / young duo,Q99PE8,Abcg5,ATP-binding cassette sub-family G member 5,ABCG5_MOUSE,15,-1.09415257,1.09415257,-53.15888152,0.468411185,0.000118593
ger duo / young duo,Q9EQX0,Ghrl,Appetite-regulating hormone,GHRL_MOUSE,5,-1.099838257,1.099838257,-53.34311993,0.466568801,0.021138736
ger duo / young duo,Q91YX5,Lpgat1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,LGAT1_MOUSE,12,-1.111531258,1.111531258,-53.71974424,0.462802558,8.92E-06
ger duo / young duo,Q8C172,Cers6,Ceramide synthase 6,CERS6_MOUSE,7,-1.129504442,1.129504442,-54.29272999,0.4570727,0.033332486
ger duo / young duo,P62305,Snrpe,Small nuclear ribonucleoprotein E,RUXE_MOUSE,6,-1.130162597,1.130162597,-54.3135768,0.456864232,0.016149327
ger duo / young duo,Q3U3R4,Lmf1,Lipase maturation factor 1,LMF1_MOUSE,4,-1.139350533,1.139350533,-54.60361047,0.453963895,0.038177648
ger duo / young duo,Q78IK2,Usmg5,Up-regulated during skeletal muscle growth protein 5,USMG5_MOUSE,4,-1.139994264,1.139994264,-54.62386181,0.453761382,8.29E-05
ger duo / young duo,P17879,Hspa1b,Heat shock 70 kDa protein 1B,HS71B_MOUSE,24,-1.145536423,1.145536423,-54.79784131,0.452021587,1.40E-06
ger duo / young duo,Q9Z1K8,Slc7a7,Y+L amino acid transporter 1,YLAT1_MOUSE,4,-1.158511281,1.158511281,-55.20254374,0.447974563,0.005708305
ger duo / young duo,Q9JIL4,Pdzk1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,NHRF3_MOUSE,42,-1.164976001,1.164976001,-55.40283216,0.445971678,9.12E-05
ger duo / young duo,Q78KK3,Slc22a18,Solute carrier family 22 member 18,S22AI_MOUSE,5,-1.222288132,1.222288132,-57.13975897,0.42860241,0.004745055
ger duo / young duo,Q8C0N2,Agpat9,Glycerol-3-phosphate acyltransferase 3,GPAT3_MOUSE,17,-1.22903192,1.22903192,-57.33963899,0.42660361,2.13E-06
ger duo / young duo,P63030,Mpc1,Mitochondrial pyruvate carrier 1,MPC1_MOUSE,4,-1.235890031,1.235890031,-57.54195144,0.424580486,0.021620267
ger duo / young duo,Q9CQU3,Rer1,Protein RER1,RER1_MOUSE,3,-1.296292424,1.296292424,-59.28287576,0.407171242,0.004141784
ger duo / young duo,P61804,Dad1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,DAD1_MOUSE,6,-1.31495595,1.31495595,-59.80622323,0.401937768,0.000100027
ger duo / young duo,P84228,Hist1h3b,Histone H3.2,H32_MOUSE,3,-1.321379423,1.321379423,-59.9847847,0.400152153,3.00E-05
ger duo / young duo,Q8CHK3,Mboat7,Lysophospholipid acyltransferase 7,MBOA7_MOUSE,4,-1.34695363,1.34695363,-60.68787189,0.393121281,0.00055776
ger duo / young duo,Q8K353,Cystm1,Cysteine-rich and transmembrane domain-containing protein 1,CYTM1_MOUSE,2,-1.357578874,1.357578874,-60.97633655,0.390236635,0.000506528
ger duo / young duo,Q9D1Q4,Dpm3,Dolichol-phosphate mannosyltransferase subunit 3,DPM3_MOUSE,2,-1.367926359,1.367926359,-61.25522582,0.387447742,0.012159814
ger duo / young duo,Q9Z175,Loxl3,Lysyl oxidase homolog 3,LOXL3_MOUSE,2,-1.416035771,1.416035771,-62.52593913,0.374740609,0.010973185
ger duo / young duo,Q80W94,Mogat2,2-acylglycerol O-acyltransferase 2,MOGT2_MOUSE,14,-1.488021731,1.488021731,-64.34989407,0.356501059,1.15E-07
ger duo / young duo,Q9CR67,Tmem33,Transmembrane protein 33,TMM33_MOUSE,3,-1.488457084,1.488457084,-64.36065034,0.356393497,0.000126482
ger duo / young duo,P01844,Iglc2,Ig lambda-2 chain C region,LAC2_MOUSE,5,-1.496215582,1.496215582,-64.55179653,0.354482035,0.029638159
ger duo / young duo,O55234,Psmb5,Proteasome subunit beta type-5,PSB5_MOUSE,16,-1.515176058,1.515176058,-65.01462303,0.34985377,8.82E-06
ger duo / young duo,P00416,mt-Co3,Cytochrome c oxidase subunit 3,COX3_MOUSE,1,-1.568014026,1.568014026,-66.27276453,0.337272355,0.036137153
ger duo / young duo,Q8R1J1,Tm6sf2,Transmembrane 6 superfamily member 2,TM6S2_MOUSE,4,-1.570991397,1.570991397,-66.34229756,0.336577024,0.004958954
ger duo / young duo,P97858,Slc35b1,Solute carrier family 35 member B1,S35B1_MOUSE,3,-1.605700612,1.605700612,-67.14239142,0.328576086,0.032642282
ger duo / young duo,Q8BTJ4,Enpp4,Bis(5'-adenosyl)-triphosphatase enpp4,ENPP4_MOUSE,1,-1.929452658,1.929452658,-73.74712475,0.262528752,0.013046023
ger duo / young duo,D3Z6P0,Pdia2,Protein disulfide-isomerase A2,PDIA2_MOUSE,7,-3.171530962,3.171530962,-88.90125053,0.110987495,0.031886709
