Protein IDs,Majority protein IDs,Protein names,Gene names,function_annotation,Average Conc. (pmol/mg)_OLD Hippocampus,SD,Average Conc. (pmol/mg)_YOUNG Hippocampus,SD,t test OC/YC Hippocampus,rationO/Y Hippocampus,Average Conc. (pmol/mg)_OLD Cortex,SD,Average Conc. (pmol/mg)_YOUNG Cortex,SD,t test OC/YC Cortex,rationO/Y Cortex,Average Conc. (pmol/mg)_OLD Cerebellum,SD,Average Conc. (pmol/mg)_YOUNG Cerebellum,SD,t test OC/YC Cerebellum,rationO/Y Cerebellum
Q61327,Q61327,Sodium-dependent dopamine transporter,Slc6a3,,0,0,0,0,,,0.151054676,0.096520564,0.152502468,0.178023769,0.987017394,0.990506435,0,0,0,0,,
Q64133,Q64133,Amine oxidase [flavin-containing] A,Maoa,,2.134651373,0.355064985,2.817411892,0.521259613,0.041808236,0.757663932,2.572843003,0.373405253,3.811316875,1.051251084,0.038777251,0.675053554,4.437304774,1.048845856,5.170894521,0.574524283,0.200787642,0.858130978
Q8BW75;E9Q3X6;E9PVL9,Q8BW75,Amine oxidase [flavin-containing] B,Maob,,2.814769331,0.349064106,1.623725551,0.370417036,0.000790375,1.733525305,3.176068218,0.788028697,1.938247037,0.297784592,0.001042478,1.638629213,3.533496219,0.29306614,1.104654231,0.303436144,1.49367E-06,3.198735062
O88587;O88587-2;D3Z227,O88587;O88587-2;D3Z227,Catechol O-methyltransferase,Comt,,0.77358582,0.146737985,1.042721928,0.241733772,0.065983424,0.741890815,0.884730453,0.316428446,0.734937764,0.430094667,0.549186139,1.203816835,0.771135002,0.244246007,0.698481339,0.280524471,0.672092117,1.104016613
Q8CGV2,Q8CGV2,Tryptophan 5-hydroxylase 2,Tph2,,0.030918389,0.00838355,0.003740207,0.005342615,0.000285303,8.266492013,0.032745376,0.044286447,0.01506753,0.03369202,0.484925827,2.173241179,0.035922914,0.049920194,0.023165288,0.041533383,0.672075831,1.550721698
P24529;E9Q9G5;Q3UTB3;D3Z0B1;D6RGQ9;F6VPB5,P24529;E9Q9G5;Q3UTB3;D3Z0B1,Tyrosine 3-monooxygenase,Th,,,0,,0,,,,0.168282843,,0.092014786,,,,0.010344112,,0.010634978,,
O88533;Q5SUV9,O88533,Aromatic-L-amino-acid decarboxylase,Ddc,,0.437427867,0.076097819,0.218337567,0.07250382,0.001621491,2.003447572,0.548408534,0.274748478,0.600673012,0.300381728,0.779973011,0.912990135,0.279140384,0.156685224,0.145306956,0.151244609,0.190079631,1.921039375
O88444,O88444,Adenylate cyclase type 1,Adcy1,,0.082183665,0.025251974,0.185706027,0.039513133,0.001140197,0.442547104,0.105982202,0.050107901,0.587467111,0.285502384,0.005760773,0.180405337,0.277546611,0.058211807,0.629648156,0.196095201,0.005253046,0.440796353
Q3V1Q3;Q80TL1,Q3V1Q3;Q80TL1,Adenylate cyclase type 2,Adcy2,,0.41830601,0.055745738,0.474100265,0.120874461,0.376048714,0.882315495,0.295002969,0.023198119,0.463819397,0.134940382,0.024811435,0.636029823,0.161082223,0.113439452,0.16272122,0.118147997,0.981991269,0.989927581
Q8VHH7;B8JK56,Q8VHH7;B8JK56,Adenylate cyclase type 3,Adcy3,,0.004780322,0.006789581,0.023135297,0.011251482,0.014160023,0.206624644,0.01385749,0.004814435,0.082695913,0.018317543,3.92493E-05,0.167571644,0,0,0,0,,
P84309;P84309-2,P84309;P84309-2,Adenylate cyclase type 5,Adcy5,,0.160386304,0.015081509,0.182810959,0.025372807,0.127783371,0.877334184,0.49791858,0.288852707,1.030604975,0.426090361,0.05040321,0.483132327,0.102745445,0.030150545,0.078550169,0.020114107,0.144453781,1.308023217
Q01341;F8VQ52,Q01341;F8VQ52,Adenylate cyclase type 6,Adcy6,,0.008174967,0.003365429,0.016882758,0.005940909,0.021422848,0.484219857,0.009629515,0.00522701,0.031366746,0.01838655,0.031098381,0.306997572,0.001913402,0.002329954,0.003793373,0.002859183,0.310073168,0.504406587
P97490,P97490,Adenylate cyclase type 8,Adcy8,,0.027364541,0.013647842,0.06415682,0.031200161,0.042123285,0.426525829,0.028023509,0.015857218,0.044970486,0.025547851,0.238901624,0.62315335,0.152827006,0.114157898,0.113242434,0.068747852,0.461485429,1.349555999
P51830;E9Q706,P51830;E9Q706,Adenylate cyclase type 9,Adcy9,,,0.045830659,,0.043328656,,,,0.079549895,,0.186726254,,,,0.035899205,,0.013820166,,
Q62077;A2A4A6;G3UXP4;G3V016;F6SLL0,Q62077;A2A4A6,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1;Phosphoinositide phospholipase C",Plcg1,,0.338742137,0.050179413,0.34433054,0.035137035,0.843455499,0.983770239,0.335209484,0.046439279,0.575354136,0.124864575,0.004142609,0.58261419,0.250660772,0.033387008,0.246082638,0.042293218,0.866329693,1.01860405
Q8K2J0;F7AAE0,Q8K2J0;F7AAE0,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3;Phosphoinositide phospholipase C",Plcd3,,0.002482576,0.005551208,0,0,0.346593507,,0.021530294,0.012556246,0.022107475,0.01693735,0.954249605,0.973892052,0.055801341,0.018959922,0.031647196,0.026732994,0.164274531,1.76323179
Q91UZ1;V9GXQ9;A2AT91,Q91UZ1;V9GXQ9;A2AT91,Phosphoinositide phospholipase C,Plcb4,,0.015360432,0.003485215,0.011963129,0.004915641,0.242948271,1.2839812,0.108255105,0.025328166,0.22832099,0.069827276,0.011043334,0.474135579,1.946509614,1.238583896,2.310056656,0.557222553,0.264255424,0.842624188
Q8K4S1;S4R1Q8,Q8K4S1;S4R1Q8,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1;Phosphoinositide phospholipase C",Plce1,,0.002360507,0.005278254,0.003897318,0.005336977,0.659267534,0.605674708,0.003927714,0.008782635,0,0,0.346593507,,0.003189712,0,0.00024446,0.00054663,0.384150058,13.04797006
A2AP18-2;H3BIW6;F7C3A0;A2AP18-3;A2AP18;H3BK11;A0A087WSR3;F6UKG4;F7C512;Q4KWH5-5,A2AP18-2;H3BIW6;F7C3A0;A2AP18-3;A2AP18;H3BK11,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2;Phosphoinositide phospholipase C",Plch2,,0.542279969,0.108074651,0.600755611,0.032178016,0.279664748,0.902663177,0.289807241,0.129316836,0.44116395,0.07411123,0.032787751,0.656915056,0.10731757,0.035915524,0.166392445,0.022717956,0.021030192,0.6449666
P51432,P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",Plcb3,,0.082710102,0.019692292,0.071165236,0.021934787,0.406687426,1.162226211,0.083855288,0.031211523,0.15220263,0.010963378,0.001008896,0.550945062,0.478420133,0.119164155,0.629445618,0.224622635,0.212013764,0.760065873
P60879,P60879,Synaptosomal-associated protein 25,Snap25,,65.7540318,6.257710242,77.28406813,10.44146499,0.067038453,0.850809661,24.24279315,13.09948279,20.96428344,7.948697309,0.647787257,1.156385488,106.3125639,8.801866241,95.23936561,10.48055192,0.109147703,1.116267031
P60879-2,P60879-2,Synaptosomal-associated protein 25,Snap25,,0.289750502,0.1602091,0.309268813,0.12294766,0.834659878,0.936888851,0.428901306,0.185052656,0.957898112,0.29935407,0.012975039,0.447752534,0,0,0,0,,
P60879-2,P60879-2,Synaptosomal-associated protein 25,Snap25,,0.289750502,0.1602091,0.309268813,0.12294766,0.834659878,0.936888851,0.428901306,0.185052656,0.957898112,0.29935407,0.012975039,0.447752534,0,0,0,0,,
O09044;Q9D3L3;B0R030;B0R029;E9Q8A1,O09044;Q9D3L3;B0R030;B0R029;E9Q8A1,Synaptosomal-associated protein 23;Synaptosomal-associated protein,Snap23,,0.024311014,0.017008874,0.017741334,0.024762914,0.639614194,1.370303639,0.075957789,0.095016531,0.090839053,0.132155916,0.843624078,0.836179881,0.265372845,0.152151172,0.267307101,0.132164997,0.983413912,0.992763918
Q9ERB0,Q9ERB0,Synaptosomal-associated protein 29,Snap29,,0.21155568,0.097090444,0.387838626,0.175780977,0.095503634,0.545473466,0.248984025,0.177206664,0.524195417,0.154458406,0.031236741,0.474983217,0.209165663,0.170650771,0.264465846,0.110419016,0.562567559,0.790898585
Q8R570;B2FDF6;Q8R570-2;I7HFU4;I7HPB1;J3JS29;B2FDF7;I7HIK2,Q8R570;B2FDF6;Q8R570-2,Synaptosomal-associated protein 47,Snap47,,3.804343816,0.5235609,4.962680429,0.298270306,0.004478364,0.766590529,2.689786751,0.559395237,4.354786542,0.720041757,0.003989994,0.617662135,3.30784363,0.600434471,3.214765655,0.385382507,0.779182152,1.028953269
Q61548;Q61548-3;Q61548-2;E9Q9A3;E9QQ05;E9QLK9;Q3TWS4;A0A087WSI9,Q61548;Q61548-3;Q61548-2;E9Q9A3;E9QQ05;E9QLK9;Q3TWS4;A0A087WSI9,Clathrin coat assembly protein AP180,Snap91,,21.85525336,2.318512077,16.93166346,2.499708202,0.012163531,1.290791859,15.89995151,1.712684398,19.37021896,3.274392134,0.080208,0.820845213,13.96212551,0.864349275,13.60003842,3.348778942,0.825110724,1.026623975
O35526;D6RFB9,O35526;D6RFB9,Syntaxin-1A,Stx1a,t-SNARE,11.08822827,1.917479401,13.38584744,2.646440292,0.158220045,0.828354598,25.50930559,5.764736786,15.74058437,8.897764871,0.079176165,1.620607277,0.479486125,0.271693295,0.975171376,0.447801812,0.074558965,0.491694216
P61264,P61264,Syntaxin-1B,Stx1b,,48.33832189,5.438095592,47.36479398,2.14050532,0.724205153,1.02055383,56.87589753,4.926021116,30.09686637,8.058877181,0.000487148,1.88976144,53.89519447,4.718691516,49.96757003,11.76905601,0.517961507,1.078603471
Q00262;Q3TJ55;Q80W45;D3YY94,Q00262;Q3TJ55;Q80W45,Syntaxin-2,Stx2,,0,0,0,0,,,0.025180911,0.014671277,0,0,0.01849342,,0.064145732,0.041458897,0.01094432,0.016915154,0.042555193,5.86109818
P70452;D6RJ29,P70452,Syntaxin-4,Stx4,,0.36286583,0.045787184,0.160812298,0.054482802,0.000250025,2.256455724,0.212262293,0.075279382,0.088958594,0.082464928,0.038989377,2.386079687,0.743126527,0.27741462,0.427933508,0.236285293,0.090075526,1.736546716
Q8K1E0-2;H3BJ02;H3BKP3;H3BJ89,Q8K1E0-2;H3BJ02,Syntaxin-5,Stx5,,0.060456091,0.021528941,0.111836168,0.059649387,0.129502322,0.540577273,0.227089593,0.118673436,0.383768039,0.263638583,0.274593823,0.591736596,0.203939277,0.15188534,0.244624655,0.115996594,0.647643315,0.83368243
Q9JKK1;Q9JKK1-2;A0A0A6YXG0;A0A0A6YW23,Q9JKK1;Q9JKK1-2;A0A0A6YXG0,Syntaxin-6,Stx6,,0.841151334,0.109323815,1.257582838,0.105814893,0.000284316,0.66886356,1.037551446,0.383244882,1.241992332,0.233698604,0.344282233,0.835392796,0.703412388,0.125395148,0.84105585,0.223598674,0.273170991,0.836344445
Q8BH40;O70439,Q8BH40;O70439,Syntaxin-7,Stx7,,1.288011816,0.19231577,1.003393879,0.120291235,0.027468796,1.283655246,0.721492584,0.114184706,0.640536786,0.230544141,0.508683892,1.12638743,0.664086312,0.233064288,1.02864941,0.207294024,0.031315516,0.645590525
O88983;Q9D0J1,O88983,Syntaxin-8,Stx8,,0.46422743,0.074671701,0.490968047,0.125716934,0.695708396,0.945534914,0.199236083,0.026560597,0.621973379,0.827589533,0.317196001,0.320328955,0.29265316,0.05377609,0.746235648,0.531750309,0.129156648,0.39217258
Q9ER00,Q9ER00,Syntaxin-12,Stx12,,3.118885607,0.826475645,3.746636593,0.399393537,0.17900937,0.83244946,3.50537983,0.404293236,1.889637273,1.183350375,0.034863983,1.855054343,0.923207025,0.537082912,1.648756541,0.41306749,0.045526635,0.559941387
Q8BVI5;F7CJY7;F6X4N5;B7ZCB8;B7ZCB9,Q8BVI5;F7CJY7;F6X4N5;B7ZCB8,Syntaxin-16,Stx16,,0.314531395,0.113015101,0.415120386,0.160976514,0.289533916,0.757687182,0.286694196,0.182515687,0.683344758,0.219119469,0.015029962,0.419545468,0.757818748,0.316396954,0.560868551,0.128249757,0.250674147,1.35115215
Q8VDS8;Q8VDS8-2;Q8VDS8-3;D3YY98,Q8VDS8;Q8VDS8-2;Q8VDS8-3;D3YY98,Syntaxin-18,Stx18,,0.048021137,0.017069523,0.091317831,0.024175261,0.013132101,0.525868126,0,0,0.036697766,0.05655214,0.220395039,0,0.019678963,0.026301268,0.044774216,0.032342624,0.216646748,0.439515523
O89116,O89116,Vesicle transport through interaction with t-SNAREs homolog 1A,Vti1a,t-SNARE,0.294102041,0.040261167,0.072184861,0.022886597,2.69682E-05,4.074289798,0.388388055,0.187841208,0.28711987,0.275636749,0.518857219,1.352703505,0.41797336,0.088790764,0.188435863,0.104485795,0.00594798,2.218120015
Q91XH6;O88384;F6T4B9;E0CYE5,Q91XH6;O88384,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1b,,0.622243109,0.24199972,0.571672907,0.241398986,0.749280308,1.088460029,1.74553351,0.088347491,1.696290977,0.943217663,0.912980314,1.029029532,0.823237477,0.160826092,0.567804963,0.245640402,0.093420464,1.4498596
P46096,P46096,Synaptotagmin-1,Syt1,Synaptotagmin,66.27072988,3.74639894,65.33168551,2.297495568,0.648136625,1.014373491,74.19383661,5.538398358,57.35438783,7.358094569,0.004084945,1.293603496,19.87590178,3.017606998,21.58086293,6.469089509,0.613590619,0.920996619
P46097;Q9JM87,P46097,Synaptotagmin-2,Syt2,Synaptotagmin,0.680810616,0.248675954,0.588079112,0.185242792,0.524012336,1.157685423,1.353460626,0.477187797,0.685848872,0.511679481,0.065585745,1.973409424,5.945054844,0.735652635,5.47664986,0.35658727,0.249118963,1.085527649
G3X9Y1;O35681;D3YYS0;D3Z1B8,G3X9Y1;O35681,Synaptotagmin-3,Syt3,Synaptotagmin,0.94420922,0.080399673,0.818687351,0.188590912,0.225113976,1.153320885,0.284239537,0.042618361,0.502130615,0.152713511,0.03072987,0.566066933,0.678098127,0.093715692,0.609061339,0.076171562,0.238439358,1.113349483
Q9R0N5,Q9R0N5,Synaptotagmin-5,Syt5,Synaptotagmin,0.505841657,0.132812652,0.658314601,0.106556913,0.08190776,0.768388937,0.351587621,0.144392754,0.584906795,0.30629246,0.176940214,0.601100251,0.029047209,0.022166467,0.019142123,0.022118384,0.499463056,1.51744971
Q9R0N8;Q8C8S6;Q9R0N8-2;Q3UY13;V9GWX4,Q9R0N8;Q8C8S6;Q9R0N8-2;Q3UY13,Synaptotagmin-6,Syt6,Synaptotagmin,0.012772005,0.007665122,0.016771239,0.010334951,0.508352539,0.761542131,0.052592203,0.015102651,0.269094053,0.029865603,7.63812E-06,0.195441713,0.154262491,0.022436723,0.040973942,0.044976021,0.002505565,3.764892593
E9PZA8;Q9R0N7,E9PZA8;Q9R0N7,Synaptotagmin-7,Syt7,Synaptotagmin,2.617826564,0.358389606,2.875114541,0.254756264,0.230848833,0.910512095,2.480888407,0.123313798,3.182383035,0.14279725,3.74094E-05,0.779569392,1.898864622,0.324930282,1.917923946,0.269090302,0.922107112,0.990062524
Q9R0N9;D6RGS5;D3YVX0,Q9R0N9,Synaptotagmin-9,Syt9,Synaptotagmin,0,0,0.04911559,0.095982459,0.316347995,0,0,0,0.02420447,0.05412284,0.373900966,0,0.010980613,0.014163105,0.01920263,0.00780327,0.297433449,0.571828595
Q9R0N3;S4R1M8;D3YWW9,Q9R0N3;S4R1M8,Synaptotagmin-11,Syt11,Synaptotagmin,0.289231424,0.031221558,0.445587839,0.090075565,0.014755866,0.649100803,0.317837287,0.055817288,0.701082693,0.201973357,0.011205814,0.453352065,0.183079245,0.042570128,0.204265543,0.083711832,0.632116356,0.896280608
Q920N7;E9Q6I4,Q920N7,Synaptotagmin-12,Syt12,Synaptotagmin,0.728520393,0.180045596,0.678076145,0.126105486,0.623294876,1.07439319,0.851974909,0.347491695,1.29808328,0.576006184,0.184411228,0.656333012,2.722879392,0.452115833,4.639904159,1.212485029,0.020615611,0.586839577
Q9EQT6,Q9EQT6,Synaptotagmin-13,Syt13,Synaptotagmin,0.083673619,0.031795838,0.11238711,0.04333457,0.269432891,0.744512595,0.175885962,0.108898687,0.280453626,0.065840752,0.111458798,0.627148113,0.023458999,0.024386522,0.033054391,0.037558145,0.646731683,0.709708988
Q920M7,Q920M7,Synaptotagmin-17,Syt17,Synaptotagmin,0.473195075,0.056293716,0.446106223,0.083349717,0.565950479,1.060722874,0.261759937,0.043283671,0.191200327,0.149570999,0.360557669,1.369034985,0,0,0,0,,
Q99N50-2;Q99N50;Q99N50-4;Q99N50-8;Q99N50-6;Q99N50-11;Q99N50-5;Q99N50-3;Q99N50-7,Q99N50-2;Q99N50;Q99N50-4;Q99N50-8;Q99N50-6;Q99N50-11;Q99N50-5;Q99N50-3;Q99N50-7,Synaptotagmin-like protein 2,Sytl2,Synaptotagmin,0.004274378,0.007890134,0.002754004,0.002516236,0.699094972,1.552059654,0.050735342,0.022129198,0.038534417,0.019711111,0.384522218,1.316624111,0.00966667,0.021615331,0.012746327,0.013509653,0.795155749,0.758388629
Q62442;D3YTU0;Q62442-2,Q62442;D3YTU0;Q62442-2,Vesicle-associated membrane protein 1,Vamp1,synaptobrevin ,5.319437754,0.471306459,3.867438524,0.490342164,0.001407852,1.375442097,5.156208285,1.128775489,2.453150012,1.778689553,0.024897657,2.101872393,5.674968017,2.056751571,5.062712582,4.714713341,0.799866474,1.120934267
P63044;B0QZN5,P63044;B0QZN5,Vesicle-associated membrane protein 2,Vamp2,,80.1117979,9.481985923,77.14085744,4.652190542,0.553224525,1.038513189,36.41518132,27.48145431,8.044300209,3.486786017,0.081783507,4.526830224,12.96143334,5.621465282,13.17138263,6.315531154,0.957099999,0.984060193
P63024,P63024,Vesicle-associated membrane protein 3,Vamp3,,0.451198282,0.092333447,0.606133312,0.083827347,0.024213211,0.744387866,0.163866736,0.243004602,0.443255817,0.377184477,0.207446148,0.369688857,0.155398102,0.038366822,0.20994677,0.076545127,0.205039085,0.740178581
O70480;Q8BSN6;A0A0A6YY66,O70480;Q8BSN6,Vesicle-associated membrane protein 4,Vamp4,,0.847891283,0.256938845,1.256377294,0.318098191,0.057406508,0.674869952,1.379044125,0.334356679,2.353042772,0.57779542,0.015650247,0.586068448,0.844414922,0.301552212,1.36745914,0.099220985,0.014991641,0.61750651
Q9Z2P8,Q9Z2P8,Vesicle-associated membrane protein 5,Vamp5,,0.06705127,0.06728744,0,0,0.089788273,,0,0,0,0,,,0.139945556,0.137040047,0,0,0.08446209,
P70280,P70280,Vesicle-associated membrane protein 7,Vamp7,,0.836487421,0.300508414,0.667464072,0.16659909,0.311920957,1.25323213,0.536217926,0.155149389,0.969564837,0.323839763,0.03722517,0.553050096,0.656985108,0.444141736,0.544132973,0.180406839,0.619953743,1.207398082
O70404,O70404,Vesicle-associated membrane protein 8,Vamp8,,0.143613868,0.045797175,0.159637129,0.082681748,0.717193486,0.89962698,0,0,0,0,,,0.559865486,0.226744433,0.450840259,0.129374115,0.384492408,1.241826734
Q9WV55,Q9WV55,Vesicle-associated membrane protein-associated protein A,Vapa,,13.67517973,2.01722616,17.58592326,1.492835317,0.00940077,0.777620801,13.39896289,1.568179418,16.28748283,6.446402593,0.379951682,0.822654,14.87368739,2.351368292,14.61578936,0.561009547,0.822030494,1.017645166
Q9QY76;Q8BH80,Q9QY76;Q8BH80,Vesicle-associated membrane protein-associated protein B,Vapb,,6.4010271,1.376136902,6.828045485,1.401567114,0.639922949,0.93746111,10.41519779,3.020920608,8.993926971,3.70703944,0.525749753,1.158025613,6.897668925,1.632335097,8.277651189,2.220723269,0.298153322,0.833288184
O55100;O55100-2,O55100;O55100-2,Synaptogyrin-1,Syngr1,Synaptogyrin,12.09906341,2.262978512,9.021069054,0.605246095,0.03606649,1.34120062,2.161790549,1.705649539,2.412361081,3.043547506,0.877450682,0.896130586,7.666280692,4.767502769,4.25789926,3.772288284,0.24717016,1.800484282
Q8R191,Q8R191,Synaptogyrin-3,Syngr3,Synaptogyrin,29.41895908,4.255605012,27.93229825,3.625362764,0.568926102,1.05322372,3.707097364,1.91241287,1.14461397,2.257359311,0.089776205,3.238731537,16.5758902,2.797850702,14.65942654,2.348644074,0.275468005,1.130732512
Q62277;F6VR28,Q62277,Synaptophysin,Syp,Synaptophysin,42.99090174,2.676651283,41.90830671,3.089255827,0.570376009,1.025832469,50.22016076,4.961887118,31.09324859,18.64764317,0.08263296,1.615146794,27.61577715,3.355421142,28.03992575,3.392338597,0.84740149,0.984873405
O09117-2;D6RFU9;O09117,O09117-2;D6RFU9;O09117,Synaptophysin-like protein 1,Sypl1;Sypl,Synaptophysin,0.712808468,0.33563052,0.363708857,0.086099753,0.079619467,1.959832581,0.507039974,0.131035959,0.458996218,0.274568553,0.736624095,1.104671355,0.804324912,0.43045095,0.967328589,0.154848555,0.461600183,0.831490893
O08599-2,O08599-2,Syntaxin-binding protein 1,Stxbp1,Calcium-dependent docking of synaptic vesicles,68.03428639,5.173913189,65.33583955,4.207660953,0.393072276,1.041301174,114.4850909,9.510341303,94.71558272,4.30042331,0.006458015,1.208724981,87.15913303,6.42609177,80.12708176,5.03957809,0.092426024,1.08776123
Q60770;Q60770-2;A2AEC9;A0A0G2JEQ3;A0A0G2JEI5,Q60770;Q60770-2,Syntaxin-binding protein 3,Stxbp3,Calcium-dependent docking of synaptic vesicles,0.469348001,0.082950127,0.33034998,0.033490459,0.016312671,1.42075989,0.397215847,0.094965328,0.421335118,0.109206093,0.719261794,0.942755137,0.657536111,0.090062271,0.469752568,0.100312399,0.014548062,1.3997499
Q8K400;D3Z079;D3Z2Q2;Q8K400-2;F6WXQ4,Q8K400;D3Z079;D3Z2Q2,Syntaxin-binding protein 5,Stxbp5,Calcium-dependent docking of synaptic vesicles,1.184600486,0.10122121,1.188040685,0.116634373,0.961517414,0.997104309,0.528673081,0.072793613,0.731331166,0.217482126,0.106471669,0.722891497,0.622846452,0.090916188,0.604453618,0.040057645,0.694560534,1.03042886
Q5DQR4;Q5DQR4-2;Q5DQR4-6;Q5DQR4-7;G3UXS2;B1ATA7;B1ATA8;G3UXR0;B1ATA9,Q5DQR4;Q5DQR4-2,Syntaxin-binding protein 5-like,Stxbp5l,Calcium-dependent docking of synaptic vesicles,1.081583345,0.044241354,1.046478031,0.144934056,0.627709539,1.033546155,0.762447399,0.140483915,0.876014049,0.124661201,0.213840311,0.870359784,0.821062297,0.149907108,0.897142764,0.064620098,0.341451597,0.915196922
Q8R3T5;Q3TYA4;B8JJ84;D6RJ81,Q8R3T5;Q3TYA4,Syntaxin-binding protein 6,Stxbp6,Calcium-dependent docking of synaptic vesicles,1.143539901,0.29129161,0.868926493,0.157887637,0.111969125,1.316037559,2.032539743,0.824961297,1.730190567,0.379109572,0.486451325,1.17474906,0.618634899,0.091771076,0.475968151,0.365317011,0.439709902,1.299740115
Q4KUS2,Q4KUS2,Protein unc-13 homolog A,Unc13a,Munc13,0.61921373,0.111964866,0.559515014,0.081120846,0.365224713,1.106697253,0.715808084,0.089297838,0.944943203,0.205339582,0.066386196,0.757514401,0.316929767,0.059493689,0.393288201,0.034714087,0.045183188,0.80584611
Q8K0T7,Q8K0T7,Protein unc-13 homolog C,Unc13c,,0,0,0.000839622,0.001171728,0.18435039,0,0.005423233,0.005135889,0,0,0.077563707,,0.089638944,0.015584376,0.098807314,0.034274945,0.607131644,0.9072096
O55042;O55042-2,O55042;O55042-2,Alpha-synuclein,Snca,,38.90809678,7.154413919,44.70404074,10.43727438,0.339461154,0.870348544,42.62149134,7.278578499,50.66990967,17.76463476,0.389212916,0.841159805,8.978800375,1.845863869,17.80471912,3.504780134,0.002425444,0.50429329
Q91ZZ3,Q91ZZ3,Beta-synuclein,Sncb,,70.64245017,12.66478529,60.46373001,7.677291662,0.170855052,1.168344231,68.1009054,45.68500809,15.67690087,11.1958086,0.060707631,4.344028578,28.42477515,3.50599234,20.05187768,14.28930864,0.265236094,1.417561766
Q9Z0F7,Q9Z0F7,Gamma-synuclein,Sncg,,0.762331061,0.134835788,0.339657673,0.294692866,0.028967709,2.244409953,0.497607391,0.219942702,0.568486241,0.348030929,0.712098533,0.875320024,2.539533491,1.638414667,2.371162888,1.510720197,0.870068371,1.071007607
P63040;D3YZ72,P63040,Complexin-1,Cplx1,,18.72580373,3.215119151,21.889166,6.413697596,0.362913537,0.855482741,55.1033344,11.51828386,53.00740113,9.124741283,0.758360899,1.039540389,26.1067657,8.695448764,40.86000046,16.8590078,0.132782237,0.638932095
P84086,P84086,Complexin-2,Cplx2,,18.14449989,5.662146118,18.04473157,5.674725233,0.978480157,1.005528944,36.10992585,6.359487591,34.15638851,9.26766324,0.708959454,1.057193908,30.15302837,3.211860639,22.37625053,3.334040031,0.005588201,1.347546066
Q8R1B5,Q8R1B5,Complexin-3,Cplx3,,0.30563147,0.11247763,0.420012598,0.19976784,0.305292138,0.727672149,1.566608536,0.729540351,2.491618463,0.696980996,0.074580609,0.628751375,0,0,0,0,,
P58281-2;P58281;H7BX01;E0CXD1;F6U775;P58682,P58281-2;P58281;H7BX01;E0CXD1,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",Opa1,dynamin - cytosceleton protein,6.291696347,0.559097524,6.467936399,0.28052121,0.552315125,0.972751734,7.108113658,0.186659895,7.524348362,1.180598508,0.477714219,0.944681628,4.508564197,0.31223779,4.606096993,0.729210894,0.793545043,0.978825284
P39053-3;F6TH70;F6RRH9,P39053-3,Dynamin-1,Dnm1,,70.1470297,3.430719133,67.49163807,4.498427248,0.326664617,1.039344009,73.07405393,11.29816411,67.03295233,11.5791849,0.427970989,1.090121371,53.52524505,3.602310054,58.82653511,1.811800114,0.026462594,0.909882674
P39053-4,P39053-4,Dynamin-1,Dnm1,,3.434816921,0.43822834,3.505759469,0.417341445,0.799857616,0.979764,0.680363641,0.397109209,0.782579375,0.638849856,0.770472995,0.869386113,1.132343928,0.141323799,1.078232798,0.224486758,0.662629062,1.050185016
,,,total Dnm1,,73.58184662,3.868947474,70.99739754,4.915768693,0.358654473,1.036402026,73.75441757,11.69527331,67.81553171,12.21803475,0.440490875,1.087574125,54.65758898,3.743633853,59.90476791,2.036286872,0.026957295,0.912407992
E9PUD2,E9PUD2,,Dnm1l,,15.41115848,1.704782949,18.98183756,0.908867923,0.005904657,0.811889704,16.42973042,3.472924589,20.29679359,6.150175136,0.264548022,0.809474184,12.79776658,0.575098826,12.99132951,1.811796423,0.829266752,0.985100607
Q8K1M6;Q8K1M6-2;Q8K1M6-4,Q8K1M6;Q8K1M6-2;Q8K1M6-4,Dynamin-1-like protein,Dnm1l,,0.859889263,0.163528992,1.065629671,0.116273203,0.054463012,0.806930669,0.642652366,0.239993651,0.375321405,0.398289244,0.242090517,1.712272088,0.104598461,0.09829333,0.292548485,0.175125138,0.079133207,0.35754231
G3X9G4;G3UXX2;G3UY64,G3X9G4,,Dnm2,,3.493659619,0.589048759,3.631137294,0.160636678,0.637830722,0.962139224,4.737608939,0.288662839,2.177850541,2.197834327,0.05918302,2.175359994,3.386015024,0.231763614,3.463909291,0.577648081,0.790280189,0.977512614
Q8BZ98;E9QLL2;Q8BZ98-2;F2Z460;E0CXZ8,Q8BZ98;E9QLL2;Q8BZ98-2,Dynamin-3,Dnm3,,3.01444027,0.441441221,3.075671225,0.316711337,0.808024784,0.98009184,5.459486482,0.275259027,4.189754232,0.940203094,0.036616218,1.303056499,7.577083883,1.005215353,5.472147345,0.208745314,0.008339334,1.384663717
