Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
Q3UHL1|CAMKV_MOUSE,3.13,250.3,4.39E+04,3.63E+04,1,0.83,43,17,16,Carbamidomethylation; TMT6plex; Deamidation (NQ),54819,CaM kinase-like vesicle-associated protein OS=Mus musculus GN=Camkv PE=1 SV=2
tr|A2AUK5|A2AUK5_MOUSE,4.23,250.15,5.42E+03,4.72E+03,1,0.87,7,22,5,TMT6plex,98315,Band 4.1-like protein 1 OS=Mus musculus GN=Epb41l1 PE=1 SV=1
Q61361|PGCB_MOUSE,2.04,249.86,2.56E+04,2.47E+04,1,0.96,24,20,19,Carbamidomethylation; TMT6plex,95815,Brevican core protein OS=Mus musculus GN=Bcan PE=1 SV=2
tr|A2ALV3|A2ALV3_MOUSE,4.27,249.74,6.27E+04,6.27E+04,1,1,28,16,11,Carbamidomethylation; TMT6plex; Oxidation (M),48296,Endophilin-A1 OS=Mus musculus GN=Sh3gl2 PE=1 SV=1
Q62420|SH3G2_MOUSE,4.27,249.74,6.27E+04,6.27E+04,1,1,35,16,11,Carbamidomethylation; TMT6plex; Oxidation (M),39955,Endophilin-A1 OS=Mus musculus GN=Sh3gl2 PE=1 SV=2
P61264|STX1B_MOUSE,1.59,249.28,9.75E+04,8.82E+04,1,0.91,39,13,12,TMT6plex; Deamidation (NQ),33245,Syntaxin-1B OS=Mus musculus GN=Stx1b PE=1 SV=1
Q7TMB8|CYFP1_MOUSE,2.48,249.19,1.35E+03,1.22E+03,1,0.9,3,23,4,TMT6plex; Deamidation (NQ),145241,Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1
Q9R111|GUAD_MOUSE,2.19,248.99,4.09E+04,3.59E+04,1,0.88,48,23,20,Carbamidomethylation; TMT6plex; Deamidation (NQ),51013,Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1
P62880|GBB2_MOUSE,1.39,248.46,1.17E+04,1.24E+04,1,1.07,29,16,6,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),37331,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Mus musculus GN=Gnb2 PE=1 SV=3
Q8BGQ7|SYAC_MOUSE,1.14,248.46,7.14E+03,6.55E+03,1,0.92,17,16,14,Carbamidomethylation; TMT6plex,106908,Alanine--tRNA ligase  cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1
tr|B1AQW2|B1AQW2_MOUSE,1.83,248.44,532,615.478,1,1.16,6,16,1,TMT6plex,40892,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1
P67778|PHB_MOUSE,1.92,248.31,2.09E+04,2.28E+04,1,1.09,57,16,13,Carbamidomethylation; TMT6plex,29820,Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1
tr|Q3TWV4|Q3TWV4_MOUSE,4.26,248.25,4.45E+04,3.71E+04,1,0.83,38,18,17,Carbamidomethylation; TMT6plex; Oxidation (M),49389,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1
P84091|AP2M1_MOUSE,4.26,248.25,4.45E+04,3.71E+04,1,0.83,37,18,17,Carbamidomethylation; TMT6plex; Oxidation (M),49655,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1
P10649|GSTM1_MOUSE,12.92,247.69,3.96E+04,6.42E+04,1,1.62,41,21,11,Carbamidomethylation; TMT6plex; Oxidation (M),25970,Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2
tr|A0A0A6YW90|A0A0A6YW90_MOUSE,11.51,247.42,3.31E+03,1.31E+03,1,0.4,1,22,1,TMT6plex,87152,Glutamate receptor 2 OS=Mus musculus GN=Gria2 PE=1 SV=1
Q8K596|NAC2_MOUSE,1.37,247.08,1.41E+04,1.35E+04,1,0.95,12,12,9,TMT6plex; Deamidation (NQ),100711,Sodium/calcium exchanger 2 OS=Mus musculus GN=Slc8a2 PE=1 SV=1
Q8VDM4|PSMD2_MOUSE,3.2,246.67,6.23E+03,6.35E+03,1,1.02,11,10,9,TMT6plex,100203,26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1
O88569|ROA2_MOUSE,5.69,246.27,4.15E+04,3.11E+04,1,0.75,35,16,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),37403,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2
P02089|HBB2_MOUSE,41.25,246.08,1.19E+04,1.76E+04,1,1.48,50,17,6,Carbamidomethylation; TMT6plex; Oxidation (M),15878,Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2
P70296|PEBP1_MOUSE,3.55,246.05,8.58E+04,7.17E+04,1,0.84,45,12,5,Carbamidomethylation; TMT6plex,20830,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3
Q8VEM8|MPCP_MOUSE,2.08,245.73,4.93E+03,4.90E+03,1,0.99,11,21,3,Carbamidomethylation; TMT6plex; Oxidation (M),39632,Phosphate carrier protein  mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1
Q99JY9|ARP3_MOUSE,0.93,245.56,1.51E+04,1.43E+04,1,0.94,30,12,8,Carbamidomethylation; TMT6plex,47357,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3
tr|Q3UGX2|Q3UGX2_MOUSE,1.19,245.51,4.14E+03,3.86E+03,1,0.93,5,22,11,TMT6plex,268089,Spectrin beta chain OS=Mus musculus GN=Sptb PE=1 SV=1
P47754|CAZA2_MOUSE,1.3,245.03,2.33E+04,2.14E+04,1,0.92,60,14,11,Carbamidomethylation; TMT6plex; Deamidation (NQ),32967,F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3
Q60930|VDAC2_MOUSE,4.51,244.02,7.73E+04,9.08E+04,1,1.17,57,15,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),31733,Voltage-dependent anion-selective channel protein 2 OS=Mus musculus GN=Vdac2 PE=1 SV=2
Q9JLM8|DCLK1_MOUSE,3.42,243.35,9.32E+03,7.78E+03,1,0.83,17,17,10,Carbamidomethylation; TMT6plex,84153,Serine/threonine-protein kinase DCLK1 OS=Mus musculus GN=Dclk1 PE=1 SV=1
tr|A0A0G2JGQ6|A0A0G2JGQ6_MOUSE,3.42,243.35,9.32E+03,7.78E+03,1,0.83,17,17,10,Carbamidomethylation; TMT6plex,82105,Serine/threonine-protein kinase DCLK1 OS=Mus musculus GN=Dclk1 PE=1 SV=1
Q9QYG0|NDRG2_MOUSE,1.63,243.32,2.53E+04,2.38E+04,1,0.94,44,13,12,Carbamidomethylation; TMT6plex; Oxidation (M),40789,Protein NDRG2 OS=Mus musculus GN=Ndrg2 PE=1 SV=1
Q99LC5|ETFA_MOUSE,2.18,242.64,1.28E+04,1.31E+04,1,1.02,34,11,9,Carbamidomethylation; TMT6plex,35009,Electron transfer flavoprotein subunit alpha  mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2
Q9QYB5|ADDG_MOUSE,1.38,242.26,5.86E+03,5.60E+03,1,0.96,20,15,11,Carbamidomethylation; TMT6plex; Deamidation (NQ),78777,Gamma-adducin OS=Mus musculus GN=Add3 PE=1 SV=2
Q8K0T0|RTN1_MOUSE,3.56,242.24,1.81E+04,1.52E+04,1,0.84,16,14,9,TMT6plex,83572,Reticulon-1 OS=Mus musculus GN=Rtn1 PE=1 SV=1
Q9D6M3|GHC1_MOUSE,5.76,242.12,7.12E+03,5.09E+03,1,0.71,20,14,3,Carbamidomethylation; TMT6plex,34670,Mitochondrial glutamate carrier 1 OS=Mus musculus GN=Slc25a22 PE=1 SV=1
tr|Q3TCR7|Q3TCR7_MOUSE,1.46,241.98,291,309.231,1,1.06,2,24,1,TMT6plex,97987,Dynamin-2 OS=Mus musculus GN=Dnm2 PE=1 SV=1
tr|G3X9G4|G3X9G4_MOUSE,1.46,241.98,291,309.231,1,1.06,2,24,1,TMT6plex,98074,Dynamin-2 OS=Mus musculus GN=Dnm2 PE=1 SV=1
Q8VD37|SGIP1_MOUSE,1.83,241.73,3.65E+03,3.20E+03,1,0.88,11,10,7,TMT6plex; Deamidation (NQ),86063,SH3-containing GRB2-like protein 3-interacting protein 1 OS=Mus musculus GN=Sgip1 PE=1 SV=1
tr|Q8K1M3|Q8K1M3_MOUSE,2.15,241.39,9.19E+03,9.02E+03,1,0.98,21,11,7,TMT6plex,45589,Protein kinase  cAMP dependent regulatory  type II alpha OS=Mus musculus GN=Prkar2a PE=1 SV=1
P68510|1433F_MOUSE,2.73,241.3,3.71E+04,3.15E+04,1,0.85,37,18,8,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),28212,14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2
Q9CWS0|DDAH1_MOUSE,2.37,241.23,2.32E+04,2.25E+04,1,0.97,63,17,16,Carbamidomethylation; TMT6plex; Oxidation (M),31381,N(G) N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Mus musculus GN=Ddah1 PE=1 SV=3
Q9Z2I9|SUCB1_MOUSE,1.55,241.22,6.29E+04,6.99E+04,1,1.11,41,21,18,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),50114,Succinate--CoA ligase [ADP-forming] subunit beta  mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2
P62631|EF1A2_MOUSE,2.11,241.08,3.44E+04,3.34E+04,1,0.97,22,13,7,TMT6plex; Oxidation (M); Deamidation (NQ),50454,Elongation factor 1-alpha 2 OS=Mus musculus GN=Eef1a2 PE=1 SV=1
P18760|COF1_MOUSE,4.53,240.91,2.12E+05,1.70E+05,1,0.8,55,16,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),18560,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3
tr|F8WGL3|F8WGL3_MOUSE,4.53,240.91,2.12E+05,1.70E+05,1,0.8,40,16,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),24576,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=1
Q60625|ICAM5_MOUSE,1.11,240.85,1.50E+04,1.45E+04,1,0.97,20,17,16,Carbamidomethylation; TMT6plex,96946,Intercellular adhesion molecule 5 OS=Mus musculus GN=Icam5 PE=1 SV=2
Q9Z2I0|LETM1_MOUSE,0.66,240.53,7.06E+03,6.87E+03,1,0.97,17,16,11,Carbamidomethylation; TMT6plex; Deamidation (NQ),82989,Mitochondrial proton/calcium exchanger protein OS=Mus musculus GN=Letm1 PE=1 SV=1
B2RSH2|GNAI1_MOUSE,2.17,240.52,6.96E+03,6.19E+03,1,0.89,14,19,5,Carbamidomethylation; TMT6plex; Deamidation (NQ),40361,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus GN=Gnai1 PE=1 SV=1
Q9CZC8|SCRN1_MOUSE,3.18,240.51,2.00E+04,1.89E+04,1,0.94,26,12,11,Carbamidomethylation; TMT6plex,46326,Secernin-1 OS=Mus musculus GN=Scrn1 PE=1 SV=1
tr|E9PZ43|E9PZ43_MOUSE,3.38,240.49,7.53E+03,6.63E+03,1,0.88,12,15,9,Carbamidomethylation; TMT6plex,97796,Microtubule-associated protein OS=Mus musculus GN=Map4 PE=1 SV=3
Q3UNH4|GRIN1_MOUSE,2.99,240.32,1.43E+04,1.17E+04,1,0.82,18,16,16,Carbamidomethylation; TMT6plex; Deamidation (NQ),95496,G protein-regulated inducer of neurite outgrowth 1 OS=Mus musculus GN=Gprin1 PE=1 SV=2
Q9CZW5|TOM70_MOUSE,1.19,240.18,3.60E+04,3.32E+04,1,0.92,36,23,19,Carbamidomethylation; TMT6plex,67590,Mitochondrial import receptor subunit TOM70 OS=Mus musculus GN=Tomm70 PE=1 SV=2
tr|A0A140LHL5|A0A140LHL5_MOUSE,2.72,239.94,2.12E+04,2.10E+04,1,0.99,34,12,10,Carbamidomethylation; TMT6plex,39425,NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus GN=Sirt2 PE=1 SV=1
P80315|TCPD_MOUSE,1.66,239.66,1.30E+04,1.20E+04,1,0.92,25,15,12,Carbamidomethylation; TMT6plex,58066,T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3
tr|E9PZF0|E9PZF0_MOUSE,4.55,239.2,1.03E+04,1.21E+04,1,1.18,21,16,5,Carbamidomethylation; TMT6plex,30200,Nucleoside diphosphate kinase OS=Mus musculus GN=Gm20390 PE=3 SV=1
Q8BMF3|MAON_MOUSE,3.67,238.82,9.08E+03,9.58E+03,1,1.05,19,11,10,Carbamidomethylation; TMT6plex,67098,NADP-dependent malic enzyme  mitochondrial OS=Mus musculus GN=Me3 PE=1 SV=2
P63085|MK01_MOUSE,3.03,238.66,3.25E+04,2.70E+04,1,0.83,44,20,11,Carbamidomethylation; TMT6plex; Deamidation (NQ),41276,Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3
tr|E9QQ05|E9QQ05_MOUSE,2.85,238.28,5.54E+04,4.65E+04,1,0.84,22,18,15,TMT6plex; Oxidation (M); Deamidation (NQ),88842,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=2
tr|E9Q9A3|E9Q9A3_MOUSE,2.85,238.28,5.54E+04,4.65E+04,1,0.84,23,18,15,TMT6plex; Oxidation (M); Deamidation (NQ),86056,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=2
tr|E9QLK9|E9QLK9_MOUSE,2.85,238.28,5.54E+04,4.65E+04,1,0.84,21,18,15,TMT6plex; Oxidation (M); Deamidation (NQ),91864,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=2
Q61548|AP180_MOUSE,2.85,238.28,5.54E+04,4.65E+04,1,0.84,21,18,15,TMT6plex; Oxidation (M); Deamidation (NQ),91851,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=1
P14211|CALR_MOUSE,4.29,238.24,9.23E+04,7.39E+04,1,0.8,46,18,18,Carbamidomethylation; TMT6plex; Deamidation (NQ),47995,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1
Q61553|FSCN1_MOUSE,2.67,238.11,2.32E+04,2.15E+04,1,0.92,28,11,11,Carbamidomethylation; TMT6plex,54508,Fascin OS=Mus musculus GN=Fscn1 PE=1 SV=4
P42932|TCPQ_MOUSE,1.68,238.08,5.75E+03,5.20E+03,1,0.9,20,18,8,Carbamidomethylation; TMT6plex,59556,T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3
P06801|MAOX_MOUSE,1.47,237.6,8.54E+03,7.66E+03,1,0.9,26,16,14,Carbamidomethylation; TMT6plex,63954,NADP-dependent malic enzyme OS=Mus musculus GN=Me1 PE=1 SV=2
P68404|KPCB_MOUSE,1.53,237.37,1.73E+04,1.55E+04,1,0.89,15,19,9,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),76751,Protein kinase C beta type OS=Mus musculus GN=Prkcb PE=1 SV=4
O54774|AP3D1_MOUSE,2.34,237.03,7.53E+03,7.12E+03,1,0.95,11,11,11,Carbamidomethylation; TMT6plex,135081,AP-3 complex subunit delta-1 OS=Mus musculus GN=Ap3d1 PE=1 SV=1
tr|F6TYB7|F6TYB7_MOUSE,26.64,236.81,1.29E+04,2.87E+04,1,2.22,3,17,1,TMT6plex,21188,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1
Q9WV27|AT1A4_MOUSE,0.35,236.67,767,799.942,1,1.04,1,16,1,TMT6plex,114887,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Mus musculus GN=Atp1a4 PE=1 SV=3
tr|G5E884|G5E884_MOUSE,2.57,236.56,7.18E+03,6.80E+03,1,0.95,19,16,8,Carbamidomethylation; TMT6plex,60608,Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1
Q8R366|IGSF8_MOUSE,2.1,236.52,1.36E+04,1.34E+04,1,0.98,21,10,10,Carbamidomethylation; TMT6plex,65011,Immunoglobulin superfamily member 8 OS=Mus musculus GN=Igsf8 PE=1 SV=2
Q9QUP5|HPLN1_MOUSE,7.32,236.45,1.83E+04,2.57E+04,1,1.41,27,12,10,Carbamidomethylation; TMT6plex; Deamidation (NQ),40478,Hyaluronan and proteoglycan link protein 1 OS=Mus musculus GN=Hapln1 PE=1 SV=1
tr|Q3UKW2|Q3UKW2_MOUSE,4.69,236.24,3.34E+05,3.04E+05,1,0.91,28,12,6,TMT6plex; Oxidation (M); Deamidation (NQ),21560,Calmodulin-1 OS=Mus musculus GN=Calm1 PE=1 SV=1
P0DP28|CALM3_MOUSE,4.69,236.24,3.34E+05,3.04E+05,1,0.91,37,12,6,TMT6plex; Oxidation (M); Deamidation (NQ),16838,Calmodulin-3 OS=Mus musculus GN=Calm3 PE=1 SV=1
P0DP27|CALM2_MOUSE,4.69,236.24,3.34E+05,3.04E+05,1,0.91,37,12,6,TMT6plex; Oxidation (M); Deamidation (NQ),16838,Calmodulin-2 OS=Mus musculus GN=Calm2 PE=1 SV=1
P0DP26|CALM1_MOUSE,4.69,236.24,3.34E+05,3.04E+05,1,0.91,37,12,6,TMT6plex; Oxidation (M); Deamidation (NQ),16838,Calmodulin-1 OS=Mus musculus GN=Calm1 PE=1 SV=1
Q9CPV4|GLOD4_MOUSE,2.62,236.16,1.34E+04,1.58E+04,1,1.18,52,14,14,Carbamidomethylation; TMT6plex,33317,Glyoxalase domain-containing protein 4 OS=Mus musculus GN=Glod4 PE=1 SV=1
O89053|COR1A_MOUSE,2.52,236.1,3.38E+04,2.87E+04,1,0.85,37,16,14,Carbamidomethylation; TMT6plex; Oxidation (M),50989,Coronin-1A OS=Mus musculus GN=Coro1a PE=1 SV=5
P60879|SNP25_MOUSE,2.55,235.74,3.82E+04,3.51E+04,1,0.92,54,15,14,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),23315,Synaptosomal-associated protein 25 OS=Mus musculus GN=Snap25 PE=1 SV=1
Q3UM45|PP1R7_MOUSE,2.54,235.58,1.47E+04,1.46E+04,1,0.99,35,12,12,TMT6plex,41292,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2
Q920I9|WDR7_MOUSE,0.98,235.55,1.04E+04,9.64E+03,1,0.93,17,26,20,Carbamidomethylation; TMT6plex,163449,WD repeat-containing protein 7 OS=Mus musculus GN=Wdr7 PE=1 SV=3
Q923T9|KCC2G_MOUSE,3.78,235.38,5.41E+03,4.22E+03,1,0.78,15,16,6,Carbamidomethylation; TMT6plex,59607,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus GN=Camk2g PE=1 SV=1
O55042|SYUA_MOUSE,3.04,235.27,7.75E+04,7.20E+04,1,0.93,36,10,5,TMT6plex,14485,Alpha-synuclein OS=Mus musculus GN=Snca PE=1 SV=2
Q9DB20|ATPO_MOUSE,8.27,235.27,4.25E+04,5.95E+04,1,1.4,28,15,6,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),23364,ATP synthase subunit O  mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1
Q9CZ30|OLA1_MOUSE,3.82,235.23,5.38E+03,5.97E+03,1,1.11,23,17,8,TMT6plex,44730,Obg-like ATPase 1 OS=Mus musculus GN=Ola1 PE=1 SV=1
Q91XM9|DLG2_MOUSE,2.56,235.22,1.09E+04,9.31E+03,1,0.85,15,15,10,TMT6plex,94880,Disks large homolog 2 OS=Mus musculus GN=Dlg2 PE=1 SV=2
P26039|TLN1_MOUSE,2.87,235.16,1.56E+03,1.40E+03,1,0.9,1,13,3,TMT6plex,269819,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2
P80318|TCPG_MOUSE,0.73,235.13,2.58E+04,2.52E+04,1,0.98,41,25,20,Carbamidomethylation; TMT6plex; Deamidation (NQ),60630,T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1
P80313|TCPH_MOUSE,1.11,234.99,8.38E+03,7.91E+03,1,0.94,24,19,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),59652,T-complex protein 1 subunit eta OS=Mus musculus GN=Cct7 PE=1 SV=1
tr|A0A1D5RLK2|A0A1D5RLK2_MOUSE,1.23,234.83,742,710.993,1,0.96,2,18,2,TMT6plex; Deamidation (NQ),114536,PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=1
tr|F6Z9E6|F6Z9E6_MOUSE,1.23,234.83,742,710.993,1,0.96,2,18,2,TMT6plex; Deamidation (NQ),111296,PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=2
Q2PFD7|PSD3_MOUSE,1.23,234.83,742,710.993,1,0.96,2,18,2,TMT6plex; Deamidation (NQ),114722,PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=2
tr|A0A1D5RMH7|A0A1D5RMH7_MOUSE,1.23,234.83,742,710.993,1,0.96,2,18,2,TMT6plex; Deamidation (NQ),142027,PH and SEC7 domain-containing protein 3 OS=Mus musculus GN=Psd3 PE=1 SV=1
Q9D394|RUFY3_MOUSE,1.22,234.72,1.04E+03,1.05E+03,1,1,3,17,1,Carbamidomethylation; TMT6plex,53007,Protein RUFY3 OS=Mus musculus GN=Rufy3 PE=1 SV=1
Q61753|SERA_MOUSE,0.11,234.28,1.70E+04,1.70E+04,1,1.01,29,13,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),56586,D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3
Q99LX0|PARK7_MOUSE,2.72,234.24,4.00E+04,3.97E+04,1,0.99,69,11,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),20021,Protein DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1
Q61990|PCBP2_MOUSE,1.58,233.98,5.12E+03,4.56E+03,1,0.89,14,9,4,Carbamidomethylation; TMT6plex,38222,Poly(rC)-binding protein 2 OS=Mus musculus GN=Pcbp2 PE=1 SV=1
O70318|E41L2_MOUSE,0.68,233.81,6.92E+03,6.82E+03,1,0.99,11,15,9,Carbamidomethylation; TMT6plex,109940,Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2
Q9Z218|DPP6_MOUSE,2.33,233.78,1.45E+04,1.28E+04,1,0.88,16,18,12,TMT6plex; Oxidation (M),91260,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
Q9CWJ9|PUR9_MOUSE,1.12,233.73,2.58E+03,2.48E+03,1,0.96,8,5,5,Carbamidomethylation; TMT6plex,64217,Bifunctional purine biosynthesis protein PURH OS=Mus musculus GN=Atic PE=1 SV=2
Q8CGK3|LONM_MOUSE,1.11,233.72,4.29E+03,3.95E+03,1,0.92,9,14,8,Carbamidomethylation; TMT6plex; Deamidation (NQ),105843,Lon protease homolog  mitochondrial OS=Mus musculus GN=Lonp1 PE=1 SV=2
P49312|ROA1_MOUSE,5.52,233.61,9.91E+03,7.13E+03,1,0.72,26,13,8,TMT6plex; Deamidation (NQ),34196,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2
tr|Q5EBP8|Q5EBP8_MOUSE,5.52,233.61,9.91E+03,7.13E+03,1,0.72,23,13,8,TMT6plex; Deamidation (NQ),38834,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=1
P62141|PP1B_MOUSE,0.48,233.49,1.19E+03,1.21E+03,1,1.02,7,13,2,Carbamidomethylation; TMT6plex,37187,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3
P29341|PABP1_MOUSE,0.94,233.29,4.83E+03,4.50E+03,1,0.93,16,19,9,TMT6plex; Oxidation (M),70671,Polyadenylate-binding protein 1 OS=Mus musculus GN=Pabpc1 PE=1 SV=2
Q9WV34|MPP2_MOUSE,2.77,233.15,8.45E+03,7.87E+03,1,0.93,26,14,12,Carbamidomethylation; TMT6plex,61555,MAGUK p55 subfamily member 2 OS=Mus musculus GN=Mpp2 PE=1 SV=1
Q8VEK3|HNRPU_MOUSE,3.09,233.1,1.98E+04,1.62E+04,1,0.82,17,15,14,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),87918,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1
P21279|GNAQ_MOUSE,3.78,232.93,5.59E+03,5.05E+03,1,0.9,18,12,5,Carbamidomethylation; TMT6plex,42158,Guanine nucleotide-binding protein G(q) subunit alpha OS=Mus musculus GN=Gnaq PE=1 SV=4
Q9QYB8|ADDB_MOUSE,1.87,232.91,1.44E+04,1.32E+04,1,0.92,14,14,9,TMT6plex,80642,Beta-adducin OS=Mus musculus GN=Add2 PE=1 SV=4
Q9D0F9|PGM1_MOUSE,1.22,232.83,1.42E+03,1.19E+03,1,0.84,3,23,1,TMT6plex,61418,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4
P70404|IDHG1_MOUSE,0.69,232.65,2.78E+04,2.88E+04,1,1.03,39,12,12,Carbamidomethylation; TMT6plex,42785,Isocitrate dehydrogenase [NAD] subunit gamma 1  mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1
Q9EPN1|NBEA_MOUSE,2.53,232.58,4.11E+03,3.53E+03,1,0.86,3,11,8,Carbamidomethylation; TMT6plex,326742,Neurobeachin OS=Mus musculus GN=Nbea PE=1 SV=1
Q9D819|IPYR_MOUSE,2.89,232.21,2.06E+04,1.86E+04,1,0.9,58,14,13,Carbamidomethylation; TMT6plex,32667,Inorganic pyrophosphatase OS=Mus musculus GN=Ppa1 PE=1 SV=1
P51863|VA0D1_MOUSE,2.78,232.08,3.78E+04,3.30E+04,1,0.87,41,12,12,Carbamidomethylation; TMT6plex,40301,V-type proton ATPase subunit d 1 OS=Mus musculus GN=Atp6v0d1 PE=1 SV=2
Q99KJ8|DCTN2_MOUSE,1.97,232.03,1.97E+04,1.84E+04,1,0.93,37,15,13,TMT6plex,44117,Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3
Q99LC3|NDUAA_MOUSE,4.18,231.93,1.64E+04,1.93E+04,1,1.18,39,15,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),40603,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10  mitochondrial OS=Mus musculus GN=Ndufa10 PE=1 SV=1
Q9DC69|NDUA9_MOUSE,4.03,231.85,6.91E+03,7.22E+03,1,1.04,23,10,8,TMT6plex,42525,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9  mitochondrial OS=Mus musculus GN=Ndufa9 PE=1 SV=2
tr|A0A0R3P9C8|A0A0R3P9C8_MOUSE,4.03,231.85,6.91E+03,7.22E+03,1,1.04,23,10,8,TMT6plex,42122,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9  mitochondrial OS=Mus musculus GN=Ndufa9 PE=1 SV=1
tr|E9PZ00|E9PZ00_MOUSE,7.96,231.76,1.09E+05,1.34E+05,1,1.23,26,19,19,Carbamidomethylation; TMT6plex; Oxidation (M),60672,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=1
