Supplemental Table 1 - List and annotation of quantified proteins,,,,,,,,,,,,,,,,,
Gene names,Majority protein IDs,Protein names,t-test Difference_14vs96 (=log2 foldchange LFQ[14w/96w]),-Log t-test p value_14vs96,Significance,LFQ intensity 141031_1_0138-141022FaBrS01TQ,LFQ intensity 141031_1_0138-141022FaBrS02TQ,LFQ intensity 141031_1_0138-141022FaBrS03TQ,LFQ intensity 141031_1_0138-141022FaBrS04TQ,LFQ intensity 141031_1_0138-141022FaBrS05TQ,LFQ intensity 141031_1_0138-141022FaBrS06TQ,LFQ intensity 141031_1_0138-141022FaBrS07TQ,LFQ intensity 141031_1_0138-141022FaBrS08TQ,LFQ intensity 141031_1_0138-141022FaBrS09TQ,LFQ intensity 141031_1_0138-141022FaBrS10TQ,LFQ intensity 141031_1_0138-141022FaBrS11TQ,LFQ intensity 141031_1_0138-141022FaBrS12TQ
Eef1a1,P10126;D3YZ68;D3Z3I8,Elongation factor 1-alpha 1,-0.0148468,0.0321838,nonsig,32.8261,32.7069,32.7542,32.9941,32.3146,32.5805,32.677,32.4528,32.6298,32.8171,32.1652,32.4722
Alad,P10518,Delta-aminolevulinic acid dehydratase,-0.583915,0.439646,nonsig,26.3942,26.0379,27.4265,24.9653,26.0757,26.3299,25.6603,26.9466,26.4301,25.6781,28.1795,27.0604
Ctsb,P10605,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,-0.329208,1.04349,nonsig,28.5171,29.1674,28.5892,28.756,28.5474,29.1521,28.66,28.9628,29.2578,29.3366,29.0979,28.9468
Eif4a2,P10630;Q8BTU6;E9Q561,Eukaryotic initiation factor 4A-II,0.593496,1.81505,nonsig,26.8506,26.5286,26.7759,26.3333,27.139,27.3355,26.8896,27.5468,26.4188,26.5815,26.9335,26.6031
Txn,P10639,Thioredoxin,-0.0445523,0.0988201,nonsig,30.5928,29.8468,30.5036,30.672,30.1571,30.3708,30.224,29.9047,29.8903,30.3904,30.4645,30.0897
Gstm1,P10649;A2AE89;F6WHQ7,Glutathione S-transferase Mu 1,0.090097,0.121675,nonsig,31.7775,31.5513,30.8939,31.6911,31.5542,31.1368,31.5631,30.8927,31.2464,31.171,30.6419,31.7271
Hist1h2bp;Hist1h2bk;Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bb;Hist1h2bm;Hist1h2bf;Gm13646;Hist3h2ba;Hist3h2bb;Hist2h2be;Hist1h2ba,Q8CGP2;Q8CGP1;Q6ZWY9;Q64525;Q64478;Q64475;P10854;P10853;Q8CBB6;G3X9D5;Q9D2U9;Q8CGP0;Q64524;P70696,Histone H2B type 1-P;Histone H2B type 1-K;Histone H2B type 1-C/E/G;Histone H2B type 2-B;Histone H2B type 1-H;Histone H2B type 1-B;Histone H2B type 1-M;Histone H2B type 1-F/J/L;Histone H2B;Histone H2B type 3-A;Histone H2B type 3-B;Histone H2B type 2-E;Histone H2B type 1-A,0.240877,0.118866,nonsig,32.3742,32.8617,31.8543,31.2316,32.0302,31.7077,31.8573,29.5565,31.9848,31.7682,30.3151,30.1203
H1f0,P10922,Histone H1.0,-0.349472,0.259159,nonsig,25.2443,27.3284,27.1045,25.8891,26.3603,24.7434,27.3103,26.3983,26.6641,26.9082,26.3188,26.3191
Gpx1,P11352,Glutathione peroxidase 1,-0.426595,0.174918,nonsig,28.8688,29.1541,31.3732,27.5393,28.1386,29.2321,27.4314,29.9323,27.8312,29.0026,31.2947,28.3123
Lamp1,P11438,Lysosome-associated membrane glycoprotein 1,-0.937615,0.630499,nonsig,23.5719,25.5737,25.0506,23.7976,25.3293,25.0381,23.2,22.89,24.9993,24.5223,26.019,24.6673
Hsp90ab1,P11499,Heat shock protein HSP 90-beta,0.164481,1.12058,nonsig,32.8677,32.788,32.9507,32.9856,32.6755,32.877,32.8031,32.6495,32.4969,32.7462,32.561,32.543
Krt8,P11679,"Keratin, type II cytoskeletal 8",-0.733145,0.661821,nonsig,24.7338,26.7374,24.3752,25.1092,24.5546,25.0298,24.4017,24.1817,24.7598,24.6418,24.9299,26.7689
Gas2,P11862;D3YWD9;D3Z503,Growth arrest-specific protein 2,-0.316842,2.28921,nonsig,28.3086,28.508,28.9119,28.2375,28.4825,28.5722,28.6368,28.697,28.8411,28.7923,28.9882,29.0342
Nudt19,P11930,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",0.992735,2.39644,sig,32.0217,31.5361,32.0341,31.9866,32.3793,32.8965,32.8129,32.8091,31.5263,31.4768,31.6443,32.2795
Tcp1,P11983,T-complex protein 1 subunit alpha,0.0711284,0.200904,nonsig,29.187,28.9711,29.4304,29.361,29.1482,29.3692,29.1096,29.1434,28.9276,29.3417,29.3389,28.8776
Prkar2a,P12367;Q8K1M3,cAMP-dependent protein kinase type II-alpha regulatory subunit,0.423856,0.361721,nonsig,25.2963,25.1617,25.8403,25.5853,25.9321,25.8172,25.5583,25.1588,25.9542,25.3839,23.8064,25.6266
Pfkl,P12382,"6-phosphofructokinase, liver type",1.24911,0.792971,nonsig,25.6272,25.2762,23.9823,24.6487,25.9235,25.8227,24.0057,24.4291,22.1681,23.8605,25.1326,24.0234
Calb1,P12658,Calbindin,0.426995,0.443471,nonsig,30.4991,30.1505,31.0664,30.3069,29.5877,30.3347,28.995,30.1804,28.8486,29.223,30.2294,29.0889
Cox5a,P12787,"Cytochrome c oxidase subunit 5A, mitochondrial",0.787817,0.895439,nonsig,31.3864,31.5444,30.1548,30.2316,31.7761,30.087,30.3816,29.8235,29.9269,29.6434,29.8416,29.5051
Gsn,P13020,Gelsolin,-0.234034,0.657423,nonsig,28.4048,28.6847,28.7252,29.0124,28.9533,28.4243,28.6663,28.3028,28.6856,28.8166,28.6966,29.0841
Gpd1,P13707;E0CXN5,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",0.251345,0.610701,nonsig,31.0712,31.9271,31.178,31.0208,30.8382,31.2876,31.1619,30.817,30.4624,31.1606,30.8828,30.5937
Atp1b1,P14094,Sodium/potassium-transporting ATPase subunit beta-1,0.294779,0.512426,nonsig,29.7585,29.6178,29.66,29.3624,29.5355,29.4082,29.3757,28.7956,29.3819,29.1531,28.4134,28.9874
Rpl27a,P14115,60S ribosomal protein L27a,0.0463219,0.0417141,nonsig,27.4275,27.4679,28.2902,27.5687,27.6369,28.7267,27.1655,27.4324,27.2556,28.0107,27.955,27.5549
Rps16,P14131,40S ribosomal protein S16,0.158924,0.305821,nonsig,26.9052,26.6972,26.5693,25.994,25.7045,26.0512,26.0206,25.1434,25.6874,25.6167,25.5675,25.4124
Rpl7,P14148;F6XI62,60S ribosomal protein L7,0.50611,0.541967,nonsig,28.1269,27.5886,27.3489,26.5114,26.0352,27.4271,27.0027,25.8231,26.3377,26.2147,25.4665,26.2447
Mdh1,P14152,"Malate dehydrogenase, cytoplasmic",0.00516129,0.0110451,nonsig,33.6165,33.3667,33.465,33.4758,32.9001,33.3266,33.0072,33.1923,33.1231,32.7668,33.3746,33.141
Rpsa,P14206,40S ribosomal protein SA,-0.336591,0.481361,nonsig,30.1733,29.6754,30.0235,30.1954,29.6817,28.6678,29.8853,29.8328,29.9251,29.4741,29.8831,30.1315
Calr,P14211,Calreticulin,-0.235582,0.47206,nonsig,29.1754,29.0489,29.4904,28.938,28.4435,29.1705,28.7566,29.1615,28.8535,29.4885,29.1898,28.9427
Psmd3,P14685,26S proteasome non-ATPase regulatory subunit 3,-0.379895,1.18133,nonsig,26.7489,27.3843,26.9148,26.4975,25.9676,26.2472,26.5859,26.3405,26.7069,26.8257,26.7876,26.3407
Lmnb1,P14733,Lamin-B1,-0.114881,0.345308,nonsig,27.7737,27.3108,27.5661,27.9236,27.3415,26.7956,27.067,27.1632,26.9557,27.2701,27.2557,27.3454
Rplp0;Gm8730,P14869;E9Q070;S4R1N1;D3YVM5,60S acidic ribosomal protein P0,-0.0602727,0.401042,nonsig,28.9991,28.4309,29.3552,29.0029,28.5276,28.8306,28.6734,28.614,28.6803,28.7133,28.7307,28.7626
Glul,P15105,Glutamine synthetase,0.0549808,0.076343,nonsig,29.4839,29.75,29.435,29.7425,28.9035,29.5888,29.1183,29.4781,29.0138,29.8219,29.1001,28.933
Cyp2a4;Cyp2a5,P15392;Q91X75;P20852,Cytochrome P450 2A4;Cytochrome P450 2A5,-0.456517,0.323479,nonsig,24.5736,24.5991,23.6629,23.6171,26.2108,24.4231,25.8545,25.7283,26.3973,24.6572,26.3831,26.6053
Nme1,P15532;Q5NC80;Q5NC79,Nucleoside diphosphate kinase A,-0.0763469,0.197208,nonsig,29.0725,29.2077,29.3972,29.2543,29.2826,29.0755,29.3855,28.8871,29.1501,29.5469,29.0925,29.1466
Gstm2,P15626;D3YX76,Glutathione S-transferase Mu 2,-0.291566,0.601967,nonsig,27.5779,27.5377,27.5116,27.2601,27.2836,26.8003,27.0375,27.5189,27.2848,27.2299,27.339,27.9528
Hist1h1c,P15864,Histone H1.2,-0.582369,0.324167,nonsig,24.5317,25.8872,25.428,24.4979,24.9713,23.4348,26.0875,24.3985,26.0859,26.2655,24.0844,24.7857
Ca3,P16015,Carbonic anhydrase 3,-0.683781,0.518395,nonsig,28.0714,30.8923,29.3229,29.1816,30.0454,29.1206,30.7103,30.4011,29.3577,31.7244,30.861,31.0694
Lgals1,P16045,Galectin-1,-0.233796,0.352682,nonsig,28.8328,29.4431,28.7096,28.9531,27.7556,29.0079,28.5096,28.5907,28.9427,28.3981,28.7986,28.6596
Ldhb,P16125;D3Z7F0,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,0.188422,0.352372,nonsig,33.9242,33.6734,33.7661,33.6948,33.6414,34.1753,33.6986,33.4325,33.4626,33.8291,33.7941,33.1084
Pah,P16331,Phenylalanine-4-hydroxylase,-0.0013938,0.00351053,nonsig,31.0272,31.016,31.1111,30.8472,30.9028,30.8661,30.9045,30.4748,30.8866,30.917,30.7934,30.5569
Mut,P16332,"Methylmalonyl-CoA mutase, mitochondrial",0.111568,0.241733,nonsig,28.2323,28.1796,27.699,28.352,28.4125,28.5279,28.2602,28.7058,28.4782,28.5045,27.8847,28.5928
Enpep,P16406;F7B9G4,Glutamyl aminopeptidase,-0.298061,0.262559,nonsig,26.5578,25.7246,25.4489,25.4539,26.4688,24.3132,25.0693,25.2013,25.9484,25.3427,25.4807,25.4731
Ass1;Gm5424,P16460;J3QNG0,Argininosuccinate synthase,0.0597506,0.167785,nonsig,34.605,34.4892,34.9953,34.3077,34.7199,34.8747,34.6889,34.7619,34.5817,34.7137,35.0616,34.4493
Sptan1,P16546;A3KGU7,"Spectrin alpha chain, non-erythrocytic 1",0.0148659,0.0481217,nonsig,30.9299,30.9786,31.0574,31.0323,31.0933,31.0129,30.8145,31.0092,31.0354,30.7541,30.9039,31.177
Gapdh;Gm7293,P16858;S4R1W1;S4R257;D3YYI5,Glyceraldehyde-3-phosphate dehydrogenase,0.07586,0.326777,nonsig,34.6571,34.2802,34.6587,34.505,34.4315,34.6995,34.5035,34.3848,34.5972,34.4654,34.261,34.3923
Eno1,P17182;Q6PHC1,Alpha-enolase;Enolase,-0.1008,0.371566,nonsig,33.6794,33.7726,33.5898,33.9682,33.291,33.3043,33.4734,33.048,33.3141,33.4806,33.1901,33.5352
Ap2a2,P17427,AP-2 complex subunit alpha-2,-0.0380864,0.0788401,nonsig,28.4327,28.2182,28.4425,28.1984,28.4157,28.3975,28.5774,28.0673,28.378,28.7684,28.3609,28.103
Selenbp1;Selenbp2,P17563;Q63836;G3UYY2,Selenium-binding protein 1;Selenium-binding protein 2,-0.0620141,0.172416,nonsig,31.7339,31.4191,31.6857,31.4224,31.6406,31.9467,31.5887,31.3735,31.6854,31.8776,31.5159,31.7187
Cox7c;Gm20091,P17665;J3QNB4,"Cytochrome c oxidase subunit 7C, mitochondrial",0.010643,0.00310291,nonsig,27.3358,26.6429,26.5094,26.5782,26.4647,22.6607,26.0397,26.8037,23.9004,25.1657,26.837,26.0231
Ppia,P17742,Peptidyl-prolyl cis-trans isomerase A,-0.418037,1.57352,nonsig,32.1971,31.9141,32.3834,31.9694,31.8493,31.6155,31.6803,31.3348,31.8328,32.2093,32.1904,31.9196
Tpi1,P17751;H7BXC3,Triosephosphate isomerase,-0.0867567,0.259207,nonsig,32.8896,32.0625,32.7992,32.9478,32.2704,32.5333,32.3812,32.3996,32.5874,32.7625,32.1721,32.4096
Hspa1a;Hspa1b,Q61696;P17879,Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B,0.381272,0.539766,nonsig,27.6917,27.5535,27.7223,28.3588,28.6811,28.0225,28.359,27.8053,27.3231,27.702,27.7376,28.58
Ctsd,P18242;F6Y6L6;F8WIR1,Cathepsin D,-0.440131,1.16835,nonsig,29.03,29.1669,29.3022,29.1114,28.5855,29.4092,28.7704,29.23,29.4067,29.4731,29.5453,29.3305
Svs4,P18419,Seminal vesicle secretory protein 4,-3.87866,1.53299,sig,23.9567,24.438,24.531,24.481,24.6461,24.172,22.8608,24.017,28.699,26.9425,24.7014,30.8678
Cfl1,P18760;F8WGL3,Cofilin-1,-0.481757,1.57639,nonsig,30.7006,29.8401,30.5844,31.0176,30.2359,30.4621,30.3461,30.8518,31.0707,30.7712,30.8167,31.1642
Dao,P18894;Q91WH3,D-amino-acid oxidase,0.413886,0.705407,nonsig,29.7848,29.7923,29.6345,29.6272,29.5468,30.2359,29.8522,29.0827,29.2641,29.5909,28.8742,29.3329
Fasn,P19096,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,-0.382043,0.180269,nonsig,28.9664,33.217,30.1589,31.2758,30.875,28.8294,31.3482,31.4883,29.6209,32.3126,31.1526,30.983
Gstp1;Gstp2,P19157;P46425,Glutathione S-transferase P 1;Glutathione S-transferase P 2,-0.0819721,0.111629,nonsig,30.8343,30.8713,30.3856,30.5179,30.8281,31.1972,31.075,30.2494,31.2607,30.9764,30.4398,31.0007
Rpl13a,P19253;S4R281;E9Q5A0,60S ribosomal protein L13a,0.596635,1.1018,nonsig,27.3463,27.5519,27.5549,27.3448,27.2201,27.6333,26.8915,26.5543,26.1768,26.4765,26.3271,26.9321
Serpinh1,P19324,Serpin H1,-0.12927,0.409383,nonsig,28.7536,28.4838,28.3085,28.7752,27.1738,27.4272,27.5879,27.6655,27.6551,27.8121,27.4622,27.4421
Cox5b,P19536;Q9D881,"Cytochrome c oxidase subunit 5B, mitochondrial",0.446567,1.14909,nonsig,29.096,28.5462,28.8012,29.097,29.0359,29.2115,29.258,28.6842,28.3542,28.5088,29.0604,28.48
Cox4i1,P19783,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",0.742364,2.00849,nonsig,29.4371,29.2676,28.7445,28.6702,29.0763,29.0533,28.8581,29.1742,28.7393,27.9086,28.0767,28.468
Hspa5,P20029,78 kDa glucose-regulated protein,0.163181,0.527166,nonsig,31.0753,30.7226,31.1061,30.962,30.6731,30.7965,31.0345,30.8574,30.5805,30.9182,30.3822,30.828
Hexb,P20060,Beta-hexosaminidase subunit beta,0.0190797,0.0147103,nonsig,23.6331,24.3959,23.4787,23.8621,24.6053,24.4221,24.7782,23.1861,24.2838,24.2454,23.5875,24.7986
Tmsb4x,P20065,Thymosin beta-4;Hematopoietic system regulatory peptide,-0.608578,0.745504,nonsig,27.6982,27.6815,28.0242,28.0474,28.2288,27.4739,28.6324,28.0482,28.9244,27.9716,28.4529,29.4687
Prdx3,P20108,"Thioredoxin-dependent peroxide reductase, mitochondrial",0.19765,1.06968,nonsig,30.6777,30.6875,30.8625,30.6568,30.8539,30.7825,30.7494,30.4809,30.62,30.5683,30.5023,30.3855
Vim,P20152,Vimentin,-0.974151,3.06778,sig,29.2914,29.7307,29.2748,29.5491,29.2742,28.777,29.1893,29.1581,30.2661,30.1435,29.7428,30.143
Gc,P21614,Vitamin D-binding protein,-1.04235,1.65804,sig,24.5125,25.4392,25.0031,25.2254,25.8163,24.4646,25.1205,25.2666,26.4394,26.6306,25.9698,25.7976
Lmnb2,P21619,Lamin-B2,-0.638303,1.53833,nonsig,25.6011,25.531,25.7138,26.0341,26.4262,25.7178,26.0161,25.9502,26.3173,26.4538,26.8604,27.032
Tgm2,P21981,Protein-glutamine gamma-glutamyltransferase 2,-0.382789,1.56649,nonsig,30.1712,29.9104,30.391,30.2397,29.7864,30.276,29.7899,29.8836,30.3029,30.4642,30.3376,30.1623
Fech,P22315;Q544X6,"Ferrochelatase, mitochondrial;Ferrochelatase",0.351867,0.184142,nonsig,24.9999,25.3701,25.2945,24.9944,26.5151,23.6516,25.8579,25.6576,25.5371,25.2871,23.8237,25.6269
Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a;Hist1h2ab;Hist1h2aa,Q8CGP6;Q8R1M2;Q8CGP7;Q8CGP5;Q8BFU2;P22752;Q8CGP4,Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 1;Histone H2A,-0.574935,0.684676,nonsig,33.5643,32.5885,32.7148,33.2157,32.5854,31.5017,32.6368,32.7774,32.9021,33.7564,32.5331,32.6094
Ap1g1,P22892;Q8CBB7,AP-1 complex subunit gamma-1,1.08132,0.560112,nonsig,23.4465,23.8176,24.3599,25.8667,24.0448,26.6477,24.3937,26.9044,25.2243,23.2059,23.9419,25.2933
Eif3a,P23116,Eukaryotic translation initiation factor 3 subunit A,0.0667324,0.13487,nonsig,26.8818,26.7049,26.5925,27.0873,26.8633,26.9222,27.0597,26.4148,26.5966,26.9768,26.9403,26.4792
Cbx3,Q9DCC5;P23198,Chromobox protein homolog 3,0.455464,0.52283,nonsig,25.0043,24.9813,24.8908,25.0369,24.9399,24.1989,24.9046,25.9392,24.8086,24.0126,24.5832,24.7564
Pnp,Q543K9;P23492,Purine nucleoside phosphorylase,-0.0235281,0.0264257,nonsig,28.897,28.7601,28.7225,28.4021,28.4392,27.5395,28.4457,28.2634,28.177,28.0517,28.7892,27.7641
Cat,P24270,Catalase,0.763777,1.63896,nonsig,33.5404,33.0338,33.2518,33.2342,33.3832,34.1995,33.8701,33.1769,33.1054,32.8357,32.6509,32.9825
Ppib,P24369,Peptidyl-prolyl cis-trans isomerase B,1.54415,0.656457,nonsig,27.6324,27.3211,27.5461,27.3587,28.0318,27.5347,27.5764,27.954,27.3235,22.8663,27.2557,27.4749
Gsta4,P24472,Glutathione S-transferase A4,0.0721793,0.108373,nonsig,28.0235,27.6391,27.6833,27.9528,27.2058,26.7791,26.9091,26.8472,27.3533,27.0056,26.8295,26.264
Lta4h,P24527,Leukotriene A-4 hydrolase,-0.382959,1.58467,nonsig,27.9785,27.7516,28.151,28.0163,27.7404,27.4874,27.5466,27.633,27.9305,28.2825,27.7108,28.0155
Aldh1a1,P24549,Retinal dehydrogenase 1,-2.65779,1.39139,sig,24.3392,23.4923,23.7287,24.783,27.1737,23.5993,27.1781,23.6862,28.1734,28.0781,28.119,27.8979
M6pr,P24668,Cation-dependent mannose-6-phosphate receptor,-0.427365,0.481646,nonsig,25.9528,25.9555,25.2905,26.6003,25.6109,24.0684,25.6357,25.3382,25.7349,25.2585,25.4123,25.9571
Tln1,P26039,Talin-1,-0.319263,0.972793,nonsig,29.9708,29.9889,30.3051,30.4268,30.5003,29.9775,30.42,30.1765,30.8276,30.5791,30.2656,30.679
Ezr,P26040,Ezrin,0.12162,1.112,nonsig,30.9465,30.3915,30.2128,30.6785,30.5745,30.4981,30.5441,30.5433,30.4877,30.2547,30.4737,30.4574
Msn,P26041,Moesin,-0.447435,2.1041,nonsig,30.1295,29.9595,29.7124,30.2073,29.8751,29.5433,29.8048,29.6651,30.3117,30.0367,30.0012,30.3285
Rdx,P26043,Radixin,-0.166309,0.411474,nonsig,28.6632,28.0495,27.8343,28.2507,28.4907,27.8717,28.0148,27.838,28.0599,28.0657,28.301,28.4539
Ctnna1,P26231,Catenin alpha-1,-0.0182829,0.052631,nonsig,27.0902,26.9745,26.6799,26.8781,27.2049,26.8237,26.9395,26.827,27.1552,26.7858,26.8787,27.0486
Ptma,P26350,Prothymosin alpha;Thymosin alpha,-0.352248,0.40005,nonsig,29.6909,29.3188,29.0195,29.7081,29.1707,28.5683,29.471,29.1229,29.8347,29.3252,28.529,30.053
Glud1,P26443,"Glutamate dehydrogenase 1, mitochondrial",0.111514,0.465456,nonsig,32.6306,32.3518,32.2697,32.3685,32.4693,32.4723,32.3723,32.1556,32.4078,32.2569,32.039,32.3197
Psmd7,P26516,26S proteasome non-ATPase regulatory subunit 7,0.954022,1.49528,nonsig,27.3263,26.985,26.381,26.9855,27.1075,26.5132,27.0963,26.5923,25.6088,25.1731,26.5585,26.1529
Sars,P26638;Q8C483;A2AFS0,"Serine--tRNA ligase, cytoplasmic",-0.430947,1.32663,nonsig,26.2957,26.8879,26.8903,26.3135,26.3807,26.5271,26.338,25.8906,26.6115,26.9392,26.835,26.4745
Marcks,P26645,Myristoylated alanine-rich C-kinase substrate,-0.255545,1.31088,nonsig,24.5995,24.7312,24.3894,24.8099,24.7289,24.5131,24.684,24.7864,25.0092,24.9052,24.7102,25.11
Fkbp1a,P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A,-0.478773,0.817657,nonsig,26.7506,26.805,27.2026,27.0479,26.5938,27.1039,25.933,26.6195,27.3816,27.195,26.9787,26.6099
Rpl3,P27659,60S ribosomal protein L3,0.794463,2.5298,nonsig,28.5978,28.5961,28.641,28.7977,28.7489,29.0728,28.3564,28.8393,27.8619,27.8403,27.991,28.1463
H2afx,P27661,Histone H2A.x,-0.184135,0.0510857,nonsig,23.6998,27.3658,24.668,23.9288,23.7294,24.2475,26.8488,25.0367,23.0122,25.1288,28.06,24.3979
Pdia3,P27773,Protein disulfide-isomerase A3,-0.0281186,0.0712104,nonsig,31.0032,30.9417,30.9116,31.1597,30.5718,30.883,31.0801,30.8126,30.782,31.0449,30.6387,30.9944
Aco1,P28271,Cytoplasmic aconitate hydratase,0.208858,0.69884,nonsig,32.1015,31.9422,32.0203,31.9251,31.6237,31.9668,31.82,31.5988,31.3623,31.5846,31.8559,31.371
Adh5,P28474,Alcohol dehydrogenase class-3,-0.422307,0.677512,nonsig,29.5481,30.0937,30.0718,29.8073,29.2671,30.1411,29.2529,29.9882,30.1304,29.8197,30.6013,29.7872
Bgn,P28653,Biglycan,-0.266664,0.404583,nonsig,24.6513,24.3766,23.7967,23.406,24.5866,24.9527,24.872,23.9692,25.2573,24.4011,24.7445,25.0443
Marcksl1,P28667,MARCKS-related protein,0.183352,0.105497,nonsig,23.7687,23.6557,23.2634,23.7916,23.5475,25.9823,23.9834,23.4633,24.4752,23.9902,24.3911,23.3865
Mep1a,P28825,Meprin A subunit alpha,0.218723,0.290151,nonsig,31.5484,30.5452,30.7863,31.2653,31.1943,30.9217,31.1733,31.5788,31.1439,30.3872,30.75,31.7121
Pabpc1,P29341,Polyadenylate-binding protein 1,-0.0999231,0.496256,nonsig,28.6232,28.2052,28.3714,28.5935,28.6504,28.4794,28.4666,28.2809,28.4829,28.7115,28.4977,28.585
Nedd8,P29595,NEDD8,-0.109746,0.115349,nonsig,26.8159,26.7456,26.7171,26.7659,26.4618,26.798,26.9597,25.8918,26.81,26.8975,25.8553,26.9874
Ahsg,P29699,Alpha-2-HS-glycoprotein,-1.00543,2.12302,sig,26.7405,27.8027,27.2658,27.2846,26.5556,26.2063,26.3666,27.116,27.4859,28.0371,27.3427,27.4006
Oat,P29758,"Ornithine aminotransferase, mitochondrial",-0.0266266,0.0660386,nonsig,29.4167,29.6752,29.1943,29.1062,28.6356,28.6905,28.3676,28.1054,28.5033,28.3478,28.5862,28.4683
Gsta3,P30115,Glutathione S-transferase A3,-0.660776,0.775848,nonsig,28.5542,27.7493,29.1261,28.8848,28.732,28.6109,27.9118,29.7373,29.0361,29.6502,29.8091,29.1398
Ckmt1,P30275;A2ARP5,"Creatine kinase U-type, mitochondrial",0.387773,0.753067,nonsig,28.1419,28.3753,28.4015,28.2608,28.1172,28.0055,28.1073,28.9519,27.8296,27.7005,27.8295,28.2712
Fkbp4,P30416;F6S2D5;F7CAT1;D6RDE2,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",0.333272,0.547226,nonsig,26.4589,26.3182,26.9527,26.9524,26.7279,27.0212,26.5496,25.897,26.5519,26.3984,25.9406,25.9718
Svs5,P30933,Seminal vesicle secretory protein 5,-3.52622,1.21391,sig,23.2285,23.3047,24.4633,24.5823,24.4176,24.581,23.1557,23.7038,28.1878,27.3317,23.5993,30.8442
Des,P31001,Desmin,-0.894254,1.67348,nonsig,24.9057,25.1941,25.0559,25.8608,25.6209,24.8935,25.3934,25.3865,26.4526,26.243,25.5271,26.6487
Dpep1,P31428,Dipeptidase 1,0.0164475,0.0169534,nonsig,27.0741,27.0558,27.2739,26.4247,28.5219,27.0422,27.798,28.169,27.6063,27.9241,27.9456,27.9893
Dbi,P31786;F6WUQ1;Q4VWZ5;D3Z563,Acyl-CoA-binding protein,-0.515564,0.849429,nonsig,30.0926,29.81,29.8879,30.4223,30.8054,30.0593,30.6312,30.8042,31.174,30.8472,30.5964,31.7448
Scp2,P32020,Non-specific lipid-transfer protein,0.325092,0.501558,nonsig,30.8466,30.493,30.9993,30.9151,31.0307,32.153,31.762,31.6153,30.9845,31.1498,31.8335,31.2928
Serpinc1,P32261,Antithrombin-III,-0.287727,0.607427,nonsig,26.5137,26.429,26.6693,26.615,27.3658,27.1743,26.6381,27.0642,27.2327,27.4581,26.968,27.7345
Ranbp1,P34022;H7BX22,Ran-specific GTPase-activating protein,-0.436461,0.487436,nonsig,26.0358,26.3649,26.0802,26.189,25.8906,24.2781,25.9945,25.4476,26.0308,25.7137,25.6001,26.012
Mif,P34884,Macrophage migration inhibitory factor,0.154341,0.103787,nonsig,29.6545,29.2575,31.0235,29.4658,30.2908,30.624,29.9368,29.7245,29.7656,29.0279,31.4329,29.7324
Ephx2,P34914,Bifunctional epoxide hydrolase 2;Cytosolic epoxide hydrolase 2;Lipid-phosphate phosphatase,0.328587,0.832299,nonsig,31.2982,31.0305,31.4092,31.1064,31.4821,32.3404,31.9488,32.183,31.7149,31.4969,31.6346,31.7935
Rab5c,P35278;Q8C266,Ras-related protein Rab-5C,-0.243937,0.917785,nonsig,27.338,26.902,27.2052,27.6915,27.0552,27.0454,27.2564,27.1384,27.2568,27.1898,27.2837,27.7407
Rab6b;Rab6a;Rab39a,P61294;P35279;D3YV69;Q8BHD0,Ras-related protein Rab-6B;Ras-related protein Rab-6A;Ras-related protein Rab-39A,0.33735,0.456204,nonsig,24.9233,25.1744,25.1116,25.2409,24.9879,24.7959,25.8979,24.8852,25.0696,25.0559,24.9206,24.1714
Rab18,P35293,Ras-related protein Rab-18,-0.12956,0.0757765,nonsig,25.6786,25.7821,25.7553,26.1003,25.7632,24.1919,26.4793,26.8237,25.6604,25.6043,26.3957,26.1159
Pdha1,P35486,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",0.17837,0.65402,nonsig,30.3282,30.4424,30.2021,30.2103,30.2129,30.3874,30.1496,30.2912,30.2471,29.9613,30.3157,29.8037
Fah,P35505,Fumarylacetoacetase,0.275772,0.775376,nonsig,31.3928,31.5138,31.5437,30.9315,31.7425,32.0166,31.3796,31.4688,31.458,31.3101,31.6034,31.133
