UniProt Accession,Protein Name,5 month old mouse 1 H:L,5 month old mouse 2 H:L,5 month old mouse 3 H:L,12 month old mouse 1 H:L,12 month old mouse 2 H:L,12 month old mouse 3 H:L,P-value,Cum.PPDE (p),PPDE (p),BH (FDR)
Q91VC9,Growth hormone-inducible transmembrane protein OS=Mus musculus GN=Ghitm PE=2 SV=1,3.599,4.083,3.073,2.683,2.622,2.500,0.011,0.979,0.941,0.045
Q8BTX9,Inactive hydroxysteroid dehydrogenase-like protein 1 OS=Mus musculus GN=Hsdl1 PE=2 SV=1,1.242,1.411,1.416,1.090,1.158,1.006,0.011,0.979,0.941,0.045
Q9JLZ3,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1",0.531,0.394,0.344,0.208,0.202,0.357,0.011,0.979,0.941,0.045
Q0PD38,"RAB18, member RAS oncogene family, isoform CRA_a OS=Mus musculus GN=Rab18 PE=2 SV=1",2.149,1.568,2.620,3.035,3.209,3.026,0.013,0.977,0.936,0.051
Q99JR1,Sideroflexin-1 OS=Mus musculus GN=Sfxn1 PE=1 SV=3,1.862,2.106,2.037,1.521,1.487,1.410,0.013,0.977,0.936,0.051
A2ASZ8,Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus GN=Slc25a25 PE=2 SV=1,0.753,0.847,0.841,0.610,0.707,0.509,0.013,0.977,0.935,0.051
Q5NC81,Nucleoside diphosphate kinase OS=Mus musculus GN=Nme1 PE=2 SV=1,0.621,0.730,0.613,0.435,0.506,0.566,0.013,0.977,0.935,0.051
P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1",0.402,0.482,0.437,0.331,0.307,0.329,0.013,0.977,0.935,0.051
Q8BWM0,Prostaglandin E synthase 2 OS=Mus musculus GN=Ptges2 PE=1 SV=3,1.223,1.428,1.416,1.104,1.018,1.124,0.013,0.977,0.934,0.051
Q542T7,"RAB3C, member RAS oncogene family OS=Mus musculus GN=Rab3c PE=2 SV=1",0.522,0.418,0.438,0.314,0.345,0.344,0.013,0.977,0.934,0.052
Q91VA7,Isocitrate dehydrogenase 3 (NAD+) beta OS=Mus musculus GN=Idh3b PE=2 SV=1,0.610,0.659,0.608,0.490,0.491,0.475,0.014,0.976,0.933,0.052
Q9Z1P6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3,0.382,0.502,0.465,0.306,0.306,0.303,0.014,0.976,0.933,0.052
Q4VA32,Thioesterase superfamily member 2 OS=Mus musculus GN=Acot13 PE=2 SV=1,0.559,0.711,0.591,0.489,0.447,0.474,0.014,0.976,0.932,0.052
Q8VC72,NADH dehydrogenase (Ubiquinone) Fe-S protein 8 OS=Mus musculus GN=Ndufs8 PE=2 SV=2,0.462,0.636,0.493,0.371,0.352,0.448,0.014,0.976,0.932,0.052
P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1",3.548,4.021,3.805,2.897,2.768,2.853,0.014,0.976,0.931,0.053
Q9DCY1,Peptidyl-prolyl cis-trans isomerase OS=Mus musculus GN=Ppib PE=2 SV=1,1.556,2.089,2.174,2.562,2.442,2.887,0.015,0.975,0.930,0.054
Q3UMR5,"Calcium uniporter protein, mitochondrial OS=Mus musculus GN=Mcu PE=1 SV=2",1.195,1.324,1.121,1.034,0.967,0.971,0.015,0.975,0.930,0.054
Q9D5T0,ATPase family AAA domain-containing protein 1 OS=Mus musculus GN=Atad1 PE=1 SV=1,2.859,3.643,2.861,2.434,1.980,2.267,0.015,0.975,0.929,0.055
Q9WUM5,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus GN=Suclg1 PE=1 SV=4",0.639,0.736,0.705,0.521,0.503,0.589,0.015,0.975,0.928,0.055
Q8BGH2,Sorting and assembly machinery component 50 homolog OS=Mus musculus GN=Samm50 PE=1 SV=1,1.310,1.851,1.264,1.167,1.107,1.090,0.015,0.975,0.928,0.055
Q9CXW2,"28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=2 SV=1",3.646,4.233,4.163,3.274,3.020,2.503,0.015,0.974,0.927,0.055
Q8R4N0,"Citrate lyase subunit beta-like protein, mitochondrial OS=Mus musculus GN=Clybl PE=1 SV=2",0.908,1.523,0.999,0.923,0.861,0.653,0.016,0.974,0.927,0.056
Q9D6J5,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Mus musculus GN=Ndufb8 PE=1 SV=1",0.345,0.409,0.372,0.239,0.232,0.265,0.016,0.974,0.926,0.056
Q80XN0,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Bdh1 PE=1 SV=2",0.546,0.648,0.558,0.447,0.419,0.483,0.016,0.974,0.925,0.057
O88587,Catechol O-methyltransferase OS=Mus musculus GN=Comt PE=1 SV=2,4.349,2.625,2.906,2.254,2.064,2.338,0.017,0.973,0.922,0.060
Q54A87,"ATPase, H+ transporting, lysosomal V1 subunit G2, isoform CRA_a OS=Mus musculus GN=Atp6v1g2 PE=4 SV=1",0.035,0.046,0.059,0.010,0.010,0.055,0.017,0.972,0.922,0.061
Q3UMM1,"Tubulin, beta 6 OS=Mus musculus GN=Tubb6 PE=2 SV=1",3.407,3.273,3.659,13.680,5.884,3.455,0.018,0.972,0.921,0.061
Q99KI0,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",0.720,0.834,0.755,0.602,0.589,0.593,0.018,0.972,0.920,0.062
P19157,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2,0.232,0.268,0.288,0.397,0.452,0.325,0.019,0.971,0.917,0.065
B1AQZ0,Septin-8 OS=Mus musculus GN=Sept8 PE=3 SV=1,0.098,0.032,0.139,0.126,0.192,0.152,0.020,0.970,0.915,0.066
Q9CQF0,"39S ribosomal protein L11, mitochondrial OS=Mus musculus GN=Mrpl11 PE=2 SV=1",5.668,4.627,4.733,3.236,3.976,3.159,0.020,0.970,0.915,0.066
Q9DC70,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus GN=Ndufs7 PE=1 SV=1",0.419,0.571,0.433,0.349,0.342,0.349,0.020,0.970,0.914,0.067
Q5M9J2,Histidine triad nucleotide binding protein 2 OS=Mus musculus GN=Hint2 PE=2 SV=1,1.293,1.507,1.475,1.117,1.059,1.282,0.020,0.970,0.914,0.067
Q3TDN8,Putative uncharacterized protein OS=Mus musculus GN=Bphl PE=2 SV=1,0.464,0.455,0.460,0.393,0.373,0.309,0.022,0.968,0.909,0.073
Q9CQZ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus GN=Ndufa6 PE=1 SV=1,0.382,0.426,0.418,0.284,0.258,0.283,0.022,0.968,0.908,0.073
P40142,Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1,0.242,0.226,0.361,0.409,0.452,0.340,0.022,0.967,0.908,0.073
Q3U489,Putative uncharacterized protein OS=Mus musculus GN=Ak4 PE=2 SV=1,0.947,1.093,0.849,0.712,0.781,0.751,0.023,0.967,0.906,0.074
Q9JIG8,PRA1 family protein 2 OS=Mus musculus GN=Praf2 PE=2 SV=1,1.219,1.397,0.913,0.483,0.625,1.374,0.023,0.967,0.906,0.074
Q0PD53,"RAB6B, member RAS oncogene family OS=Mus musculus GN=Rab6b PE=2 SV=1",0.186,0.199,0.250,0.188,0.384,0.670,0.023,0.967,0.906,0.074
Q8K3G7,Reticulon OS=Mus musculus GN=Rtn4 PE=2 SV=1,2.578,2.253,8.683,12.216,10.694,4.135,0.024,0.966,0.904,0.076
Q9D880,Mitochondrial import inner membrane translocase subunit TIM50 OS=Mus musculus GN=Timm50 PE=1 SV=1,3.960,3.531,4.263,2.870,2.668,3.162,0.024,0.966,0.904,0.076
Q8JZN5,"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2",1.730,2.124,1.985,1.470,1.456,1.527,0.024,0.966,0.904,0.076
Q9JKR6,Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1,4.520,5.240,4.167,8.806,7.145,5.755,0.024,0.966,0.902,0.077
Q9D1B9,"39S ribosomal protein L28, mitochondrial OS=Mus musculus GN=Mrpl28 PE=2 SV=3",3.900,4.017,4.578,3.606,3.602,1.849,0.024,0.966,0.902,0.077
Q14C26,"RIKEN cDNA 2900064A13, isoform CRA_b OS=Mus musculus GN=Emc7 PE=2 SV=1",1.986,2.311,3.840,6.158,4.480,2.740,0.025,0.965,0.902,0.077
P62071,Ras-related protein R-Ras2 OS=Mus musculus GN=Rras2 PE=1 SV=1,2.035,1.422,1.984,2.359,2.520,2.264,0.025,0.965,0.901,0.077
Q91VD9,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2",0.393,0.465,0.418,0.301,0.301,0.303,0.025,0.965,0.901,0.077
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Mus musculus GN=Dhodh PE=2 SV=2",3.692,3.531,3.508,2.185,3.055,2.954,0.026,0.964,0.897,0.081
D3Z7P3,"Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1",0.727,0.785,0.716,0.587,0.595,0.557,0.026,0.964,0.897,0.081
Q61102,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus GN=Abcb7 PE=1 SV=3",1.704,2.174,1.580,1.399,1.437,1.368,0.027,0.963,0.895,0.082
Q8BHN3,Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1,4.624,4.742,4.901,6.362,5.455,100.000,0.027,0.963,0.895,0.083
Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Mus musculus GN=Alg2 PE=2 SV=2",1.872,1.786,2.123,2.591,2.351,2.475,0.028,0.963,0.893,0.084
P31324,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus GN=Prkar2b PE=1 SV=3,0.428,0.303,0.243,0.418,0.462,0.439,0.028,0.962,0.893,0.084
Q9DCJ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Mus musculus GN=Ndufa8 PE=1 SV=3,0.341,0.415,0.361,0.258,0.243,0.261,0.028,0.962,0.891,0.085
P52503,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial OS=Mus musculus GN=Ndufs6 PE=1 SV=2",0.468,0.306,0.752,0.255,0.261,0.410,0.029,0.961,0.889,0.088
Q545S0,"Thiosulfate sulfurtransferase, mitochondrial, isoform CRA_a OS=Mus musculus GN=Tst PE=2 SV=1",0.442,0.434,0.402,0.310,0.263,0.386,0.030,0.960,0.887,0.090
Q3UQM7,Putative uncharacterized protein OS=Mus musculus GN=Slc7a5 PE=2 SV=1,2.890,2.703,2.607,3.868,3.842,3.410,0.033,0.958,0.881,0.096
P56391,Cytochrome c oxidase subunit 6B1 OS=Mus musculus GN=Cox6b1 PE=1 SV=2,0.386,0.446,0.442,0.316,0.291,0.317,0.033,0.958,0.880,0.097
Q9CQD1,Ras-related protein Rab-5A OS=Mus musculus GN=Rab5a PE=1 SV=1,1.346,1.283,1.338,1.092,1.169,1.049,0.033,0.958,0.880,0.097
Q8K1M3,"Protein kinase, cAMP dependent regulatory, type II alpha OS=Mus musculus GN=Prkar2a PE=2 SV=1",0.215,0.442,0.516,0.176,0.190,0.322,0.033,0.958,0.879,0.097
F7C846,Metaxin-1 OS=Mus musculus GN=Mtx1 PE=4 SV=1,2.449,2.715,2.836,1.928,1.985,2.010,0.034,0.958,0.879,0.097
Q71LX8,Heat shock protein 84b OS=Mus musculus GN=Hsp90ab1 PE=2 SV=1,1.210,1.292,1.532,2.026,2.063,1.314,0.034,0.957,0.878,0.097
Q8R5L1,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus GN=C1qbp PE=2 SV=1",3.078,3.571,3.514,2.737,2.571,2.477,0.035,0.956,0.874,0.102
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1",1.166,1.318,1.233,1.127,1.073,0.896,0.036,0.956,0.873,0.102
Q9Z2I8,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=1 SV=3",5.348,5.284,5.392,4.108,3.897,4.070,0.037,0.955,0.871,0.104
Q8K239,Elongation factor Ts (Fragment) OS=Mus musculus GN=Tsfm PE=2 SV=1,3.592,4.257,4.040,2.991,3.272,2.799,0.039,0.953,0.865,0.111
Q6A0D1,MKIAA0103 protein (Fragment) OS=Mus musculus GN=Emc2 PE=2 SV=1,2.291,2.325,3.615,3.858,3.441,3.972,0.040,0.953,0.864,0.112
Q99LC3,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Mus musculus GN=Ndufa10 PE=1 SV=1",0.367,0.413,0.407,0.266,0.266,0.316,0.040,0.952,0.863,0.112
Q9CYN2,Signal peptidase complex subunit 2 OS=Mus musculus GN=Spcs2 PE=1 SV=1,3.223,5.651,3.563,10.168,6.358,4.054,0.041,0.952,0.861,0.114
B2RSY3,Hepatocyte cell adhesion molecule OS=Mus musculus GN=Hepacam PE=2 SV=1,0.154,0.118,0.484,0.027,0.033,0.409,0.042,0.951,0.859,0.116
Q9DB41,Mitochondrial glutamate carrier 2 OS=Mus musculus GN=Slc25a18 PE=2 SV=4,0.124,0.139,0.138,0.069,0.086,0.105,0.042,0.951,0.858,0.116
Q9D172,"ES1 protein homolog, mitochondrial OS=Mus musculus GN=D10Jhu81e PE=1 SV=1",0.389,0.454,0.414,0.316,0.317,0.297,0.042,0.951,0.858,0.116
Q922Z3,Trap1 protein (Fragment) OS=Mus musculus GN=Trap1 PE=2 SV=1,4.931,5.154,5.341,4.401,3.974,3.133,0.043,0.950,0.856,0.118
