Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00307837;IPI00831365;IPI00831184;IPI00849577,-0.08,0.22,0.21,0.08,0,-0.13,-0.18,0.16,,0.6,-0.15,26,26,14,79.7,0.00E+00,50.113,9,-,78326265,Eef1a1;Eef1a;mCG_15232,P10126;Q3TII3;Q3UA81;Q3UZQ3;Q4FZE5;Q58E64,Elongation factor 1-alpha 1;eEF1A-1;Elongation factor Tu;Elongation factor 1-alpha;Eef1a1 protein
IPI00133928,0.34,0.29,0.12,0.13,0.16,0.04,,-0.43,,0.6,-0.3,3,3,3,29.9,3.52E-10,19.859,13,-,38737563,Eef1e1,Q9D1M4;B0LAB0,Eukaryotic translation elongation factor 1 epsilon-1;Multisynthetase complex auxiliary component p18;Elongation factor p18;Eukaryotic translation elongation factor 1 epsilon 1
IPI00228674;IPI00831171;IPI00831251,-0.03,0.42,0.43,0.18,-0.08,-0.14,-0.17,0.41,,0.6,-0.25,9,9,4,58.5,1.52E-113,22.038,X,-,132735496,Tceal5;RP23-132M9.2-001,Q8CCT4;Q14C38,Transcription elongation factor A protein-like 5;Transcription elongation factor S-II protein-like 5;Transcription elongation factor A (SII)-like 5
IPI00123924,1.87,0.7,0.9,1.04,1.59,1.87,1.21,1.5,,0.6,0.41,13,13,1,40,7.18E-211,45.998,12,-,105001806,Serpina1d;Dom4;Spi1-4,Q00897;Q8VC41,Alpha-1-antitrypsin 1-4;Serine protease inhibitor 1-4;Serine protease inhibitor A1d;Alpha-1 protease inhibitor 4;Serpina1d protein
IPI00121596;IPI00654361,-0.04,0.3,0.41,0.09,-0.08,-0.01,-0.04,0.21,,0.6,-0.17,31,31,31,17,1.20E-142,273.61,11,+,75300279,Prpf8;Prp8,Q99PV0;Q3TI71,Pre-mRNA-processing-splicing factor 8;Splicing factor Prp8;Putative uncharacterized protein
IPI00849879,-0.01,0.1,0.18,0.17,0.12,0.2,0.2,0.2,,0.6,0.07,18,1,1,65.2,0.00E+00,39.967,,,,,,
IPI00875741;IPI00408171;IPI00869459;IPI00462743;IPI00776032,-0.2,0,-0.05,-0.29,-0.24,-0.71,-0.24,,,0.6,-0.26,4,4,4,6.6,2.01E-56,88.999,6,-,142959470,Kiaa0528;5730419I09Rik,Q7TPS5-1;Q7TPS5;Q3TSE2;Q7TPS5-2;Q7TPS5-3,Uncharacterized protein KIAA0528;Putative uncharacterized protein
IPI00118924;IPI00649122;IPI00880501,,-0.03,0.03,0.12,1.72,1.08,-0.11,,,0.6,0.86,4,4,4,8.4,1.02E-19,54.971,11,-,75245234,Serpinf2;Pli;RP23-384C18.2-001;mCG_1332;RP23-384C18.2-002,Q61247;Q5ND36;Q5ND35,"Alpha-2-antiplasmin;Alpha-2-plasmin inhibitor;Serine (Or cysteine) proteinase inhibitor, clade F, member 2;Serine (Or cysteine) peptidase inhibitor, clade F, member 2, isoform CRA_c"
IPI00347275,-0.74,0.02,-0.01,-0.14,-0.02,-0.06,0.15,0.12,,0.6,0.26,5,5,5,23.7,3.75E-08,25.219,6,+,71493911,Vps24;Chmp3,Q9CQ10,Charged multivesicular body protein 3;Chromatin-modifying protein 3;Vacuolar protein-sorting-associated protein 24
IPI00828358;IPI00135327;IPI00230686;IPI00230685;IPI00230684,-0.06,-0.07,-0.53,-0.54,-0.17,,0,-0.11,,0.6,0.2,22,22,22,28.1,1.64E-194,119.71,2,+,124978336,Slc12a1;RP23-216B20.1-001;mCG_6138;Nkcc2;RP23-216B20.1-002;RP23-216B20.1-003,A2AQ52;P55014-1;P55014;A2AQ50;P55014-4;A2AQ51;P55014-3,"Solute carrier family 12, member 1;Solute carrier family 12, member 1, isoform CRA_d;Solute carrier family 12 member 1;Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2;BSC1;Kidney-specific Na-K-Cl symporter;Solute carrier family 12, member 1, isoform CRA_b;Solute carrier family 12, member 1, isoform CRA_a"
IPI00676574;IPI00553400;IPI00885404,,0.04,0.02,-0.06,0.86,1.57,-0.2,0.04,,0.6,0.57,5,5,5,1.6,8.24E-09,532.65,9,+,66198331,Herc1,Q4VBD0;Q8BR49;Q8CBQ0;Q9CS23,Herc1 protein;Putative uncharacterized protein
IPI00851005;IPI00466999,0.23,-0.07,0.03,0.05,0.13,-0.18,-0.1,-0.15,,0.6,-0.13,4,4,4,9.5,1.36E-15,67.031,6,+,135147995,Kiaa1467;8430419L09Rik;mCG_22267,Q8BYI8-1;Q8BYI8;Q99L10;Q8BYI8-2;B2RPZ7,Uncharacterized protein KIAA1467;8430419L09Rik protein;RIKEN cDNA 8430419L09;RIKEN cDNA 8430419L09 gene
IPI00120166,-0.04,0.06,-0.02,0.01,0.07,-0.19,-0.1,-0.09,,0.6,-0.08,3,3,3,10.3,3.10E-49,54.716,1,+,193730646,Slc30a1;Znt1;mCG_14105,Q60738;Q3UM63,"Zinc transporter 1;Solute carrier family 30 member 1;Putative uncharacterized protein;Solute carrier family 30 (Zinc transporter), member 1"
IPI00229705,-0.08,0.06,-0.11,-0.04,0,-0.25,-0.15,-0.13,,0.6,-0.09,6,6,6,7.5,2.18E-22,111.25,3,+,118265094,Dpyd,Q8CHR6;Q3UEP3;Q80XT4;Q811I9;Q8BW32;Q8K150,Dihydropyrimidine dehydrogenase [NADP+];Dihydrouracil dehydrogenase;Dihydrothymine dehydrogenase;Putative uncharacterized protein;Dpyd protein
IPI00120374,0,-0.04,-0.02,0.21,0,-0.19,-0.06,-0.01,,0.6,-0.1,3,3,2,9.4,3.31E-45,35.608,11,+,51912326,Ppp2ca,P63330,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
IPI00230035;IPI00133708,0.06,0.17,0.18,0.11,0.01,0.06,0.1,0.13,,0.6,-0.06,16,16,8,37.9,2.98E-120,73.101,1;X,+,12858148,Ddx3x;D1Pas1-rs2;Ddx3;Dead3;Erh;RP23-158L19.4-001;D1Pas1;Pl10;mCG_49293,Q62167;B7ZWF1;B9EKE9;Q3TQX5;P16381;B9EIA2,"ATP-dependent RNA helicase DDX3X;DEAD box protein 3, X-chromosomal;DEAD box RNA helicase DEAD3;Embryonic RNA helicase;D1Pas1-related sequence 2;Ddx3x protein;DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked;Putative uncharacterized protein;Putative ATP-dependent RNA helicase Pl10;DNA segment, Chr 1, Pasteur Institute 1"
IPI00553777;IPI00817004;IPI00889986;IPI00947561,-0.06,0.38,0.32,0,-0.11,-0.26,-0.15,0.26,,0.6,-0.23,15,12,5,47.5,9.87E-156,38.803,15,+,103070885,Hnrnpa1;Fli-2;Hnrpa1;Tis,P49312-2;P49312;P70370;Q3UK83;Q5EBP8;P49312-1;Q3TFB1;Q3TIK8;Q3U7F3,Heterogeneous nuclear ribonucleoprotein A1;hnRNP core protein A1;Helix-destabilizing protein;HDP-1;Single-strand-binding protein;Topoisomerase-inhibitor suppressed;HnRNP A1;Putative uncharacterized protein
IPI00874402;IPI00313390;IPI00458795,-0.1,-0.25,-0.08,-0.02,-0.06,0.07,-0.04,-0.08,,0.6,0.08,9,9,9,42.8,5.86E-92,27.935,6,-,89333154,Chchd6,Q91VN4;Q3TJS8;Q3UNQ1;Q9D5I5;Q9DA45;Q9DAM8;Q8C2Z6,Coiled-coil-helix-coiled-coil-helix domain-containing protein 6;Putative uncharacterized protein
IPI00344142;IPI00676177;IPI00875667,0.1,0.26,0.15,0.13,-0.02,0.11,0.1,0.16,,0.59,-0.07,8,8,4,49.4,6.83E-129,25.992,10,+,106708917,Lin7a;Mals1;Veli1;mCG_16980,Q8JZS0;Q3TUM0,"Lin-7 homolog A;Mammalian lin-seven protein 1;Vertebrate lin-7 homolog 1;Putative uncharacterized protein;MCG16980, isoform CRA_b"
IPI00648853;IPI00322033;IPI00515537;IPI00515583;IPI00515591;IPI00409418;IPI00621485;IPI00406886;IPI00222197,0.1,-0.08,0.01,-0.06,0.06,0.14,0.12,-0.04,,0.59,0.08,10,10,9,25.9,1.26E-113,53.382,11,-,60040220,Tom1l2;RP23-456O18.4-004;RP23-456O18.4-008;RP23-456O18.4-009;RP23-456O18.4-006,Q5SRX1-2;Q5SRX1;B1AU84;Q5SRX1-1;Q5SXA4;Q5SXA5;B1AU83;Q5SRX1-4;Q5SRX1-3,TOM1-like protein 2;Target of Myb-like protein 2;Target of myb1-like 2 (Chicken)
IPI00874907;IPI00874389,,0.26,0.07,-0.04,0.07,-0.02,-0.27,-0.07,,0.59,-0.17,6,6,6,2.4,2.00E-16,265.77,12,+,13329794,4933425L03Rik;Nbas,Q3UJX6;Q6GQV6;Q6PGH6;Q80X24;Q80XK8;Q8BUH3;Q9D3Z9,Putative uncharacterized protein;Nbas protein
IPI00421085,0.12,0.36,,0.23,0.22,,0.04,0,,0.59,-0.15,3,3,3,6.2,3.90E-37,59.152,10,-,116792994,Cpsf6,Q6NVF9,Cleavage and polyadenylation specificity factor subunit 6
IPI00338854,-0.11,0.13,0.35,0.1,-0.09,-0.03,-0.2,0.14,,0.59,-0.17,12,2,2,35,9.07E-163,40.538,3,-,107910199,Gnai3,Q9DC51;Q3TJH1,Guanine nucleotide-binding protein G(k) subunit alpha;G(i) alpha-3;Putative uncharacterized protein
IPI00515604;IPI00515580;IPI00515160;IPI00515509;IPI00753983;IPI00753070;IPI00515396;IPI00752334;IPI00753519;IPI00749834;IPI00755165;IPI00752342;IPI00404650;IPI00754961;IPI00753532;IPI00752301;IPI00378796;IPI00623219;IPI00515681;IPI00379467;IPI00627016;IPI00830825;IPI00830925;IPI00875176,-0.1,-0.5,-0.44,-0.27,-0.13,0.14,0.1,-0.48,,0.59,0.24,18,18,18,23.6,0.00E+00,107.83,5,-,8072352,Adam22,Q9R1V6-12;Q9R1V6;Q9R1V6-11;Q9R1V6-14;Q9R1V6-8;Q9R1V6-15;Q9R1V6-13;Q9R1V6-10;Q9R1V6-7;Q9R1V6-3;Q9R1V6-6;Q9R1V6-17;Q9R1V6-4;Q9R1V6-5;Q9R1V6-16;Q9R1V6-9;Q9R1V6-1;A4FUT9;Q9R1V6-20;Q9R1V6-21;Q9R1V6-18;Q9R1V6-2;Q9R1V6-19,Disintegrin and metalloproteinase domain-containing protein 22;Adam22 protein
IPI00320420;IPI00753742;IPI00918075;IPI00918144;IPI00918214;IPI00918382;IPI00918329,0,-0.27,-0.32,-0.18,0.13,-0.02,0.11,-0.3,,0.59,0.17,10,10,10,23.2,4.79E-96,51.655,14,+,66587491,Clu;Apoj;Msgp-2,Q06890;Q549A5;Q9JK98;Q3V245,Clusterin;Sulfated glycoprotein 2;Clustrin;Apolipoprotein J;Clusterin beta chain;Clusterin alpha chain;Putative uncharacterized protein
IPI00133257;IPI00222348,0.34,-0.7,-0.72,-0.37,-0.2,0.4,0.53,-0.34,,0.59,0.46,4,4,4,7.1,2.10E-27,40.982,1,+,196765080,Cd34;mCG_1966,Q64314-1;Q64314;Q3TJP6;Q543B6;Q8C2A1;Q64314-2;Q543Y2,"Hematopoietic progenitor cell antigen CD34;Putative uncharacterized protein;CD34 antigen, isoform CRA_b"
IPI00134997;IPI00648401,0.24,0.16,-0.14,-0.03,-0.35,0.01,0.12,-0.45,,0.59,-0.23,6,6,6,9.3,4.99E-45,105.87,4,+,126846448,Dlgap3;Dap3;RP23-81D5.2-001;RP23-81D5.2-002,Q6PFD5;Q3TY61;B1AS06,"Disks large-associated protein 3;SAP90/PSD-95-associated protein 3;PSD-95/SAP90-binding protein 3;Discs, large (Drosophila) homolog-associated protein 3;Putative uncharacterized protein"
IPI00337893,-0.06,-0.02,-0.02,0.02,0,0.02,-0.01,0,,0.59,0.02,14,14,13,63.6,2.45E-226,43.231,X,-,156560152,Pdha1;Pdha-1;RP23-36P16.4-001;mCG_14551,P35486;Q3UFJ3,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial;PDHE1-A type I;Putative uncharacterized protein;Pyruvate dehydrogenase E1 alpha 1"
IPI00315463,-0.09,-0.19,-0.04,-0.12,-0.01,-0.06,-0.07,-0.11,,0.59,0.05,5,5,5,21.7,4.20E-43,21.447,18,-,34504543,Reep5;Dp1,Q60870;Q5QGU0;Q921E4;Q9CQG4,Receptor expression-enhancing protein 5;Polyposis locus protein 1 homolog;TB2 protein homolog;GP106;Receptor expression enhancing protein 5;Receptor accessory protein 5;Putative uncharacterized protein
IPI00117106;IPI00874729;IPI00885271;IPI00919213;IPI00885359,-0.2,-0.33,-0.33,-0.25,-0.25,-0.04,-0.02,-0.33,,0.59,0.12,9,9,9,23.7,3.74E-47,50.548,10,-,5891401,,A6H630-1;A6H630;A6H630-2;A6H630-4,UPF0364 protein C6orf211 homolog
IPI00330464,-0.1,-0.03,-0.02,-0.06,-0.08,-0.09,-0.23,-0.04,,0.59,-0.06,9,9,9,21.2,7.85E-47,62.133,3,+,94217240,Tdrkh,Q80VL1;Q6PGG8,Tudor and KH domain-containing protein;Tdrkh protein
IPI00918646;IPI00227850;IPI00752633,-0.09,-0.42,-0.45,-0.19,0.05,0.23,0.05,-0.49,,0.59,0.25,6,5,5,43.4,1.46E-39,16.086,9,+,74885539,Arpp19,P56212-1;P56212;P56212-2,cAMP-regulated phosphoprotein 19
IPI00480306;IPI00857468;IPI00228295;IPI00480571,0.03,0.2,0.05,0.05,0.07,-0.01,0.04,-0.02,,0.59,-0.06,6,6,5,7.9,9.68E-15,113.49,6,+,105627769,Cntn4;Kiaa3024,Q69Z26-1;Q69Z26;Q14BL8;Q69Z26-2;Q69Z26-3;Q3TQK2,Contactin-4;Brain-derived immunoglobulin superfamily protein 2;Contactin 4;Putative uncharacterized protein
IPI00135207;IPI00943440,0.01,0.3,0.23,0.01,0,0.03,-0.01,0.09,,0.59,-0.11,12,12,12,10.9,2.13E-114,132.06,10,-,62207210,Ccar1;Carp1,Q8CH18-1;Q8CH18;Q8CH18-3,Cell division cycle and apoptosis regulator protein 1;Cell cycle and apoptosis regulatory protein 1
IPI00378015;IPI00308222;IPI00458127,-0.01,-0.11,-0.04,-0.03,-0.06,-0.08,-0.08,-0.14,,0.59,-0.04,11,11,11,31.7,1.32E-126,48.699,11,+,5688491,Dbnl;Abp1;Sh3p7,Q62418-1;Q62418;Q62418-2;Q62418-3,Drebrin-like protein;SH3 domain-containing protein 7;Actin-binding protein 1
IPI00649330,0.05,0.24,0.12,0.14,0.19,,0.18,0.36,,0.59,0.1,11,2,1,6,5.91E-36,222.03,4,+,43071856,Unc13b;RP23-177I18.1-004,A2AIL5,Unc-13 homolog B (C. elegans)
IPI00120691;IPI00652987,0.3,1.09,0.65,0.39,-0.07,-0.14,0.12,0.89,,0.59,-0.41,12,12,12,19,2.16E-76,93.581,10,-,62044862,Ddx21;mCG_11315,Q9JIK5;Q3TVJ3;Q3ULC7;Q6PCP0;Q8K2L4;Q9CSR3;Q9CWZ5,"Nucleolar RNA helicase 2;Nucleolar RNA helicase II;Nucleolar RNA helicase Gu;RH II/Gu;Gu-alpha;DEAD box protein 21;DEAD (Asp-Glu-Ala-Asp) box polypeptide 21;Putative uncharacterized protein;DEAD (Asp-Glu-Ala-Asp) box polypeptide 21, isoform CRA_b;Ddx21 protein"
IPI00227807;IPI00453940;IPI00227806;IPI00314762,0.16,0.19,0.31,0.12,-0.05,,0.18,0.11,,0.59,-0.12,5,5,3,6,2.05E-11,124.77,2,+,31544833,Abl1;Abl;RP23-65P13.3-001;RP23-65P13.3-008;mCG_17446;RP23-65P13.3-009,P00520-4;P00520;Q3SYK5;P00520-1;A2AV22;P00520-3;A2AV23;P00520-2;Q3TM13;Q3V2W1,Proto-oncogene tyrosine-protein kinase ABL1;Abelson murine leukemia viral oncogene homolog 1;c-ABL;p150;Abl1 protein;V-abl Abelson murine leukemia oncogene 1;Putative uncharacterized protein
IPI00318428,-0.05,0.8,0.8,0.34,-0.22,-0.25,-0.36,0.81,,0.58,-0.47,5,5,5,37.7,7.34E-33,27.541,11,-,62338448,Cenpv;Prr6,Q9CXS4-1;Q9CXS4,Centromere protein V;Protein CENP-V;Proline-rich protein 6
IPI00381365;IPI00395178;IPI00515365;IPI00395177;IPI00761596;IPI00515193,0.09,0.33,0.29,0.29,0.14,0.11,0.12,0.27,,0.58,-0.09,20,20,19,27.9,1.76E-97,98.987,11,-,76230237,Abr,Q5SSL4-2;Q5SSL4;Q5SSL4-1;Q5SSL4-4;Q5SSL4-3,Active breakpoint cluster region-related protein
IPI00911135;IPI00117929;IPI00277552;IPI00890838,0.22,0.05,0,0.09,0.22,0.25,0.24,0.04,,0.58,0.09,30,30,5,50.6,0.00E+00,95.911,15,+,41279047,Oxr1;C7;Gm1238,Q4KMM3-2;Q4KMM3;Q4KMM3-1,Oxidation resistance protein 1;Protein C7
IPI00115875;IPI00918580;IPI00918785;IPI00918884,0.04,-0.1,-0.13,-0.02,0.02,0.11,0.11,-0.1,,0.58,0.09,40,40,40,23.2,6.93E-232,231.35,16,-,17280445,Pi4ka;Pik4ca,Q3UVT5;Q6DIC7;Q7TNG2;Q80Y45,"Putative uncharacterized protein;Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide;Pik4ca protein"
IPI00130226,0.11,0.5,0.34,0.1,-0.16,-0.37,-0.28,0.56,,0.58,-0.32,4,4,4,17.7,2.93E-32,26.178,9,+,26807295,Thyn1;Thy28,Q91YJ3;Q8BJZ7,Thymocyte nuclear protein 1;Thymocyte protein Thy28;Putative uncharacterized protein
IPI00169699;IPI00848453,0.01,0.06,-0.02,0.03,-0.01,0.06,-0.1,-0.1,,0.58,-0.06,8,8,8,31.3,9.39E-65,32.238,17,-,66843852,Rab12;RP23-193I7.1-001,P35283;A2CG35,"Ras-related protein Rab-12;Rab-13;RAB12, member RAS oncogene family"
IPI00480275;IPI00118709,-0.12,-0.09,-0.02,-0.11,-0.15,-0.27,-0.26,-0.01,,0.58,-0.09,6,6,6,48.1,4.18E-92,17.356,15,+,102156610,Pfdn5;Eig1;Mm1;Pfd5,Q9WU28;Q6ZWY7;Q9DAJ0,Prefoldin subunit 5;C-myc-binding protein Mm-1;Myc modulator 1;EIG-1;Putative uncharacterized protein
IPI00115824;IPI00515151;IPI00515227,-0.27,-0.41,-0.29,-0.29,-0.29,-0.27,-0.22,-0.28,,0.58,0.05,11,11,11,52.8,6.78E-106,33.363,11,+,4774006,Nipsnap1;RP23-64E17.1-001;mCG_14685;RP23-64E17.1-003,O55125;Q5SVF7;Q3UGS1;Q5SVG6,"Protein NipSnap homolog 1;4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans);Putative uncharacterized protein;4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans), isoform CRA_f"
IPI00331444,0.06,-0.01,0.05,-0.08,-0.03,-0.04,-0.08,-0.03,,0.58,-0.05,9,9,9,13.2,1.75E-154,119.49,7,+,117161939,Ipo7;Ranbp7,Q9EPL8,Importin-7;Ran-binding protein 7
IPI00377455,-0.11,-0.01,-0.02,-0.07,0.02,-0.08,0,0.08,,0.58,0.06,12,12,11,6.7,1.75E-20,194.56,10,+,57718274,Gcc2;Kiaa0336;mCG_19017,Q8CHG3;B2RSU7;Q3UFV3;Q6P0A4,GRIP and coiled-coil domain-containing protein 2;Golgi coiled-coil protein GCC185;GRIP and coiled-coil domain containing 2;Putative uncharacterized protein;Gcc2 protein
IPI00761607;IPI00111166;IPI00651981;IPI00919042;IPI00133002,0.09,-0.01,0.07,0.03,-0.04,-0.08,-0.1,0.11,,0.58,-0.07,6,6,6,28,5.30E-166,41.71,18,+,77168835,Hdhd2,Q3UGR5-1;Q3UGR5,Haloacid dehalogenase-like hydrolase domain-containing protein 2
IPI00169979;IPI00882339;IPI00828711;IPI00875352;IPI00319347,-0.75,-0.44,-0.6,-0.7,-0.39,-0.46,-0.71,0.17,,0.58,0.27,6,6,6,26.2,1.10E-19,34.376,16,-,4710059,Nmral1,Q8K2T1-1;Q8K2T1;Q8K2T1-2;Q8K2T1-3,NmrA-like family domain-containing protein 1
IPI00227585,0.14,3.34,3.34,2.57,0.49,0.01,-0.09,3.1,,0.58,-1.47,7,6,6,48.5,1.97E-138,14.893,10,+,57504729,Fabp7;Blbp,P51880;Q5NDA4,"Fatty acid-binding protein, brain;B-FABP;Fatty acid-binding protein 7;Brain lipid-binding protein;Fatty acid binding protein 7, brain"
IPI00830478,0.16,0.29,0.24,0.01,0.07,0.14,0.06,0.07,,0.58,-0.09,15,15,15,20.8,3.30E-159,121.64,13,-,48974585,FAM120A;Kiaa0183;Ossa;Fam120a;BC010304,Q6A0A9;Q3V3S0;Q7TMZ0,Constitutive coactivator of PPAR-gamma-like protein 1;Oxidative stress-associated Src activator;Protein FAM120A;Putative uncharacterized protein;Fam120a protein
IPI00331135;IPI00387284;IPI00880280;IPI00230611,0.07,0.39,0.29,0.1,0.02,0.02,-0.1,0.29,,0.58,-0.16,4,4,3,14,5.61E-25,54.992,3,+,87946317,Mef2d;mCG_142619,Q63943-1;Q63943;Q921S6;Q3URR2;Q63943-2,Myocyte-specific enhancer factor 2D;Myocyte enhancer factor 2D;Putative uncharacterized protein
IPI00125592;IPI00653062,-0.36,-0.35,-0.32,-0.37,-0.19,-0.05,-0.34,-0.4,,0.58,0.11,3,3,3,19.8,1.50E-07,24.041,7,-,125653324,Coq7,P97478;Q8K359;Q3TYT1,Ubiquinone biosynthesis protein COQ7 homolog;Coenzyme Q biosynthesis protein 7 homolog;Timing protein clk-1 homolog;Coq7 protein;Putative uncharacterized protein
IPI00224575;IPI00223253;IPI00761237;IPI00458719,-0.06,0.41,0.38,0.14,-0.1,-0.16,-0.1,0.34,,0.58,-0.22,14,14,2,53.7,9.16E-287,51.028,13,-,58493312,Hnrnpk;Hnrpk,P61979-2;P61979;Q3TJ38;Q3TL71;Q3TUA1;Q5FWJ5;P61979-1;Q3TG17,Heterogeneous nuclear ribonucleoprotein K;Putative uncharacterized protein;Hnrpk protein
IPI00754880;IPI00153890,0.05,0.29,0.35,0.19,0.1,0.14,0.02,0.21,,0.58,-0.11,9,9,9,7.8,4.37E-53,172.47,9,-,42771926,Arhgef12;Kiaa0382;Larg,Q8R4H2,Rho guanine nucleotide exchange factor 12;Leukemia-associated RhoGEF
IPI00555045;IPI00315548;IPI00626639;IPI00468196;IPI00467197;IPI00468385;IPI00473445;IPI00664929;IPI00624454;IPI00749628;IPI00130348;IPI00273514;IPI00407707;IPI00914111;IPI00404653;IPI00606615;IPI00462005;IPI00676916;IPI00115817;IPI00380998;IPI00461504;IPI00460090;IPI00890034;IPI00135074;IPI00757792;IPI00890082;IPI00890245;IPI00457946;IPI00751831;IPI00853797;IPI00849538;IPI00850807;IPI00850927,0.02,0.13,0.11,0.04,0.02,-0.08,0,0.11,,0.58,-0.06,9,9,1,53.1,2.98E-21,18.562,5,+,147644721,Rpl21;mCG_120646;mCG_121646;mCG_121688;mCG_18971,O09167;Q4VA28;Q9CQM8,"60S ribosomal protein L21;Ribosomal protein L21;Putative uncharacterized protein;MCG120646;MCG121646, isoform CRA_a;MCG121688;MCG18971;Rpl21 protein"
IPI00556768;IPI00649283;IPI00127008;IPI00751270,-0.01,0.43,0.46,0.15,-0.02,-0.05,0,0.32,,0.58,-0.2,20,20,20,22,1.09E-87,108.18,4,-,125841329,Thrap3;Trap150;RP23-365D10.5-001;RP23-365D10.5-004,Q569Z6;A2AJI4;Q3U503;Q8BV76;Q8BZN7;Q8R353,Thyroid hormone receptor-associated protein 3;Thyroid hormone receptor-associated protein complex 150 kDa component;Thyroid hormone receptor associated protein 3;Putative uncharacterized protein;Thrap3 protein
IPI00410883;IPI00111560;IPI00347814;IPI00850678;IPI00755843;IPI00754518;IPI00849165;IPI00406502,0.12,0.42,0.38,0.2,0.13,0.09,0.09,0.31,,0.58,-0.12,5,5,5,26,3.94E-74,32.105,2;NT_112000,+,29917373,Set;RP23-261D24.1-001;BC085271;RP23-261D24.1-004;RP23-261D24.1-003,Q9EQU5-2;Q9EQU5;Q9EQU5-1;Q3T9S3;Q5U445;A2BE93;A2BE92;Q921H2;Q9CRT3,Protein SET;Phosphatase 2A inhibitor I2PP2A;Template-activating factor I;Putative uncharacterized protein;SET translocation;cDNA sequence BC085271;Set protein
IPI00123313;IPI00849985;IPI00337053,0.08,0.18,0.19,0.08,0.06,0.01,0.01,0.18,,0.58,-0.07,24,24,24,36.5,0.00E+00,117.81,X,+,20235452,Uba1;Sbx;Ube1;Ube1ax;Ube1x;mCG_126518,Q02053;B9EHN0,Ubiquitin-like modifier-activating enzyme 1;Ubiquitin-activating enzyme E1;Ubiquitin-like modifier-activating enzyme 1 X;Ubiquitin-activating enzyme E1 X
IPI00409918;IPI00400432;IPI00857127;IPI00890863;IPI00857870;IPI00857990,0.03,0.08,0.09,0.06,0.04,0.06,0.06,0.02,,0.58,-0.02,14,14,10,44.4,8.30E-206,46.489,16,+,23107832,Eif4a2;Ddx2b;mCG_128248,P10630-2;P10630;P10630-1;Q52KC1;Q8BTU6,"Eukaryotic initiation factor 4A-II;ATP-dependent RNA helicase eIF4A-2;Eukaryotic translation initiation factor 4A2;Eukaryotic translation initiation factor 4A2, isoform CRA_d;Putative uncharacterized protein"
IPI00134300;IPI00874426;IPI00758127;IPI00885227,-0.12,0.38,0.33,0.09,-0.18,-0.23,-0.18,0.32,,0.58,-0.24,19,19,6,46.5,1.06E-132,47.756,2,+,69699637,Ssb;Ss-b;RP23-273G23.1-001;mCG_12976;RP23-273G23.1-003,P32067;Q3TG93;Q564E6;Q8BTU4;A2AR07,"Lupus La protein homolog;La ribonucleoprotein;La autoantigen homolog;Putative uncharacterized protein;Sjogren syndrome antigen B;Ssb protein;Sjogren syndrome antigen B, isoform CRA_a"
IPI00318012,-0.87,-0.16,,-0.09,0.2,,-0.21,0.2,,0.58,0.44,3,3,3,7,8.63E-14,67.474,8,-,88241477,Itfg1;D8Wsu49e;Tip,Q99KW9,T-cell immunomodulatory protein;Integrin-alpha FG-GAP repeat-containing protein 1
IPI00228830,-0.12,-0.09,0.07,-0.03,0.11,-0.01,-0.01,0.01,,0.58,0.07,5,5,5,5.4,9.02E-35,123.97,5,+,29895782,Ube3c;Kiaa0010,Q80U95,Ubiquitin-protein ligase E3C
IPI00315100;IPI00458109;IPI00133412,-0.05,0.04,-0.01,-0.02,-0.03,0,-0.13,-0.07,,0.58,-0.05,9,8,4,57,8.78E-109,21.782,9,+,108208754,Rhoa;Arha;Arha2;mCG_13026,Q9QUI0;Q3TN61;Q4VAE6,"Transforming protein RhoA;Putative uncharacterized protein;Ras homolog gene family, member A;Ras homolog gene family, member A, isoform CRA_a"
IPI00118196;IPI00894830,-0.03,0.03,0.08,0.06,0.12,-0.01,0.14,0.1,,0.58,0.06,5,5,5,12.5,4.05E-14,48.206,2,+,127413161,Mrps5;RP23-105O13.7-001;mCG_3033,Q99N87;A2AHS8;Q3U2U4,"28S ribosomal protein S5, mitochondrial;S5mt;MRP-S5;Mitochondrial ribosomal protein S5;Mitochondrial ribosomal protein S5, isoform CRA_b;Putative uncharacterized protein"
IPI00762803,-0.43,-0.05,0.04,-0.05,0,,0.02,0.04,,0.57,0.14,7,2,2,77.7,2.61E-118,11.427,,,,,,
