Protein Group,Protein ID,Accession,Significance -10logP,Coverage (%),#Peptides,#Unique,PTM,Young 1 Area,Young 2 Area,Young 3 Area,Young 4 Area,Young 5 Area,Young 6 Area,Old 1 Area,Old 2 Area,Old 3 Area,Old 4 Area,Old 5 Area,Old 6 Area,Sample Profile (Ratio),Young Area,Old Area,Group Profile (Ratio),Avg. Mass,FoldChange (FC),Log2(FC),Description
290,73,P57780|ACTN4_MOUSE,12.49,26,18,7,N-ethylmaleimide on cysteines,3.97E+05,2.68E+05,5.98E+05,5.80E+05,7.46E+05,1.91E+05,9.00E+05,4.63E+05,1.06E+06,4.12E+05,7.86E+05,1.09E+06,1.00:0.67:1.51:1.46:1.88:0.48:2.27:1.17:2.66:1.04:1.98:2.75,4.63E+05,7.85E+05,1.00:1.70,1.70,0.76,104977,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1
532,413,Q61554|FBN1_MOUSE,12.47,2,6,6,D5 N-ethylmaleimide on cysteines,5.72E+05,3.08E+05,4.75E+05,0,1.76E+05,5.63E+05,2.21E+06,2.89E+06,8.64E+05,3.23E+06,6.09E+05,2.95E+05,1.00:0.54:0.83:0:0.31:0.98:3.86:5.06:1.51:5.64:1.06:0.52,3.69E+05,1.68E+06,1.00:4.55,4.55,2.19,312266,Fibrillin-1 OS=Mus musculus GN=Fbn1 PE=1 SV=1
691,1557,P08032|SPTA1_MOUSE,12.44,1,2,1,,1.09E+06,1.15E+06,5.77E+05,1.19E+06,1.34E+06,7.37E+05,4.15E+05,8.66E+05,2.60E+05,7.86E+05,1.05E+06,5.04E+05,1.00:1.05:0.53:1.09:1.22:0.67:0.38:0.79:0.24:0.72:0.96:0.46,1.02E+06,6.47E+05,1.00:0.64,0.63,-0.66,279863,Spectrin alpha chain  erythrocyte OS=Mus musculus GN=Spta1 PE=2 SV=3
694,671,P62754|RS6_MOUSE,12.44,14,3,3,N-ethylmaleimide on cysteines,3.26E+06,2.70E+06,2.46E+06,1.89E+06,2.07E+06,2.88E+06,2.20E+06,1.95E+06,1.85E+06,1.86E+06,1.97E+06,2.31E+06,1.00:0.83:0.75:0.58:0.63:0.88:0.68:0.60:0.57:0.57:0.61:0.71,2.54E+06,2.03E+06,1.00:0.80,0.80,-0.32,28681,40S ribosomal protein S6 OS=Mus musculus GN=Rps6 PE=1 SV=1
495,283,Q9EQK5|MVP_MOUSE,12.4,9,7,7,,7.35E+05,2.28E+06,2.04E+06,2.18E+06,2.55E+06,2.00E+06,2.27E+06,2.54E+06,2.21E+06,2.93E+06,2.88E+06,2.86E+06,1.00:3.10:2.77:2.96:3.47:2.73:3.09:3.46:3.01:3.99:3.92:3.89,2.03E+06,2.62E+06,1.00:1.29,1.29,0.37,95952,Major vault protein OS=Mus musculus GN=Mvp PE=1 SV=3
733,573,Q9DBG5|PLIN3_MOUSE,12.33,18,5,5,Oxidation (M),4.47E+06,4.87E+06,5.94E+06,5.02E+06,6.12E+06,4.72E+06,5.70E+06,1.27E+07,5.12E+06,8.72E+06,8.33E+06,6.92E+06,1.00:1.09:1.33:1.12:1.37:1.05:1.27:2.84:1.15:1.95:1.86:1.55,5.19E+06,7.63E+06,1.00:1.47,1.47,0.56,47262,Perilipin-3 OS=Mus musculus GN=Plin3 PE=1 SV=1
1478,3720,Q8CC35|SYNPO_MOUSE,12.22,1,1,1,,8.92E+04,0,0,0,0,6.81E+04,1.77E+05,0,2.41E+05,1.20E+05,1.15E+05,0,1.00:0:0:0:0:0.76:1.99:0:2.70:1.34:1.29:0,2.62E+04,1.09E+05,1.00:4.15,4.16,2.06,99552,Synaptopodin OS=Mus musculus GN=Synpo PE=1 SV=2
572,525,O70435|PSA3_MOUSE,12.22,18,5,5,,1.72E+06,1.32E+06,1.37E+06,9.86E+05,1.04E+06,1.60E+06,1.71E+06,1.71E+06,1.64E+06,1.48E+06,1.58E+06,1.66E+06,1.00:0.76:0.79:0.57:0.61:0.93:0.99:0.99:0.96:0.86:0.92:0.96,1.32E+06,1.63E+06,1.00:1.23,1.23,0.30,28405,Proteasome subunit alpha type-3 OS=Mus musculus GN=Psma3 PE=1 SV=3
743,728,P48428|TBCA_MOUSE,12.15,32,3,3,,2.50E+05,2.22E+05,1.21E+05,1.41E+05,1.55E+05,1.95E+05,1.69E+05,3.21E+05,1.64E+05,3.85E+05,3.05E+05,4.90E+05,1.00:0.89:0.48:0.56:0.62:0.78:0.68:1.28:0.66:1.54:1.22:1.96,1.81E+05,3.06E+05,1.00:1.69,1.69,0.76,12758,Tubulin-specific chaperone A OS=Mus musculus GN=Tbca PE=2 SV=3
749,697,Q8BMS4|COQ3_MOUSE,12.15,14,4,3,N-ethylmaleimide on cysteines,9.92E+05,1.28E+06,8.57E+05,6.21E+05,8.79E+05,1.52E+06,6.76E+05,7.38E+05,3.72E+05,5.57E+05,9.58E+05,8.19E+05,1.00:1.29:0.86:0.63:0.89:1.53:0.68:0.74:0.38:0.56:0.97:0.83,1.02E+06,6.87E+05,1.00:0.67,0.67,-0.57,40957,Hexaprenyldihydroxybenzoate methyltransferase  mitochondrial OS=Mus musculus GN=Coq3 PE=2 SV=1
17,17,P05202|AATM_MOUSE,12.12,78,39,37,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,2.23E+08,2.05E+08,2.29E+08,2.31E+08,2.38E+08,2.27E+08,2.57E+08,2.38E+08,2.24E+08,2.37E+08,2.86E+08,2.44E+08,1.00:0.92:1.03:1.03:1.06:1.01:1.15:1.06:1.00:1.06:1.28:1.09,2.26E+08,2.47E+08,1.00:1.10,1.09,0.13,47411,Aspartate aminotransferase  mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1
159,126,Q9Z2I9|SUCB1_MOUSE,12.07,42,19,18,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.22E+07,8.86E+06,8.51E+06,7.42E+06,1.14E+07,1.39E+07,6.38E+06,7.58E+06,3.28E+06,6.06E+06,1.00E+07,1.03E+07,1.00:0.72:0.70:0.61:0.93:1.13:0.52:0.62:0.27:0.50:0.82:0.84,1.04E+07,7.26E+06,1.00:0.70,0.70,-0.52,50114,Succinyl-CoA ligase [ADP-forming] subunit beta  mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2
1022,676,Q9JK53|PRELP_MOUSE,12.05,12,4,4,,3.97E+05,0,3.14E+05,1.07E+05,5.79E+05,5.09E+05,5.60E+05,5.72E+05,7.55E+05,5.37E+05,4.26E+05,7.25E+05,1.00:0:0.79:0.27:1.46:1.28:1.41:1.44:1.90:1.35:1.07:1.82,3.74E+05,5.96E+05,1.00:1.59,1.59,0.67,43293,Prolargin OS=Mus musculus GN=Prelp PE=2 SV=2
897,2968,Q6ZPY7|KDM3B_MOUSE,12.01,1,1,1,,6.90E+05,4.54E+05,6.87E+05,7.19E+05,7.87E+05,6.62E+05,5.06E+05,1.17E+06,8.30E+05,1.10E+06,1.02E+06,8.17E+05,1.00:0.66:1.00:1.04:1.14:0.96:0.73:1.70:1.20:1.59:1.49:1.18,6.67E+05,9.08E+05,1.00:1.36,1.36,0.45,170874,Lysine-specific demethylase 3B OS=Mus musculus GN=Kdm3b PE=1 SV=2
269,224,Q91VM9|IPYR2_MOUSE,12.01,48,15,15,N-ethylmaleimide on cysteines,3.31E+06,3.42E+06,3.29E+06,3.50E+06,3.49E+06,3.55E+06,3.98E+06,3.94E+06,3.17E+06,3.61E+06,4.73E+06,4.18E+06,1.00:1.03:0.99:1.06:1.06:1.07:1.20:1.19:0.96:1.09:1.43:1.27,3.42E+06,3.94E+06,1.00:1.15,1.15,0.20,38115,Inorganic pyrophosphatase 2  mitochondrial OS=Mus musculus GN=Ppa2 PE=2 SV=1
1097,1698,Q9Z2A0|PDPK1_MOUSE,11.98,1,1,1,,4.48E+05,3.82E+05,7.38E+05,3.97E+05,1.02E+06,6.84E+05,9.65E+05,1.24E+06,2.06E+06,1.20E+06,9.14E+05,4.56E+05,1.00:0.85:1.65:0.88:2.28:1.53:2.15:2.77:4.60:2.68:2.04:1.02,6.12E+05,1.14E+06,1.00:1.86,1.86,0.90,63759,3-phosphoinositide-dependent protein kinase 1 OS=Mus musculus GN=Pdpk1 PE=1 SV=2
617,875,Q6IRU5|CLCB_MOUSE,11.95,12,3,3,,3.93E+05,3.14E+05,3.14E+05,2.88E+05,2.59E+05,3.30E+05,3.52E+05,5.03E+05,5.90E+05,3.84E+05,3.97E+05,3.00E+05,1.00:0.80:0.80:0.73:0.66:0.84:0.90:1.28:1.50:0.98:1.01:0.76,3.16E+05,4.21E+05,1.00:1.33,1.33,0.41,25172,Clathrin light chain B OS=Mus musculus GN=Cltb PE=2 SV=1
244,200,Q9D8N0|EF1G_MOUSE,11.92,32,13,13,N-ethylmaleimide on cysteines,4.59E+06,4.92E+06,2.92E+06,1.84E+06,3.86E+06,5.02E+06,3.78E+06,2.82E+06,1.83E+06,2.71E+06,2.15E+06,2.27E+06,1.00:1.07:0.64:0.40:0.84:1.09:0.82:0.61:0.40:0.59:0.47:0.49,3.86E+06,2.62E+06,1.00:0.68,0.68,-0.56,50061,Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3
509,379,Q61699|HS105_MOUSE,11.84,6,5,3,N-ethylmaleimide on cysteines,4.49E+05,2.75E+05,2.38E+05,7.03E+04,1.55E+05,1.03E+05,2.61E+04,5.90E+04,1.36E+04,1.34E+05,1.70E+05,7.52E+04,1.00:0.61:0.53:0.16:0.35:0.23:0.06:0.13:0.03:0.30:0.38:0.17,2.15E+05,7.98E+04,1.00:0.37,0.37,-1.43,96407,Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 PE=1 SV=2
303,365,O35215|DOPD_MOUSE,11.82,97,9,9,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,1.59E+07,1.14E+07,1.48E+07,1.34E+07,1.26E+07,1.29E+07,1.60E+07,1.51E+07,1.35E+07,1.49E+07,1.60E+07,1.54E+07,1.00:0.71:0.93:0.84:0.79:0.81:1.00:0.95:0.84:0.94:1.01:0.97,1.35E+07,1.52E+07,1.00:1.12,1.13,0.17,13077,D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=3
377,410,P68037|UB2L3_MOUSE,11.81,68,7,6,N-ethylmaleimide on cysteines,4.52E+06,3.65E+06,3.57E+06,2.94E+06,3.04E+06,4.56E+06,3.13E+06,3.02E+06,2.51E+06,2.79E+06,3.29E+06,3.42E+06,1.00:0.81:0.79:0.65:0.67:1.01:0.69:0.67:0.56:0.62:0.73:0.76,3.67E+06,3.01E+06,1.00:0.82,0.82,-0.29,17862,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=2 SV=1
506,538,Q64105|SPRE_MOUSE,11.7,23,5,5,,1.12E+06,1.37E+06,9.50E+05,8.81E+05,1.23E+06,1.93E+06,6.19E+05,8.79E+05,2.37E+05,5.71E+05,1.09E+06,1.33E+06,1.00:1.22:0.85:0.79:1.09:1.72:0.55:0.78:0.21:0.51:0.98:1.19,1.25E+06,7.88E+05,1.00:0.63,0.63,-0.67,27883,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1
1303,2755,O08585|CLCA_MOUSE,11.68,7,2,2,,2.23E+05,8.27E+04,1.04E+05,1.24E+05,7.85E+04,5.52E+04,8.20E+05,2.28E+05,9.18E+05,1.72E+05,1.63E+05,3.09E+05,1.00:0.37:0.47:0.56:0.35:0.25:3.67:1.02:4.12:0.77:0.73:1.38,1.11E+05,4.35E+05,1.00:3.91,3.92,1.97,25557,Clathrin light chain A OS=Mus musculus GN=Clta PE=1 SV=1
396,161,Q8BH61|F13A_MOUSE,11.66,21,13,13,N-ethylmaleimide on cysteines,5.29E+05,4.09E+05,3.63E+05,3.42E+05,3.27E+05,0,2.11E+06,1.16E+06,2.89E+06,3.86E+05,8.41E+05,5.52E+05,1.00:0.77:0.69:0.65:0.62:0:3.98:2.19:5.47:0.73:1.59:1.04,3.29E+05,1.32E+06,1.00:4.03,4.01,2.00,83207,Coagulation factor XIII A chain OS=Mus musculus GN=F13a1 PE=2 SV=3
1201,4365,Q9QXA5|LSM4_MOUSE,11.64,11,2,1,,1.34E+06,1.13E+06,8.93E+05,8.99E+05,1.60E+06,1.47E+06,1.22E+06,1.66E+06,1.39E+06,1.55E+06,2.11E+06,1.52E+06,1.00:0.84:0.67:0.67:1.19:1.10:0.91:1.24:1.04:1.16:1.58:1.14,1.22E+06,1.58E+06,1.00:1.29,1.30,0.37,15076,U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus GN=Lsm4 PE=2 SV=1
765,518,P63328|PP2BA_MOUSE,11.64,9,5,4,,2.69E+05,3.05E+05,1.89E+05,2.73E+05,2.31E+05,2.67E+05,2.84E+05,2.90E+05,2.47E+05,3.15E+05,3.94E+05,4.44E+05,1.00:1.14:0.70:1.02:0.86:0.99:1.06:1.08:0.92:1.17:1.47:1.65,2.56E+05,3.29E+05,1.00:1.29,1.29,0.36,58644,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca PE=1 SV=1
782,675,Q91YE8|SYNP2_MOUSE,11.63,4,3,3,,1.22E+05,1.65E+05,1.18E+05,1.95E+05,8.15E+04,8.73E+04,3.51E+05,2.14E+05,6.43E+05,3.21E+05,1.00E+05,2.07E+05,1.00:1.35:0.97:1.60:0.67:0.72:2.88:1.75:5.27:2.63:0.82:1.69,1.28E+05,3.11E+05,1.00:2.43,2.43,1.28,116527,Synaptopodin-2 OS=Mus musculus GN=Synpo2 PE=1 SV=2
1123,1501,P56376|ACYP1_MOUSE,11.61,20,2,2,,3.94E+05,2.84E+05,2.20E+05,1.27E+05,1.30E+05,2.86E+05,0,4.06E+04,0,1.75E+05,1.68E+05,1.39E+05,1.00:0.72:0.56:0.32:0.33:0.72:0:0.10:0:0.44:0.43:0.35,2.40E+05,8.70E+04,1.00:0.36,0.36,-1.46,11241,Acylphosphatase-1 OS=Mus musculus GN=Acyp1 PE=2 SV=2
1320,1105,P42932|TCPQ_MOUSE,11.55,3,1,1,,6.52E+05,4.67E+05,2.71E+05,0,3.46E+05,6.19E+05,2.02E+05,2.34E+05,0,0,3.64E+05,3.42E+05,1.00:0.72:0.42:0:0.53:0.95:0.31:0.36:0:0:0.56:0.52,3.92E+05,1.90E+05,1.00:0.48,0.48,-1.04,59556,T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3
597,733,P08207|S10AA_MOUSE,11.47,52,4,4,N-ethylmaleimide on cysteines,2.28E+06,2.07E+06,2.13E+06,1.86E+06,2.44E+06,3.33E+06,4.08E+06,4.50E+06,5.62E+06,3.66E+06,3.03E+06,1.36E+06,1.00:0.91:0.93:0.82:1.07:1.46:1.79:1.97:2.47:1.60:1.33:0.60,2.35E+06,3.85E+06,1.00:1.64,1.64,0.71,11186,Protein S100-A10 OS=Mus musculus GN=S100a10 PE=2 SV=2
1236,2031,O54786|DFFA_MOUSE,11.44,5,1,1,,1.39E+06,6.71E+05,1.09E+06,7.30E+05,1.23E+06,9.89E+05,5.08E+05,9.94E+05,0,0,5.03E+05,6.99E+05,1.00:0.48:0.79:0.53:0.89:0.71:0.37:0.72:0:0:0.36:0.50,1.02E+06,4.51E+05,1.00:0.44,0.44,-1.18,36560,DNA fragmentation factor subunit alpha OS=Mus musculus GN=Dffa PE=1 SV=1
604,1019,P20065|TYB4_MOUSE,11.44,38,2,2,,2.34E+06,1.45E+06,1.40E+06,1.09E+06,8.27E+05,1.33E+06,3.39E+06,1.77E+06,2.75E+06,1.39E+06,1.40E+06,2.60E+06,1.00:0.62:0.60:0.47:0.35:0.57:1.45:0.76:1.17:0.60:0.60:1.11,1.41E+06,2.22E+06,1.00:1.58,1.57,0.65,5679,Thymosin beta-4 OS=Mus musculus GN=Tmsb4x PE=1 SV=1
951,616,P14869|RLA0_MOUSE,11.39,18,5,4,,5.91E+05,2.64E+05,1.90E+05,1.39E+05,1.08E+05,4.35E+05,4.52E+05,4.27E+05,6.12E+05,3.32E+05,3.98E+05,6.26E+05,1.00:0.45:0.32:0.24:0.18:0.74:0.76:0.72:1.03:0.56:0.67:1.06,2.88E+05,4.75E+05,1.00:1.65,1.65,0.72,34216,60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3
439,861,P29621|SPA3C_MOUSE,11.38,7,4,1,Oxidation (M),1.20E+06,9.95E+05,1.04E+06,6.61E+05,5.11E+05,8.24E+05,5.11E+05,2.54E+05,0,0,0,0,1.00:0.83:0.87:0.55:0.42:0.68:0.42:0.21:0:0:0:0,8.73E+05,1.27E+05,1.00:0.15,0.15,-2.78,46766,Serine protease inhibitor A3C OS=Mus musculus GN=Serpina3c PE=2 SV=1
1341,970,Q9QYJ0|DNJA2_MOUSE,11.35,6,1,1,,0,5.76E+05,5.76E+05,3.42E+05,6.64E+05,7.79E+05,2.86E+05,3.39E+05,0,2.36E+05,4.93E+05,5.83E+05,0:1.00:1.00:0.59:1.15:1.35:0.50:0.59:0:0.41:0.86:1.01,4.89E+05,3.23E+05,1.00:0.66,0.66,-0.60,45746,DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1
47,28,P35486|ODPA_MOUSE,11.34,65,31,31,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,5.58E+07,6.21E+07,5.03E+07,4.57E+07,5.62E+07,6.38E+07,3.90E+07,4.99E+07,2.47E+07,4.54E+07,5.90E+07,4.80E+07,1.00:1.11:0.90:0.82:1.01:1.14:0.70:0.89:0.44:0.81:1.06:0.86,5.56E+07,4.43E+07,1.00:0.80,0.80,-0.33,43232,Pyruvate dehydrogenase E1 component subunit alpha  somatic form  mitochondrial OS=Mus musculus GN=Pdha1 PE=1 SV=1
1245,3535,P47915|RL29_MOUSE,11.3,7,1,1,,5.36E+05,5.74E+05,2.78E+05,3.30E+05,3.66E+05,5.34E+05,6.96E+05,5.41E+05,9.40E+05,4.19E+05,4.39E+05,8.14E+05,1.00:1.07:0.52:0.62:0.68:1.00:1.30:1.01:1.75:0.78:0.82:1.52,4.36E+05,6.42E+05,1.00:1.47,1.47,0.56,17587,60S ribosomal protein L29 OS=Mus musculus GN=Rpl29 PE=2 SV=2
212,251,Q99LX0|PARK7_MOUSE,11.3,88,13,12,Oxidation (M); N-ethylmaleimide on cysteines,1.43E+07,1.22E+07,1.14E+07,9.69E+06,1.09E+07,1.55E+07,7.23E+06,1.20E+07,5.51E+06,1.01E+07,1.01E+07,1.22E+07,1.00:0.85:0.80:0.68:0.76:1.08:0.50:0.84:0.38:0.70:0.70:0.85,1.23E+07,9.52E+06,1.00:0.77,0.77,-0.37,20021,Protein DJ-1 OS=Mus musculus GN=Park7 PE=1 SV=1
1353,2466,P54227|STMN1_MOUSE,11.3,12,2,2,,3.44E+04,0,1.29E+04,0,0,0,1.39E+05,7.65E+04,2.08E+05,1.52E+04,8.85E+03,1.30E+05,1.00:0:0.37:0:0:0:4.04:2.22:6.04:0.44:0.26:3.78,7.89E+03,9.63E+04,1.00:12.21,12.21,3.61,17274,Stathmin OS=Mus musculus GN=Stmn1 PE=1 SV=2
349,373,Q9JKB3|DBPA_MOUSE,11.29,29,10,5,,2.56E+06,1.78E+06,1.32E+06,9.09E+05,1.10E+06,1.61E+06,2.22E+06,2.20E+06,2.49E+06,2.41E+06,1.86E+06,1.54E+06,1.00:0.70:0.52:0.36:0.43:0.63:0.87:0.86:0.98:0.94:0.73:0.60,1.55E+06,2.12E+06,1.00:1.37,1.37,0.45,38814,DNA-binding protein A OS=Mus musculus GN=Csda PE=1 SV=2
1115,549,Q3UV70|PDP1_MOUSE,11.25,9,3,3,,5.85E+05,4.74E+05,5.01E+05,2.23E+05,4.22E+05,9.35E+05,2.17E+05,4.68E+05,9.78E+04,3.01E+05,3.16E+05,3.88E+05,1.00:0.81:0.86:0.38:0.72:1.60:0.37:0.80:0.17:0.51:0.54:0.66,5.23E+05,2.98E+05,1.00:0.57,0.57,-0.81,61180,[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1  mitochondrial OS=Mus musculus GN=Pdp1 PE=2 SV=1
21,64,Q8R429|AT2A1_MOUSE,11.23,52,53,34,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines,4.17E+07,6.26E+07,2.95E+07,2.05E+07,3.58E+07,4.80E+07,2.35E+07,2.75E+07,1.63E+07,2.47E+07,3.13E+07,3.27E+07,1.00:1.50:0.71:0.49:0.86:1.15:0.56:0.66:0.39:0.59:0.75:0.79,3.97E+07,2.60E+07,1.00:0.66,0.65,-0.61,109425,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 OS=Mus musculus GN=Atp2a1 PE=2 SV=1
1259,4342,Q9JM76|ARPC3_MOUSE,11.21,7,1,1,,0,1.99E+05,0,0,1.16E+05,0,2.02E+05,4.11E+05,3.47E+05,2.33E+05,1.71E+05,5.82E+05,0:1.00:0:0:0.58:0:1.02:2.07:1.75:1.17:0.86:2.93,5.24E+04,3.24E+05,1.00:6.19,6.18,2.63,20525,Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3
167,142,Q9QYR9|ACOT2_MOUSE,11.17,48,18,8,N-ethylmaleimide on cysteines,2.98E+06,6.06E+06,6.54E+06,6.51E+06,6.98E+06,7.60E+06,8.27E+06,7.23E+06,6.29E+06,7.60E+06,8.10E+06,8.31E+06,1.00:2.04:2.20:2.18:2.34:2.55:2.77:2.43:2.11:2.55:2.72:2.79,6.11E+06,7.63E+06,1.00:1.25,1.25,0.32,49652,Acyl-coenzyme A thioesterase 2  mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=1
962,1189,P51859|HDGF_MOUSE,11.13,4,1,1,,2.09E+06,-,1.59E+06,1.42E+06,1.68E+06,2.04E+06,2.37E+06,2.20E+06,1.29E+06,3.48E+06,2.41E+06,2.94E+06,1.00:-:0.76:0.68:0.80:0.97:1.13:1.05:0.62:1.66:1.15:1.40,1.76E+06,2.45E+06,1.00:1.39,1.39,0.48,26269,Hepatoma-derived growth factor OS=Mus musculus GN=Hdgf PE=1 SV=2
198,90,Q8BTM8|FLNA_MOUSE,11.11,14,31,24,N-ethylmaleimide on cysteines,5.29E+05,4.28E+05,2.61E+05,1.68E+05,7.61E+05,5.17E+05,1.12E+06,8.81E+05,1.62E+06,4.08E+05,5.28E+05,6.26E+05,1.00:0.81:0.49:0.32:1.44:0.98:2.12:1.67:3.07:0.77:1.00:1.18,4.44E+05,8.65E+05,1.00:1.95,1.95,0.96,281191,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4
307,483,O35658|C1QBP_MOUSE,11.07,34,6,6,N-ethylmaleimide on cysteines,7.54E+06,6.46E+06,5.98E+06,9.37E+06,9.42E+06,1.09E+07,1.19E+07,1.15E+07,6.41E+06,1.16E+07,1.09E+07,1.09E+07,1.00:0.86:0.79:1.24:1.25:1.45:1.58:1.52:0.85:1.53:1.45:1.45,8.28E+06,1.05E+07,1.00:1.27,1.27,0.34,31013,Complement component 1 Q subcomponent-binding protein  mitochondrial OS=Mus musculus GN=C1qbp PE=1 SV=1
675,771,Q9DC77|SMPX_MOUSE,11.06,73,4,4,,2.05E+06,1.53E+06,1.57E+06,1.72E+06,1.49E+06,1.56E+06,1.18E+06,1.45E+06,1.12E+06,1.08E+06,1.72E+06,1.66E+06,1.00:0.75:0.77:0.84:0.73:0.76:0.57:0.71:0.55:0.53:0.84:0.81,1.65E+06,1.37E+06,1.00:0.83,0.83,-0.27,9253,Small muscular protein OS=Mus musculus GN=Smpx PE=2 SV=2
1034,4011,Q9WTR5|CAD13_MOUSE,11.02,2,1,1,,3.26E+05,6.03E+05,2.64E+05,2.11E+05,3.30E+05,3.08E+05,5.21E+05,4.79E+05,5.56E+05,3.61E+05,4.56E+05,4.29E+05,1.00:1.85:0.81:0.65:1.01:0.94:1.60:1.47:1.71:1.11:1.40:1.32,3.40E+05,4.67E+05,1.00:1.37,1.37,0.46,78286,Cadherin-13 OS=Mus musculus GN=Cdh13 PE=1 SV=1
634,668,Q9WTP7|KAD3_MOUSE,11.01,14,3,3,,9.54E+05,6.64E+05,9.26E+05,3.74E+05,1.09E+06,1.32E+06,3.50E+05,4.37E+05,0,4.82E+05,8.75E+05,6.58E+05,1.00:0.70:0.97:0.39:1.14:1.38:0.37:0.46:0:0.51:0.92:0.69,8.87E+05,4.94E+05,1.00:0.56,0.56,-0.84,25426,GTP:AMP phosphotransferase  mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3
1082,4501,Q99P31|HPBP1_MOUSE,10.99,3,1,1,,7.25E+05,6.62E+05,9.55E+05,6.67E+05,1.07E+06,5.61E+05,2.57E+05,4.75E+05,3.84E+05,8.52E+05,7.25E+05,5.38E+05,1.00:0.91:1.32:0.92:1.47:0.77:0.35:0.66:0.53:1.18:1.00:0.74,7.73E+05,5.39E+05,1.00:0.70,0.70,-0.52,39167,Hsp70-binding protein 1 OS=Mus musculus GN=Hspbp1 PE=2 SV=1
384,339,Q99L47|F10A1_MOUSE,10.94,19,7,6,,4.09E+06,2.93E+06,2.38E+06,1.85E+06,2.13E+06,3.12E+06,1.19E+06,2.17E+06,1.98E+05,2.18E+06,2.35E+06,2.59E+06,1.00:0.72:0.58:0.45:0.52:0.76:0.29:0.53:0.05:0.53:0.57:0.63,2.75E+06,1.78E+06,1.00:0.65,0.65,-0.63,41656,Hsc70-interacting protein OS=Mus musculus GN=St13 PE=2 SV=1
1288,3507,P70441|NHRF1_MOUSE,10.93,3,1,1,,4.05E+05,0,2.70E+05,2.02E+05,2.77E+05,2.71E+05,3.54E+05,3.79E+05,4.79E+05,2.98E+05,0,3.59E+05,1.00:0:0.67:0.50:0.68:0.67:0.87:0.94:1.18:0.73:0:0.89,2.38E+05,3.12E+05,1.00:1.31,1.31,0.39,38600,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Mus musculus GN=Slc9a3r1 PE=1 SV=3
968,2797,Q8VCI5|PEX19_MOUSE,10.88,8,2,2,,5.42E+04,3.35E+05,2.91E+05,3.17E+05,3.44E+05,3.05E+05,3.36E+05,3.29E+05,3.09E+05,4.03E+05,7.29E+05,4.66E+05,1.00:6.18:5.36:5.85:6.35:5.63:6.20:6.06:5.69:7.43:13.43:8.59,2.75E+05,4.01E+05,1.00:1.46,1.46,0.54,32733,Peroxisomal biogenesis factor 19 OS=Mus musculus GN=Pex19 PE=1 SV=1
731,425,Q61599|GDIR2_MOUSE,10.88,54,8,8,N-ethylmaleimide on cysteines,2.76E+05,4.47E+05,4.21E+05,2.84E+05,8.71E+05,5.09E+05,2.03E+06,6.67E+05,1.13E+06,7.26E+05,8.05E+05,3.62E+06,1.00:1.62:1.53:1.03:3.16:1.85:7.37:2.42:4.09:2.63:2.92:13.13,4.71E+05,1.50E+06,1.00:3.18,3.18,1.67,22851,Rho GDP-dissociation inhibitor 2 OS=Mus musculus GN=Arhgdib PE=1 SV=3
432,397,P50136|ODBA_MOUSE,10.82,28,8,8,,2.59E+06,2.15E+06,2.36E+06,1.83E+06,1.98E+06,2.36E+06,1.69E+06,2.03E+06,1.36E+06,2.22E+06,2.13E+06,1.83E+06,1.00:0.83:0.91:0.71:0.77:0.91:0.65:0.78:0.53:0.86:0.82:0.71,2.21E+06,1.87E+06,1.00:0.85,0.85,-0.24,50371,2-oxoisovalerate dehydrogenase subunit alpha  mitochondrial OS=Mus musculus GN=Bckdha PE=1 SV=1
