Accession,Significance,-10lgP,Intensity Young,Intensity Aged,Ratio Young,Ratio Aged,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE,1.26,241.62,350.488,351.528,1,1.00,6,27,26,Carbamidomethylation; TMT6plex,504775,Low density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1
Q9CZW5|TOM70_MOUSE,1.68,241.62,1.37E+03,1.31E+03,1,0.96,38,23,22,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),67590,Mitochondrial import receptor subunit TOM70 OS=Mus musculus GN=Tomm70 PE=1 SV=2
Q8R5C5|ACTY_MOUSE,1.56,241.6,91.722,93.757,1,1.02,13,12,3,TMT6plex; Deamidation (NQ),42281,Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1
P63011|RAB3A_MOUSE,1.53,241.54,1.52E+03,1.51E+03,1,0.99,24,12,4,Carbamidomethylation; TMT6plex; Oxidation (M),24970,Ras-related protein Rab-3A OS=Mus musculus GN=Rab3a PE=1 SV=1
Q6R891|NEB2_MOUSE,1.77,241.45,237.359,223.338,1,0.94,24,20,13,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),89520,Neurabin-2 OS=Mus musculus GN=Ppp1r9b PE=1 SV=1
O89053|COR1A_MOUSE,1.35,241.26,1.12E+03,1.08E+03,1,0.96,22,13,10,Carbamidomethylation; TMT6plex; Deamidation (NQ),50989,Coronin-1A OS=Mus musculus GN=Coro1a PE=1 SV=5
P60469|LIPA3_MOUSE,1.02,241.23,217.133,213.126,1,0.98,18,27,18,Carbamidomethylation; TMT6plex,133426,Liprin-alpha-3 OS=Mus musculus GN=Ppfia3 PE=1 SV=2
P49312|ROA1_MOUSE,0.62,241.07,462.325,453.871,1,0.98,26,15,9,TMT6plex,34196,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2
tr|Q5EBP8|Q5EBP8_MOUSE,0.62,241.07,462.325,453.871,1,0.98,23,15,9,TMT6plex,38834,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=1
Q8R366|IGSF8_MOUSE,4.22,241.06,35.604,58.49,1,1.64,2,11,1,TMT6plex,65011,Immunoglobulin superfamily member 8 OS=Mus musculus GN=Igsf8 PE=1 SV=2
Q9CWZ7|SNAG_MOUSE,1.66,241.01,1.37E+03,1.29E+03,1,0.94,52,19,17,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),34732,Gamma-soluble NSF attachment protein OS=Mus musculus GN=Napg PE=1 SV=1
tr|D3Z4B2|D3Z4B2_MOUSE,1.66,241.01,1.37E+03,1.29E+03,1,0.94,46,19,17,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),39367,Gamma-soluble NSF attachment protein (Fragment) OS=Mus musculus GN=Napg PE=1 SV=1
D3YVF0|AKAP5_MOUSE,2.09,240.89,315.554,283.851,1,0.90,31,13,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),79397,A-kinase anchor protein 5 OS=Mus musculus GN=Akap5 PE=1 SV=2
tr|H3BIV5|H3BIV5_MOUSE,2.09,240.89,315.554,283.851,1,0.90,30,13,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),80203,A-kinase anchor protein 5 OS=Mus musculus GN=Akap5 PE=1 SV=1
Q91V61|SFXN3_MOUSE,0.84,240.81,287.591,283.748,1,0.99,32,11,7,TMT6plex,35406,Sideroflexin-3 OS=Mus musculus GN=Sfxn3 PE=1 SV=1
Q99JY9|ARP3_MOUSE,2.81,240.57,311.072,358.531,1,1.15,43,16,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),47357,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3
Q9Z2I0|LETM1_MOUSE,1.37,240.25,440.615,444.538,1,1.01,30,17,16,Carbamidomethylation; TMT6plex; Oxidation (M),82989,Mitochondrial proton/calcium exchanger protein OS=Mus musculus GN=Letm1 PE=1 SV=1
tr|Q8C2Q7|Q8C2Q7_MOUSE,1.71,240.19,28.809,25.377,1,0.88,3,13,1,Carbamidomethylation; TMT6plex,51218,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=1
P68510|1433F_MOUSE,4.3,240.14,899.589,853.75,1,0.95,43,15,10,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),28212,14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2
tr|E9PWX1|E9PWX1_MOUSE,0.92,240.1,409.525,388.538,1,0.95,18,18,14,Carbamidomethylation; TMT6plex,97224,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
Q9Z218|DPP6_MOUSE,0.92,240.1,409.525,388.538,1,0.95,19,18,14,Carbamidomethylation; TMT6plex,91260,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
tr|Q5U4C2|Q5U4C2_MOUSE,0.92,240.1,409.525,388.538,1,0.95,19,18,14,Carbamidomethylation; TMT6plex,91133,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
tr|Q80VM5|Q80VM5_MOUSE,0.92,240.1,409.525,388.538,1,0.95,19,18,14,Carbamidomethylation; TMT6plex,91214,Dipeptidyl aminopeptidase-like protein 6 OS=Mus musculus GN=Dpp6 PE=1 SV=1
Q9QYB8|ADDB_MOUSE,1.19,239.42,636.787,594.016,1,0.93,24,17,14,Carbamidomethylation; TMT6plex; Deamidation (NQ),80642,Beta-adducin OS=Mus musculus GN=Add2 PE=1 SV=4
P70404|IDHG1_MOUSE,1.31,239.4,1.22E+03,1.20E+03,1,0.98,48,15,14,Carbamidomethylation; TMT6plex; Oxidation (M),42785,Isocitrate dehydrogenase [NAD] subunit gamma 1  mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1
tr|Q8BFQ1|Q8BFQ1_MOUSE,5.84,239.35,1.50E+03,1.87E+03,1,1.25,28,18,18,Carbamidomethylation; TMT6plex; Oxidation (M),61051,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=1
tr|J3QPG5|J3QPG5_MOUSE,5.84,239.35,1.50E+03,1.87E+03,1,1.25,28,18,18,Carbamidomethylation; TMT6plex; Oxidation (M),61363,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=1
Q61207|SAP_MOUSE,5.84,239.35,1.50E+03,1.87E+03,1,1.25,28,18,18,Carbamidomethylation; TMT6plex; Oxidation (M),61422,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=2
tr|E9PZ00|E9PZ00_MOUSE,5.84,239.35,1.50E+03,1.87E+03,1,1.25,28,18,18,Carbamidomethylation; TMT6plex; Oxidation (M),60672,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=1
tr|K3W4L3|K3W4L3_MOUSE,5.84,239.35,1.50E+03,1.87E+03,1,1.25,28,18,18,Carbamidomethylation; TMT6plex; Oxidation (M),61292,Prosaposin OS=Mus musculus GN=Psap PE=1 SV=1
P48036|ANXA5_MOUSE,6.59,239.3,1.04E+03,1.24E+03,1,1.19,46,19,18,TMT6plex,35752,Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1
Q3UM45|PP1R7_MOUSE,2.28,239.15,562.022,514.237,1,0.91,47,17,15,TMT6plex,41292,Protein phosphatase 1 regulatory subunit 7 OS=Mus musculus GN=Ppp1r7 PE=1 SV=2
P31938|MP2K1_MOUSE,2.8,238.99,674.895,674.337,1,1.00,30,15,10,Carbamidomethylation; TMT6plex; Deamidation (NQ),43474,Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus GN=Map2k1 PE=1 SV=2
Q99LC5|ETFA_MOUSE,1.45,238.88,385.103,363.088,1,0.94,51,13,12,Carbamidomethylation; TMT6plex,35009,Electron transfer flavoprotein subunit alpha  mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2
Q5DTL9|S4A10_MOUSE,2.57,238.82,350.727,345.784,1,0.99,9,17,10,TMT6plex,125817,Sodium-driven chloride bicarbonate exchanger OS=Mus musculus GN=Slc4a10 PE=1 SV=2
tr|B1AWV9|B1AWV9_MOUSE,2.57,238.82,350.727,345.784,1,0.99,9,17,10,TMT6plex,124611,Anion exchange protein OS=Mus musculus GN=Slc4a10 PE=1 SV=1
Q9EQ20|MMSA_MOUSE,1.17,238.7,689.491,728.974,1,1.06,44,19,18,Carbamidomethylation; TMT6plex; Deamidation (NQ),57916,Methylmalonate-semialdehyde dehydrogenase [acylating]  mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1
P20152|VIME_MOUSE,0.54,238.68,295.375,289.77,1,0.98,26,19,11,TMT6plex,53688,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3
Q80TZ3|AUXI_MOUSE,1.05,238.51,310.466,311.704,1,1.00,18,20,14,Carbamidomethylation; TMT6plex,102299,Putative tyrosine-protein phosphatase auxilin OS=Mus musculus GN=Dnajc6 PE=1 SV=2
P19157|GSTP1_MOUSE,4.78,238.16,1.95E+03,2.33E+03,1,1.19,55,13,13,TMT6plex; Oxidation (M); Deamidation (NQ),23609,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2
tr|E9QKH8|E9QKH8_MOUSE,2.64,237.26,111.98,107.105,1,0.96,5,11,6,Carbamidomethylation; TMT6plex,134942,Catenin delta-2 OS=Mus musculus GN=Ctnnd2 PE=1 SV=1
O35927|CTND2_MOUSE,2.64,237.26,111.98,107.105,1,0.96,5,11,6,Carbamidomethylation; TMT6plex,134999,Catenin delta-2 OS=Mus musculus GN=Ctnnd2 PE=1 SV=1
Q9CZC8|SCRN1_MOUSE,1.22,237.18,785.679,763.143,1,0.97,35,12,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),46326,Secernin-1 OS=Mus musculus GN=Scrn1 PE=1 SV=1
P18760|COF1_MOUSE,3.72,237.17,3.69E+03,3.29E+03,1,0.89,55,15,11,Carbamidomethylation; TMT6plex; Oxidation (M),18560,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3
tr|F8WGL3|F8WGL3_MOUSE,3.72,237.17,3.69E+03,3.29E+03,1,0.89,40,15,11,Carbamidomethylation; TMT6plex; Oxidation (M),24576,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=1
Q8VEM8|MPCP_MOUSE,1.29,237.14,50.104,50.52,1,1.01,11,18,2,Carbamidomethylation; TMT6plex; Oxidation (M),39632,Phosphate carrier protein  mitochondrial OS=Mus musculus GN=Slc25a3 PE=1 SV=1
Q9D1A2|CNDP2_MOUSE,1.62,237.12,257.873,274.342,1,1.06,44,14,14,Carbamidomethylation; TMT6plex,52767,Cytosolic non-specific dipeptidase OS=Mus musculus GN=Cndp2 PE=1 SV=1
tr|A0A140T8V3|A0A140T8V3_MOUSE,2.06,236.87,1.41E+03,1.38E+03,1,0.98,50,17,13,Carbamidomethylation; TMT6plex; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),30696,Uncharacterized protein OS=Mus musculus GN=Vdac3-ps1 PE=4 SV=1
Q60931|VDAC3_MOUSE,2.06,236.87,1.41E+03,1.38E+03,1,0.98,50,17,13,Carbamidomethylation; TMT6plex; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),30753,Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1
tr|J3QMG3|J3QMG3_MOUSE,2.06,236.87,1.41E+03,1.38E+03,1,0.98,50,17,13,Carbamidomethylation; TMT6plex; Oxidation (M); Acetylation (Protein N-term); Deamidation (NQ),30852,Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1
P02089|HBB2_MOUSE,66.57,236.84,819.847,284.642,1,0.35,35,14,5,Carbamidomethylation; TMT6plex; Deamidation (NQ),15878,Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2
Q9CYT6|CAP2_MOUSE,2.42,236.59,659.183,588.404,1,0.89,45,17,16,Carbamidomethylation; TMT6plex; Deamidation (NQ),52862,Adenylyl cyclase-associated protein 2 OS=Mus musculus GN=Cap2 PE=1 SV=1
Q91WD5|NDUS2_MOUSE,0.73,236.33,804.438,797.911,1,0.99,56,23,21,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),52626,NADH dehydrogenase [ubiquinone] iron-sulfur protein 2  mitochondrial OS=Mus musculus GN=Ndufs2 PE=1 SV=1
P62761|VISL1_MOUSE,1.75,235.79,2.78E+03,2.66E+03,1,0.96,69,19,16,Carbamidomethylation; TMT6plex; Oxidation (M),22142,Visinin-like protein 1 OS=Mus musculus GN=Vsnl1 PE=1 SV=2
O88685|PRS6A_MOUSE,0.25,235.56,235.669,236.95,1,1.01,35,13,12,TMT6plex,49549,26S proteasome regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=2
Q9Z1S5|SEPT3_MOUSE,8.73,235.52,1.44E+03,1.67E+03,1,1.16,48,18,14,Carbamidomethylation; TMT6plex; Deamidation (NQ),40038,Neuronal-specific septin-3 OS=Mus musculus GN=Sept3 PE=1 SV=2
O54983|CRYM_MOUSE,3.16,235.51,940.521,908.167,1,0.97,51,13,12,Carbamidomethylation; TMT6plex,33523,Ketimine reductase mu-crystallin OS=Mus musculus GN=Crym PE=1 SV=1
P19783|COX41_MOUSE,2.97,235.19,3.38E+03,3.60E+03,1,1.07,59,17,15,TMT6plex; Oxidation (M); Deamidation (NQ),19530,Cytochrome c oxidase subunit 4 isoform 1  mitochondrial OS=Mus musculus GN=Cox4i1 PE=1 SV=2
Q9QYS2|GRM3_MOUSE,1.92,235.18,537.536,504.727,1,0.94,18,22,16,Carbamidomethylation; TMT6plex; Deamidation (NQ),99114,Metabotropic glutamate receptor 3 OS=Mus musculus GN=Grm3 PE=1 SV=1
P28738|KIF5C_MOUSE,2.68,235.15,230.197,233.888,1,1.02,14,25,13,TMT6plex,109275,Kinesin heavy chain isoform 5C OS=Mus musculus GN=Kif5c PE=1 SV=3
Q922R8|PDIA6_MOUSE,2.4,235.12,173.107,177.463,1,1.03,30,13,11,TMT6plex,48100,Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3
P84084|ARF5_MOUSE,0.98,235.06,268.864,258.635,1,0.96,51,12,6,Carbamidomethylation; TMT6plex; Deamidation (NQ),20530,ADP-ribosylation factor 5 OS=Mus musculus GN=Arf5 PE=1 SV=2
P54071|IDHP_MOUSE,2.35,234.73,342.193,387.82,1,1.13,32,17,13,Carbamidomethylation; TMT6plex,50906,Isocitrate dehydrogenase [NADP]  mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3
P62141|PP1B_MOUSE,3.98,234.55,49.546,48.908,1,0.99,16,14,4,Carbamidomethylation; TMT6plex,37187,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3
tr|F6TYB7|F6TYB7_MOUSE,7.58,234.18,189.01,290.576,1,1.54,5,12,2,TMT6plex,21188,Myelin basic protein (Fragment) OS=Mus musculus GN=Mbp PE=1 SV=1
Q63810|CANB1_MOUSE,3.02,234.03,1.75E+03,1.61E+03,1,0.92,47,11,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),19300,Calcineurin subunit B type 1 OS=Mus musculus GN=Ppp3r1 PE=1 SV=3
P00920|CAH2_MOUSE,5.98,233.9,1.92E+03,2.35E+03,1,1.22,62,12,11,TMT6plex; Deamidation (NQ),29033,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4
Q9CWJ9|PUR9_MOUSE,3.37,233.87,186.984,194.547,1,1.04,25,13,13,Carbamidomethylation; TMT6plex,64217,Bifunctional purine biosynthesis protein PURH OS=Mus musculus GN=Atic PE=1 SV=2
P48678|LMNA_MOUSE,1.94,233.86,482.886,516.405,1,1.07,30,24,21,TMT6plex; Deamidation (NQ),74238,Prelamin-A/C OS=Mus musculus GN=Lmna PE=1 SV=2
Q9D2G2|ODO2_MOUSE,0.9,233.72,1.09E+03,1.07E+03,1,0.98,25,11,9,Carbamidomethylation; TMT6plex; Oxidation (M),48995,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex  mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1
tr|E9Q8N8|E9Q8N8_MOUSE,0.84,233.67,22.827,21.084,1,0.92,1,18,1,TMT6plex,123086,Anion exchange protein OS=Mus musculus GN=Slc4a4 PE=1 SV=1
Q9Z0P4|PALM_MOUSE,1.62,233.36,384.242,362.018,1,0.94,24,14,7,TMT6plex; Deamidation (NQ),41614,Paralemmin-1 OS=Mus musculus GN=Palm PE=1 SV=1
Q9D0M3|CY1_MOUSE,0.48,233.22,1.54E+03,1.50E+03,1,0.97,55,12,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),35328,Cytochrome c1  heme protein  mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1
Q9EPN1|NBEA_MOUSE,1.29,233.04,243.884,229.199,1,0.94,5,20,14,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),326742,Neurobeachin OS=Mus musculus GN=Nbea PE=1 SV=1
O88844|IDHC_MOUSE,1.01,233.01,516.528,515.13,1,1.00,43,18,15,Carbamidomethylation; TMT6plex,46674,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2
tr|E9PUE7|E9PUE7_MOUSE,1.32,232.97,219.605,206.181,1,0.94,19,18,13,Carbamidomethylation; TMT6plex,92487,Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr PE=1 SV=1
Q5SSL4|ABR_MOUSE,1.32,232.97,219.605,206.181,1,0.94,18,18,13,Carbamidomethylation; TMT6plex,97667,Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr PE=1 SV=1
tr|F7D3W5|F7D3W5_MOUSE,1.83,232.78,233.196,210.914,1,0.90,14,14,12,Carbamidomethylation; TMT6plex; Deamidation (NQ),107694,Phosphodiesterase OS=Mus musculus GN=Gm45837 PE=1 SV=1
tr|G5E924|G5E924_MOUSE,1.34,232.26,654.111,628.58,1,0.96,21,13,11,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),66941,Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Mus musculus GN=Hnrnpl PE=1 SV=1
tr|D3Z396|D3Z396_MOUSE,5.93,232.17,1.03E+03,987.697,1,0.96,28,11,8,Carbamidomethylation; TMT6plex; Deamidation (NQ),34955,Neurotrimin OS=Mus musculus GN=Ntm PE=1 SV=1
Q99PJ0|NTRI_MOUSE,5.93,232.17,1.03E+03,987.697,1,0.96,26,11,8,Carbamidomethylation; TMT6plex; Deamidation (NQ),37984,Neurotrimin OS=Mus musculus GN=Ntm PE=1 SV=2
tr|Q8BG33|Q8BG33_MOUSE,5.93,232.17,1.03E+03,987.697,1,0.96,26,11,8,Carbamidomethylation; TMT6plex; Deamidation (NQ),37941,Neurotrimin OS=Mus musculus GN=Ntm PE=1 SV=1
B0V2N1|PTPRS_MOUSE,2.49,231.87,168.672,163.105,1,0.97,7,15,11,Carbamidomethylation; TMT6plex; Deamidation (NQ),211902,Receptor-type tyrosine-protein phosphatase S OS=Mus musculus GN=Ptprs PE=1 SV=1
Q8BVI4|DHPR_MOUSE,1.65,231.81,698.233,730.234,1,1.05,43,11,7,Carbamidomethylation; TMT6plex; Oxidation (M),25570,Dihydropteridine reductase OS=Mus musculus GN=Qdpr PE=1 SV=2
Q7TQD2|TPPP_MOUSE,5.18,231.65,2.09E+03,2.33E+03,1,1.11,44,10,10,Carbamidomethylation; TMT6plex; Deamidation (NQ),23575,Tubulin polymerization-promoting protein OS=Mus musculus GN=Tppp PE=1 SV=1
Q9Z0X1|AIFM1_MOUSE,3.33,231.61,102.25,96.351,1,0.94,18,8,8,TMT6plex,66766,Apoptosis-inducing factor 1  mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1
tr|B1AU25|B1AU25_MOUSE,3.33,231.61,102.25,96.351,1,0.94,19,8,8,TMT6plex,66114,Apoptosis-inducing factor 1  mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1
tr|Q99N15|Q99N15_MOUSE,5.5,231.3,91.131,86.886,1,0.95,43,7,7,Carbamidomethylation; TMT6plex,27274,17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase OS=Mus musculus GN=Hsd17b10 PE=1 SV=1
tr|G3X9L6|G3X9L6_MOUSE,1.16,231.23,1.91E+03,1.91E+03,1,1.00,78,13,12,Carbamidomethylation; TMT6plex; Oxidation (M),18621,ATP synthase subunit d  mitochondrial OS=Mus musculus GN=Gm10250 PE=3 SV=1
Q9DCX2|ATP5H_MOUSE,1.16,231.23,1.91E+03,1.91E+03,1,1.00,77,13,12,Carbamidomethylation; TMT6plex; Oxidation (M),18749,ATP synthase subunit d  mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3
tr|G3UZM4|G3UZM4_MOUSE,2.89,231.04,578.947,511.775,1,0.88,37,11,11,Carbamidomethylation; TMT6plex,47346,Cell adhesion molecule 2 (Fragment) OS=Mus musculus GN=Cadm2 PE=1 SV=1
Q8BLQ9|CADM2_MOUSE,2.89,231.04,578.947,511.775,1,0.88,37,11,11,Carbamidomethylation; TMT6plex,47559,Cell adhesion molecule 2 OS=Mus musculus GN=Cadm2 PE=1 SV=2
Q8VD37|SGIP1_MOUSE,2.99,230.82,96.603,95.222,1,0.99,8,19,5,TMT6plex,86063,SH3-containing GRB2-like protein 3-interacting protein 1 OS=Mus musculus GN=Sgip1 PE=1 SV=1
Q8R570|SNP47_MOUSE,1.45,230.76,233.212,227.426,1,0.98,40,13,12,Carbamidomethylation; TMT6plex,46524,Synaptosomal-associated protein 47 OS=Mus musculus GN=Snap47 PE=1 SV=1
tr|Q8R1X1|Q8R1X1_MOUSE,1.7,230.57,386.714,408.816,1,1.06,27,21,20,Carbamidomethylation; TMT6plex,80738,Acyl-CoA synthetase long-chain family member 6 OS=Mus musculus GN=Acsl6 PE=1 SV=2
Q9JIS5|SV2A_MOUSE,3.37,230.5,1.27E+03,1.08E+03,1,0.85,12,13,12,TMT6plex; Oxidation (M); Deamidation (NQ),82647,Synaptic vesicle glycoprotein 2A OS=Mus musculus GN=Sv2a PE=1 SV=1
P68404|KPCB_MOUSE,1.19,230.2,912.478,926.13,1,1.01,20,19,12,Carbamidomethylation; TMT6plex,76751,Protein kinase C beta type OS=Mus musculus GN=Prkcb PE=1 SV=4
Q9D0F9|PGM1_MOUSE,1.95,230.16,59.818,72.116,1,1.21,3,19,1,TMT6plex,61418,Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4
Q91VR2|ATPG_MOUSE,1.67,229.99,2.43E+03,2.55E+03,1,1.05,37,13,12,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),32886,ATP synthase subunit gamma  mitochondrial OS=Mus musculus GN=Atp5c1 PE=1 SV=1
tr|Q8C2Q8|Q8C2Q8_MOUSE,1.67,229.99,2.43E+03,2.55E+03,1,1.05,40,13,12,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),30256,ATP synthase subunit gamma OS=Mus musculus GN=Atp5c1 PE=1 SV=1
P56564|EAA1_MOUSE,6.15,229.89,504.405,511.497,1,1.01,14,9,6,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),59622,Excitatory amino acid transporter 1 OS=Mus musculus GN=Slc1a3 PE=1 SV=2
Q80TL4|PHF24_MOUSE,1,229.84,431.985,412.934,1,0.96,32,12,12,Carbamidomethylation; TMT6plex,45223,PHD finger protein 24 OS=Mus musculus GN=Phf24 PE=1 SV=2
Q99JY0|ECHB_MOUSE,2.42,229.59,260.298,243.031,1,0.93,32,13,12,Carbamidomethylation; TMT6plex,51386,Trifunctional enzyme subunit beta  mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1
P18242|CATD_MOUSE,2.11,229.57,591.628,660.14,1,1.12,35,14,14,Carbamidomethylation; TMT6plex,44954,Cathepsin D OS=Mus musculus GN=Ctsd PE=1 SV=1
Q9R1Q8|TAGL3_MOUSE,1.22,229.51,990.226,955.184,1,0.96,59,13,10,Carbamidomethylation; TMT6plex; Oxidation (M),22471,Transgelin-3 OS=Mus musculus GN=Tagln3 PE=1 SV=1
tr|A2AGR0|A2AGR0_MOUSE,2.21,229.26,142.097,151.588,1,1.07,8,12,10,TMT6plex,175105,MAP kinase-activating death domain protein OS=Mus musculus GN=Madd PE=1 SV=1
Q80U28|MADD_MOUSE,2.21,229.26,142.097,151.588,1,1.07,8,12,10,TMT6plex,175179,MAP kinase-activating death domain protein OS=Mus musculus GN=Madd PE=1 SV=2
P68040|RACK1_MOUSE,1.7,229.09,343.23,357.3,1,1.04,47,13,12,Carbamidomethylation; TMT6plex,35077,Receptor of activated protein C kinase 1 OS=Mus musculus GN=Rack1 PE=1 SV=3
tr|D3YZU4|D3YZU4_MOUSE,2.73,229.08,157.171,158.284,1,1.01,6,13,10,TMT6plex,225347,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus GN=Shank1 PE=1 SV=1
P10852|4F2_MOUSE,1.34,228.78,1.17E+03,1.10E+03,1,0.94,32,16,15,TMT6plex,58337,4F2 cell-surface antigen heavy chain OS=Mus musculus GN=Slc3a2 PE=1 SV=1
P09405|NUCL_MOUSE,0.69,228.62,647.634,641.722,1,0.99,27,19,17,TMT6plex,76723,Nucleolin OS=Mus musculus GN=Ncl PE=1 SV=2
tr|A2AWI7|A2AWI7_MOUSE,1,228.39,344.953,326.165,1,0.95,43,14,13,Carbamidomethylation; TMT6plex; Deamidation (NQ),44908,Endophilin-B2 OS=Mus musculus GN=Sh3glb2 PE=1 SV=1
Q8K596|NAC2_MOUSE,0.98,228.21,729.115,688.271,1,0.94,17,15,13,Carbamidomethylation; TMT6plex,100711,Sodium/calcium exchanger 2 OS=Mus musculus GN=Slc8a2 PE=1 SV=1
tr|A0A0R4J2C2|A0A0R4J2C2_MOUSE,2.93,228.05,178.434,202.181,1,1.13,17,17,7,Carbamidomethylation; TMT6plex,47249,Synaptotagmin II OS=Mus musculus GN=Syt2 PE=1 SV=1
Q9D6M3|GHC1_MOUSE,1.16,227.93,396.189,391.542,1,0.99,35,14,8,Carbamidomethylation; TMT6plex; Oxidation (M); Deamidation (NQ),34670,Mitochondrial glutamate carrier 1 OS=Mus musculus GN=Slc25a22 PE=1 SV=1
Q80Z24|NEGR1_MOUSE,2.77,227.93,786.381,691.949,1,0.88,34,11,10,Carbamidomethylation; TMT6plex; Deamidation (NQ),37900,Neuronal growth regulator 1 OS=Mus musculus GN=Negr1 PE=1 SV=1
Q9CR62|M2OM_MOUSE,1.36,227.88,435.957,429.036,1,0.98,46,17,14,Carbamidomethylation; TMT6plex; Deamidation (NQ),34155,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3
P70336|ROCK2_MOUSE,1.91,227.69,344.809,339.616,1,0.98,15,23,21,Carbamidomethylation; TMT6plex; Oxidation (M),160585,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1
Q9JII6|AK1A1_MOUSE,6.6,227.51,607.404,718.191,1,1.18,48,18,14,Carbamidomethylation; TMT6plex,36587,Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3
