Supplemental Table 2:  Old vs young brain and muscle nuclei proteins,,,,
Uniprot ID,Gene name,Protein name,log2 fold change,-log 10 t.test
Q8K021,Scamp1,Secretory carrier-associated membrane protein 1,-0.058855364,0.05316217
P20152,Vim,Vimentin,-0.058341304,0.052882202
Q8BVY0,Rsl1d1,Ribosomal L1 domain-containing protein 1,-0.055350449,0.021790443
Q99LT0,Dpy30,Protein dpy-30 homolog,-0.053119302,0.026066815
A0A0A6YWP6,Atp6v1h,"Isoform of Q8BVE3, V-type proton ATPase subunit H",-0.053059024,0.050667154
Q3TML0,Pdia6,"Isoform of Q922R8, Protein disulfide-isomerase A6",-0.050098335,0.022126104
D3YVX1,Ggt1,"Isoform of Q60928, Gamma-glutamyltranspeptidase 1",-0.049263864,0.039478338
P84086,Cplx2,Complexin-2,-0.049123649,0.031629516
Q6P9Z1,Smarcd3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3,-0.048794577,0.006128589
Q5NCR9,Nsrp1,Nuclear speckle splicing regulatory protein 1,-0.0484583,0.041599249
K3W4M2,Ryr1,"Isoform of E9PZQ0, Ryanodine receptor 1",-0.044605651,0.023563445
Q9DB20,Atp5o,"ATP synthase subunit O, mitochondrial",-0.044263936,0.029299702
Q9EQY0,Ern1,Serine/threonine-protein kinase/endoribonuclease IRE1,-0.043562027,0.050882817
A2ACZ1,Ebna1bp2,"Isoform of Q9D903, Probable rRNA-processing protein EBP2",-0.042830531,0.030644796
A2ASS6,Ttn,Titin,-0.041682685,0.038497655
P09103,P4hb,Protein disulfide-isomerase,-0.041184824,0.037811852
D6RGU9,Ubxn2a,"Isoform of Q99KJ0, UBX domain containing 4, isoform CRA_d",-0.039120196,0.033046538
P62900,Rpl31,60S ribosomal protein L31,-0.038984753,0.025140811
Q61602,Gli3,Transcriptional activator GLI3,-0.038402189,0.013861609
O08749,Dld,"Dihydrolipoyl dehydrogenase, mitochondrial",-0.038339015,0.029598879
Q3UDD3,Poldip3,"Isoform of Q8BG81, Polymerase delta-interacting protein 3",-0.037763751,0.014966754
Q0VBL3,Rbm15,Protein Rbm15,-0.036415802,0.017584994
Q63912,Omg,Oligodendrocyte-myelin glycoprotein,-0.035404806,0.061891942
Q64332,Syn2,Synapsin-2,-0.034575225,0.021369277
P62305,Snrpe,Small nuclear ribonucleoprotein E,-0.032190801,0.012844268
P60710,Actb,"Actin, cytoplasmic 1",-0.028592431,0.024086182
P09411,Pgk1,Phosphoglycerate kinase 1,-0.025045162,0.034654372
P62918,Rpl8,60S ribosomal protein L8,-0.023382482,0.010242802
Q8VEM8,Slc25a3,"Phosphate carrier protein, mitochondrial",-0.023045212,0.022870671
Q6ZWZ6,Rps12,"Isoform of P63323, 40S ribosomal protein S12",-0.015741277,0.013424376
O08784,Tcof1,Treacle protein,-0.010812438,0.004701396
A0A087WRG2,U2surp,"Isoform of Q6NV83, U2 snRNP-associated SURP motif-containing protein",-0.008885322,0.002469165
P97379,G3bp2,Ras GTPase-activating protein-binding protein 2,-0.007117015,0.002311803
P28663,Napb,Beta-soluble NSF attachment protein,-0.00658832,0.004756357
Q8K3J1,Ndufs8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",-0.005624943,0.006570516
Q91WK2,Eif3h,Eukaryotic translation initiation factor 3 subunit H,-0.003319608,0.007540265
0,0,0,0,0
Q80UK8,Ints2,Integrator complex subunit 2,0.003030233,0.004754132
Q9CQR4,Acot13,Acyl-coenzyme A thioesterase 13,0.003426905,0.000970127
D3Z4K7,Usp5,"Isoform of P56399, Ubiquitin carboxyl-terminal hydrolase 5",0.004878771,0.000607809
O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,0.004902999,0.004013559
Q9CZY3,Ube2v1,Ubiquitin-conjugating enzyme E2 variant 1,0.01022258,0.010753156
Q9QY81,Nup210,Nuclear pore membrane glycoprotein 210,0.010604826,0.015110236
P05201,Got1,"Aspartate aminotransferase, cytoplasmic",0.011432141,0.022623181
Q9WTT4,Atp6v1g2,V-type proton ATPase subunit G 2,0.013112403,0.011486631
A2BFF8,Dync1i2,"Isoform of O88487, Cytoplasmic dynein 1 intermediate chain 2",0.013251045,0.006321264
P35564,Canx,Calnexin,0.017612484,0.017496776
P84228,Hist1h3b,Histone H3.2,0.019542434,0.010817565
B1ARS3,Mfsd2a,"Isoform of Q9DA75, Sodium-dependent lysophosphatidylcholine symporter 1",0.020907074,0.030173395
Q61687,Atrx,Transcriptional regulator ATRX,0.021503746,0.025800225
Q9QYX7,Pclo,Protein piccolo,0.022863306,0.018300914
D3YUK4,Ndufb10,"Isoform of Q9DCS9, NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10",0.023348392,0.011018612
A2APD7,Nop56,"Isoform of Q9D6Z1, Nucleolar protein 56",0.024811333,0.031359244
D3YUW8,Pogz,"Isoform of Q8BZH4, Pogo transposable element with ZNF domain",0.024827087,0.024695705
Q8VHX6,Flnc,Filamin-C,0.02680744,0.01181219
Q7TMI3,Uhrf2,E3 ubiquitin-protein ligase UHRF2,0.03036006,0.017039873
P62317,Snrpd2,Small nuclear ribonucleoprotein Sm D2,0.031526611,0.021706296
Q61103,Dpf2,Zinc finger protein ubi-d4,0.032950552,0.036703952
Q8R081,Hnrnpl,Heterogeneous nuclear ribonucleoprotein L,0.034414323,0.028062096
Q02257,Jup,Junction plakoglobin,0.036397817,0.03283387
Q99MR0,Actl6b,Actin-like protein 6B,0.036601795,0.030164134
Q02566,Myh6,Myosin-6,0.039010765,0.039902656
Q9CQZ5,Ndufa6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,0.039069492,0.037347569
Q3UTJ2,Sorbs2,Sorbin and SH3 domain-containing protein 2,0.040239557,0.020502776
Q8K0U4,Hspa12a,Heat shock 70 kDa protein 12A,0.043395924,0.03789638
P68254,Ywhaq,14-3-3 protein theta,0.043514662,0.048891734
O55042,Snca,Alpha-synuclein,0.043868304,0.041155957
Q6PE01,Snrnp40,U5 small nuclear ribonucleoprotein 40 kDa protein,0.04392497,0.035725904
Q62261,Sptbn1,"Spectrin beta chain, non-erythrocytic 1",0.047795208,0.027139605
Q99JB8,Pacsin3,Protein kinase C and casein kinase II substrate protein 3,0.054366767,0.050037025
F6RJ39,Acin1,"Isoform of Q9JIX8, Apoptotic chromatin condensation inducer in the nucleus",0.057341892,0.045664881
P16125,Ldhb,L-lactate dehydrogenase B chain,0.057687285,0.078413987
P51881,Slc25a5,ADP/ATP translocase 2,0.059293022,0.034739014
Q04750,Top1,DNA topoisomerase 1,0.063388373,0.057760124
O55125,Nipsnap1,Protein NipSnap homolog 1,0.067826018,0.076856957
Q8BMD5,Cdadc1,Cytidine and dCMP deaminase domain-containing protein 1,0.067911059,0.069190469
Q8QZY9,Sf3b4,Splicing factor 3B subunit 4,0.070885949,0.054313176
B1ARH1,Dph1,"Isoform of Q5NCQ5, Diphthamide biosynthesis protein 1",0.073349493,0.05447814
P01831,Thy1,Thy-1 membrane glycoprotein,0.074010662,0.090130515
Q6P4T2,Snrnp200,U5 small nuclear ribonucleoprotein 200 kDa helicase,0.075206891,0.043243619
Q8R2U0,Seh1l,Nucleoporin SEH1,0.075755334,0.077021836
Q9D7A8,Armc1,Armadillo repeat-containing protein 1,0.076069047,0.039900732
F7B2B4,Atp6v1f,"Isoform of Q9D1K2, V-type proton ATPase subunit F",0.079823276,0.059321797
P61979,Hnrnpk,Heterogeneous nuclear ribonucleoprotein K,0.080449152,0.053629978
P63276,Rps17,40S ribosomal protein S17,0.080696765,0.058564252
Q3TH63,Brd2,"Isoform of Q7JJ13, Bromodomain-containing protein 2",0.085680393,0.06761309
F8WI31,Plrg1,"Isoform of Q922V4, Pleiotropic regulator 1",0.086153532,0.063516907
Q8BWT1,Acaa2,"3-ketoacyl-CoA thiolase, mitochondrial",0.087836032,0.116906043
Q8BTF8,Ralyl,RNA-binding Raly-like protein,0.088948993,0.063805277
Q9D287,Bcas2,Pre-mRNA-splicing factor SPF27,0.090746751,0.070037009
Q9D1J3,Sarnp,SAP domain-containing ribonucleoprotein,0.092612107,0.066627835
P15864,Hist1h1c,Histone H1.2,0.092717016,0.055998751
P06745,Gpi,Glucose-6-phosphate isomerase,0.094811806,0.056785661
E9QK16,Fat3,"Isoform of Q8BNA6, Protocadherin Fat 3",0.095073024,0.091260653
Q91VB8,haemaglobin alpha 2,"Isoform of P01942, Alpha globin 1",0.095772106,0.060229971
E9PUM3,Pygm,"Isoform of Q9WUB3, Alpha-1,4 glucan phosphorylase",0.096483648,0.051346447
A0A0G2JFD4,Ampd1,"Isoform of Q3V1D3, AMP deaminase 1",0.097229425,0.091932244
Q99PV0,Prpf8,Pre-mRNA-processing-splicing factor 8,0.097241055,0.134873821
S4R1N6,Rps18,"Isoform of P62270, 40S ribosomal protein S18",0.100931363,0.14919415
Q5SX61,Eno3,"Isoform of P21550, Beta-enolase",0.102430748,0.035612061
P61358,Rpl27,60S ribosomal protein L27,0.107948415,0.057786064
P16330,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.110777387,0.125496192
P54227,Stmn1,Stathmin,0.113640444,0.047543212
Q6P6L5,Mybpc1,"Isoform of D3YU50, Protein Mybpc1",0.119702374,0.031014508
Q3ZB60,Mag,"Isoform of P20917, Mag protein",0.119797487,0.082041651
P52479,Usp10,Ubiquitin carboxyl-terminal hydrolase 10,0.119968608,0.144561315
P26443,Glud1,"Glutamate dehydrogenase 1, mitochondrial",0.122655357,0.151007061
A2AWT6,Ubtf,"Isoform of P25976, Nucleolar transcription factor 1",0.124154439,0.13549094
Q3V1Z5,Rps4l,40S ribosomal protein S4,0.127904419,0.114471444
A0A087WQY9,Hdlbp,"Isoform of Q8VDJ3, Vigilin",0.128223792,0.12589727
Q8BGC0,Htatsf1,HIV Tat-specific factor 1 homolog,0.129472122,0.080737385
Q569Z5,Ddx46,Probable ATP-dependent RNA helicase DDX46,0.131042923,0.173990773
D3Z1A1,Qdpr,"Isoform of Q8BVI4, Dihydropteridine reductase",0.131692074,0.225761802
Q9ES97,Rtn3,Reticulon-3,0.133810618,0.211752882
Q91VR5,Ddx1,ATP-dependent RNA helicase DDX1,0.135020751,0.106730658
P63330,Ppp2ca,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,0.135066663,0.16692504
P99027,Rplp2,60S acidic ribosomal protein P2,0.135776142,0.148131193
Q8VDN2,Atp1a1,Sodium/potassium-transporting ATPase subunit alpha-1,0.138579643,0.23196746
Q8CGP0,Hist3h2bb,Histone H2B type 3-B,0.140994683,0.091947226
D3Z6W1,Map6,"Isoform of Q7TSJ2, Microtubule-associated protein 6",0.141047073,0.171602162
G3UYZ1,Igsf8,"Isoform of Q8R366, Immunoglobulin superfamily member 8",0.146424388,0.083260027
A0A0G2JFA5,Atrx,"Isoform of Q61687, Transcriptional regulator ATRX",0.15737688,0.120008646
Q8CCS6,Pabpn1,Polyadenylate-binding protein 2,0.157719223,0.060011923
D3Z055,Pabpn1,"Isoform of Q8CCS6, Polyadenylate-binding protein 2",0.157930638,0.191995047
Q5SW86,Rab1,"Isoform of P62821, Ras-related protein Rab-1A",0.158051643,0.138696945
P08775,Polr2a,DNA-directed RNA polymerase II subunit RPB1,0.160921384,0.030927945
Q9CR06,Asph,"Isoform of Q8BSY0, Aspartate-beta-hydroxylase, isoform CRA_a",0.16315573,0.109958351
Q8CGP1,Hist1h2bk,Histone H2B type 1-K,0.16441564,0.042925965
P50516,Atp6v1a,V-type proton ATPase catalytic subunit A,0.168304686,0.167087536
Q9ET80,Jph1,Junctophilin-1,0.168413,0.114914403
Q8CH09,Sugp2,SURP and G-patch domain-containing protein 2,0.170079877,0.121337684
Q9CQB4,Uqcrb,"Isoform of Q9D855, Cytochrome b-c1 complex subunit 7",0.170583851,0.069188074
A2AR81,Tbr1,"Isoform of Q64336, T-box brain protein 1",0.171920388,0.140106241
G3UWJ8,Kpna1,"Isoform of Q60960, Importin subunit alpha-5",0.174096279,0.121787719
D3Z6E4,Eno2,"Isoform of P17183, Enolase",0.178806236,0.095368467
A8DUK4,Hbbt1,Beta-globin,0.178813455,0.089091871
Q5NC79,Nme1,"Isoform of P15532, Nucleoside diphosphate kinase A",0.179846488,0.154972761
Q99020,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,0.180168121,0.125138153
P62311,Lsm3,U6 snRNA-associated Sm-like protein LSm3,0.18203073,0.201502629
D3Z4U0,Zranb2,"Isoform of Q9R020, Zinc finger Ran-binding domain-containing protein 2",0.182288644,0.244774054
Q8BHS3,Rbm22,Pre-mRNA-splicing factor RBM22,0.185693231,0.206965273
P05213,Tuba1b,Tubulin alpha-1B chain,0.187045829,0.077032537
P14733,Lmnb1,Lamin-B1,0.188395209,0.100454689
Q63850,Nup62,Nuclear pore glycoprotein p62,0.191522324,0.130267738
Q62167,Ddx3x,ATP-dependent RNA helicase DDX3X,0.193366269,0.151621578
P14131,Rps16,40S ribosomal protein S16,0.194267016,0.069551767
Q9CYH6,Rrs1,Ribosome biogenesis regulatory protein homolog,0.202388126,0.237939922
P16330,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",0.203212402,0.156221416
Q8BFU2,Hist3h2a,Histone H2A type 3,0.204597783,0.065383733
Q9DCU2,Pllp,Plasmolipin,0.20518266,0.145604979
P59235,Nup43,Nucleoporin Nup43,0.205989479,0.139212357
A2ALV1,Sh3gl2,"Isoform of Q62420, Endophilin-A1",0.206255504,0.09476554
P10637,Mapt,Microtubule-associated protein tau,0.207270426,0.159004694
E9Q3G8,Nup153,Protein Nup153,0.20866134,0.104494576
Q542V3,Srsf4,"Isoform of Q8VE97, Serine/arginine-rich-splicing factor 4",0.209115753,0.093833727
Q9QYB8,Add2,Beta-adducin,0.210580861,0.220336765
A2BI12,Psip1,"Isoform of Q99JF8, PC4 and SFRS1-interacting protein",0.212945312,0.131294811
Q9JJV2,Pfn2,Profilin-2,0.214078006,0.119958602
P61965,Wdr5,WD repeat-containing protein 5,0.214131056,0.100678234
Q7TNC4,Luc7l2,Putative RNA-binding protein Luc7-like 2,0.214650109,0.144442634
P61982,Ywhag,14-3-3 protein gamma,0.216302543,0.090002608
P47963,Rpl13,60S ribosomal protein L13,0.22072027,0.141441769
P70372,Elavl1,ELAV-like protein 1,0.221417937,0.112187862
E9Q7L0,Ogdhl,Protein Ogdhl,0.22306227,0.495757323
Q60675,Lama2,Laminin subunit alpha-2,0.223734729,0.191040749
P43006,Slc1a2,Excitatory amino acid transporter 2,0.224382383,0.178127933
P05064,Aldoa,Fructose-bisphosphate aldolase A,0.226950326,0.122312108
G5E850,Cyb5a,"Isoform of P56395, Cytochrome b-5, isoform CRA_a",0.226983779,0.168395346
P97807,Fh,"Fumarate hydratase, mitochondrial",0.227363697,0.238603942
Q3TXX4,Slc17a7,Vesicular glutamate transporter 1,0.227390451,0.337615292
Q9R190,Mta2,Metastasis-associated protein MTA2,0.229040973,0.134606541
Q9JLI8,Sart3,Squamous cell carcinoma antigen recognized by T-cells 3,0.230441418,0.153344815
O70622,Rtn2,Reticulon-2,0.233904373,0.100975072
Q64012,Raly,RNA-binding protein Raly,0.241527842,0.142207434
Q9D8T7,Slirp,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",0.241675808,0.0653997
Q8C391,Exoc4,"Isoform of O35382, Exocyst complex component 4",0.243219424,0.250603738
Q3TSG4,Alkbh5,RNA demethylase ALKBH5,0.243265122,0.268146148
Q8BIQ5,Cstf2,Cleavage stimulation factor subunit 2,0.245262632,0.169390235
Q8BP67,Rpl24,60S ribosomal protein L24,0.247358558,0.254212977
Q5XKE0,Mybpc2,"Myosin-binding protein C, fast-type",0.247992819,0.074251339
P56382,Atp5e,"ATP synthase subunit epsilon, mitochondrial",0.249454052,0.145217405
Q61656,Ddx5,Probable ATP-dependent RNA helicase DDX5,0.250263778,0.113609127
E9PUX0,Mtdh,"Isoform of Q80WJ7, Protein LYRIC",0.250559239,0.325569966
P21619,Lmnb2,Lamin-B2,0.251480877,0.133606295
Q9ESX5,Dkc1,H/ACA ribonucleoprotein complex subunit 4,0.252073423,0.166563749
Q8BIF2,Rbfox3,RNA binding protein fox-1 homolog 3,0.255042272,0.380018919
Q60847,Col12a1,Collagen alpha-1(XII) chain,0.257493921,0.282247457
P23927,Cryab,Alpha-crystallin B chain,0.273732561,0.3690677
Q9ERD7,Tubb3,Tubulin beta-3 chain,0.275141098,0.223577917
P14094,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,0.275638794,0.243362561
D3YVV9,Synpo2,"Isoform of Q91YE8, Synaptopodin-2",0.275929915,0.209776996
Q5SVI0,Camk2b,"Isoform of P28652, Calcium/calmodulin-dependent protein kinase type II subunit beta",0.281913714,0.271217921
Q91WM3,Rrp9,U3 small nucleolar RNA-interacting protein 2,0.282268021,0.231095277
D3YXK2,Safb,Scaffold attachment factor B1,0.284201677,0.119569121
Q9JJ43,Rbfox1,RNA binding protein fox-1 homolog 1,0.287128129,0.334349173
A2A6J1,Tnnt3,"Isoform of Q9QZ47, Troponin T, fast skeletal muscle",0.288177909,0.137684956
Q99KX1,Mlf2,Myeloid leukemia factor 2,0.288911348,0.521390244
Q3THW5,H2afv,Histone H2A.V,0.290384228,0.145584607
P03995,Gfap,Glial fibrillary acidic protein,0.292869181,0.19605459
Q99KG3,Rbm10,RNA-binding protein 10,0.29355362,0.923856038
P14211,Calr,Calreticulin,0.295662023,0.487279374
Q9Z204,Hnrnpc,Heterogeneous nuclear ribonucleoproteins C1/C2,0.29829372,0.170485312
Q9JK53,Prelp,Prolargin,0.29989011,0.170967127
Q64521,Gpd2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",0.300172843,0.439007429
P70670,Naca,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.302915043,0.248471514
P62281,Rps11,40S ribosomal protein S11,0.303597975,0.180163664
Q7TPV4,Mybbp1a,Myb-binding protein 1A,0.305133626,0.193521675
Q8VCH9,Lrrc3b,Leucine-rich repeat-containing protein 3B,0.305556591,0.056029533
Q05816,Fabp5,"Fatty acid-binding protein, epidermal",0.306257699,0.244414068
E9Q9K8,Akap6,Protein Akap6,0.310277393,0.265095939
P0C0S6,H2afz,Histone H2A.Z,0.311254551,0.274439651
Q9WUM5,Suclg1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0.312011137,0.151609302
Q6PFD9,Nup98,Nuclear pore complex protein Nup98-Nup96,0.313061354,0.171811585
Q99MQ4,Aspn,Asporin,0.31466175,0.146739674
Q9R1T4,6-Sep,Septin-6,0.318491741,0.418917781
Q9CYN2,Spcs2,Signal peptidase complex subunit 2,0.31985452,0.239027188
I7HJS1,Emd,"Isoform of O08579, Emerin",0.32080502,0.30519292
Q9ERU9,Ranbp2,E3 SUMO-protein ligase RanBP2,0.323899128,0.239304239
P62274,Rps29,40S ribosomal protein S29,0.327285538,0.509554596
F8VQJ3,Lamc1,"Isoform of P02468, Laminin subunit gamma-1",0.327888585,0.270819089
Q6NVF9,Cpsf6,Cleavage and polyadenylation specificity factor subunit 6,0.330516695,0.179582143
A2A8V8,Srrm1,"Isoform of Q52KI8, Serine/arginine repetitive matrix protein 1",0.335893985,0.517756651
P63154,Crnkl1,Crooked neck-like protein 1,0.336151282,0.344606859
P68404,Prkcb,Protein kinase C beta type,0.33677938,0.372891039
E9QPX3,Ndufs4,"Isoform of Q9CXZ1, NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0.337204743,0.237920919
P28659,Celf1,CUGBP Elav-like family member 1,0.337355919,0.278836095
P83870,Phf5a,PHD finger-like domain-containing protein 5A,0.339797402,0.14895196
D3Z1U9,Ndufv1,"Isoform of Q91YT0, NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",0.341537488,0.374684013
Q9CXS4,Cenpv,Centromere protein V,0.345553665,0.146617037
P41105,Rpl28,60S ribosomal protein L28,0.35142348,0.541704199
P63325,Rps10,40S ribosomal protein S10,0.35695156,0.279462719
Q9CR57,Rpl14,60S ribosomal protein L14,0.359341803,0.229392985
P60335,Pcbp1,Poly(rC)-binding protein 1,0.365296998,0.607330827
Q8VDS4,Rprd1a,Regulation of nuclear pre-mRNA domain-containing protein 1A,0.369011943,0.873747865
P62830,Rpl23,60S ribosomal protein L23,0.369451503,0.362818904
Q9CZU6,Cs,"Citrate synthase, mitochondrial",0.370660486,0.455589342
Q99K48,Nono,Non-POU domain-containing octamer-binding protein,0.373923458,0.172356432
E9PWZ3,Rpl3l,Protein Rpl3l,0.3750232,0.322718124
P14873,Map1b,Microtubule-associated protein 1B,0.375159128,1.414280424
Q9CWF2,Tubb2b,Tubulin beta-2B chain,0.375424185,0.519093727
Q7TQF7,Amph,Amphiphysin,0.376095024,0.374245238
S4R1W1,Gm3839,Glyceraldehyde-3-phosphate dehydrogenase,0.376766107,0.228105371
Q9JKC6,Cend1,Cell cycle exit and neuronal differentiation protein 1,0.379954277,0.337113135
Q8K0H5,Taf10,Transcription initiation factor TFIID subunit 10,0.381073638,0.457884393
A2AR02,Ppig,Peptidyl-prolyl cis-trans isomerase G,0.381660445,0.52515851
P48758,Cbr1,Carbonyl reductase [NADPH] 1,0.385006878,0.653704737
Q80UW8,Polr2e,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",0.386924137,0.137021622
D3YW09,Sf3a2,"Isoform of Q62203, Splicing factor 3A subunit 2",0.387773189,0.221503288
P84089,Erh,Enhancer of rudimentary homolog,0.390558403,0.149120972
Q9JKK7,Tmod2,Tropomodulin-2,0.390652239,0.572558336
Q62093,Srsf2,Serine/arginine-rich splicing factor 2,0.390914929,0.186780858
Q8R480,Nup85,Nuclear pore complex protein Nup85,0.391754519,0.061797111
O35900,Lsm2,U6 snRNA-associated Sm-like protein LSm2,0.392194279,0.662241568
Q3UPR7,Tmem102,Transmembrane protein 102,0.393197697,0.178315087
Q9CR68,Uqcrfs1,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",0.393583638,0.244525333
Q8CB77,Tceb3,Transcription elongation factor B polypeptide 3,0.39381862,0.323571877
Q91VE6,Nifk,MKI67 FHA domain-interacting nucleolar phosphoprotein,0.394922468,0.109732955
F6T0A8,Adck3,"Isoform of Q60936, Atypical kinase ADCK3, mitochondrial",0.395019851,0.602966999
D3YYN7,Atp1a2,"Isoform of Q6PIE5, Sodium/potassium-transporting ATPase subunit alpha-2",0.395210048,0.233411001
O88532,Zfr,Zinc finger RNA-binding protein,0.395963121,0.376005724
Q9QYG0,Ndrg2,Protein NDRG2,0.397023655,0.678025902
P84104,Srsf3,Serine/arginine-rich splicing factor 3,0.398062283,0.227113721
Q8VH51,Rbm39,RNA-binding protein 39,0.398404792,0.273759819
Q923D4,Sf3b5,Splicing factor 3B subunit 5,0.398875484,0.243054562
A2AL12,Hnrnpa3,"Isoform of Q8BG05, Heterogeneous nuclear ribonucleoprotein A3",0.399223424,0.37099185
Q80U93,Nup214,Nuclear pore complex protein Nup214,0.401563091,0.323630689
D3Z4A4,Prdx2,"Isoform of Q61171, Peroxiredoxin-2",0.401662325,0.513970286
Q6VGS5,Ccdc88c,Protein Daple,0.402974467,0.433034944
D3Z4D9,C2cd3,"Isoform of Q52KB6, C2 domain-containing protein 3",0.402998842,0.553515346
Q6GSS7,Hist2h2aa1,Histone H2A type 2-A,0.403657875,0.296993845
Q7M739,Tpr,"Isoform of F6ZDS4, Nuclear pore complex-associated intranuclear coiled-coil protein TPR",0.404051868,0.197950687
F6ZDS4,Tpr,Nucleoprotein TPR,0.406049728,0.753367269
G3UZK4,Rpl18,"Isoform of P35980, 60S ribosomal protein L18",0.406810157,0.285576988
Q9CQU1,Mfap1,Microfibrillar-associated protein 1,0.409543623,0.241985937
P19246,Nefh,Neurofilament heavy polypeptide,0.411124212,0.285171374
Q9CQ69,Uqcrq,Cytochrome b-c1 complex subunit 8,0.413064073,0.453272483
P47915,Rpl29,60S ribosomal protein L29,0.413557158,0.239968961
P43274,Hist1h1e,Histone H1.4,0.416469865,0.360076587
Q9JKS4,Ldb3,LIM domain-binding protein 3,0.416523042,0.142148939
Q9Z2Y3,Homer1,Homer protein homolog 1,0.419621929,0.373603991
Q9WV02,Rbmx,"RNA-binding motif protein, X chromosome",0.419729434,0.141726665
A0A0A6YW67,Gm8797,"MCG23377, isoform CRA_b",0.420748957,0.211712975
Q9CX86,Hnrnpa0,Heterogeneous nuclear ribonucleoprotein A0,0.422634099,0.386638575
O35737,Hnrnph1,Heterogeneous nuclear ribonucleoprotein H,0.422919646,0.21230769
Q7TNV0,Dek,Protein DEK,0.424091403,0.344355486
Q8BH80,Vapb,"Isoform of Q9QY76, Vesicle-associated membrane protein, associated protein B and C",0.425031391,0.222878318
Q6ZQI3,Mlec,Malectin,0.426012668,0.550430732
P99029,Prdx5,"Peroxiredoxin-5, mitochondrial",0.427736574,0.266521453
Q9WV92,Epb41l3,Band 4.1-like protein 3,0.428504429,0.772450199
O70172,Pip4k2a,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,0.429363485,0.836898768
Q80VD1,Fam98b,Protein FAM98B,0.434449797,0.511399702
Q9QXV0,Pcsk1n,ProSAAS,0.435660877,0.653435895
Q9CQI3,Gmfb,Glia maturation factor beta,0.436490632,0.329302081
P48678,Lmna,Prelamin-A/C,0.44258113,0.23274482
P14206,Rpsa,40S ribosomal protein SA,0.44427473,0.228027596
Q8BYI9,Tnr,Tenascin-R,0.44473804,0.905185306
Q921M3,Sf3b3,Splicing factor 3B subunit 3,0.445022546,0.313268128
Q61990,Pcbp2,Poly(rC)-binding protein 2,0.44503642,0.499883191
Q99P88,Nup155,Nuclear pore complex protein Nup155,0.445352686,0.451392071
G5E924,Hnrnpl,"Isoform of Q8R081, Heterogeneous nuclear ribonucleoprotein L",0.446297826,0.166457111
E9QML5,Zfp638,"Isoform of Q61464, Zinc finger protein 638",0.447115118,0.665166025
Q9D2G2,Dlst,"2-oxoglutarate dehydrogenase complex, mitochondrial",0.447473973,0.217879538
Q9Z315,Sart1,U4/U6.U5 tri-snRNP-associated protein 1,0.449602913,0.272851596
Q60972,Rbbp4,Histone-binding protein RBBP4,0.452335446,0.153297458
B1AXZ4,Elavl2,"Isoform of Q60899, ELAV-like protein",0.455661844,0.341901858
Q9JIX0,Eny2,Transcription and mRNA export factor ENY2,0.458702592,0.364811039
Q9CR51,Atp6v1g1,V-type proton ATPase subunit G 1,0.460108634,0.77919321
P60824,Cirbp,Cold-inducible RNA-binding protein,0.461143746,0.200554742
O35344,Kpna3,Importin subunit alpha-4,0.462680562,0.216748744
Q6ZWZ7,Rpl17,"Isoform of Q9CPR4, 60S ribosomal protein L17",0.464876592,0.354850239
Q9CRA2,Pdlim5,"Isoform of Q8CI51, PDZ and LIM domain protein 5",0.465147408,0.52748468
D6RG95,Ythdc1,"Isoform of E9Q5K9, YTH domain-containing protein 1",0.466160268,0.349431286
Q8C2Q3,Rbm14,RNA-binding protein 14,0.466195377,0.263863209
P60879,Snap25,Synaptosomal-associated protein 25,0.466778375,0.579177199
P53986,Slc16a1,Monocarboxylate transporter 1,0.468016403,0.425210843
P20357,Map2,Microtubule-associated protein 2,0.468836107,0.461667215
Q91Z69,Srgap1,SLIT-ROBO Rho GTPase-activating protein 1,0.469659841,0.157821075
P47911,Rpl6,60S ribosomal protein L6,0.472939417,0.269963859
D3Z4B0,Srsf11,"Isoform of E9Q6E5, Protein Srsf11",0.473111324,0.492913751
E9Q9K5,Trdn,Triadin,0.475970293,0.412730869
D3YYW8,Rbm42,"Isoform of Q91V81, RNA-binding protein 42",0.477868408,1.104407103
P05977,Myl1,"Myosin light chain 1/3, skeletal muscle isoform",0.480061245,0.275723701
