Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00116240;IPI00930802,0.34,0.16,,,-0.05,4,4,4,12.6,5.58E-27,42.2,1,+,109486583,Serpinb8,O08800;Q3UFM1;Q8C871,Serpin B8;Putative uncharacterized protein
IPI00116247,-0.03,0.14,0.67,0.14,0.6,11,10,7,37.7,2.75E-45,42.5,13,+,33057182,Serpinb6b;mCG_17890,O08804;Q3TAM4,"NK13;Putative uncharacterized protein;Serine (Or cysteine) peptidase inhibitor, clade B, member 6b;Serine (Or cysteine) peptidase inhibitor, clade B, member 6b, isoform CRA_a"
IPI00116248;IPI00225349,-0.12,,,,,3,2,2,8,1.45E-08,38,14,+,56291128,Gmpr2;mCG_22065,Q99L27;Q542X2,GMP reductase 2;Guanosine 5'-monophosphate oxidoreductase 2;GMP reductase
IPI00116277,0,0.03,-0.01,0.11,-0.04,23,23,23,56.6,0.00E+00,58.1,11,+,22890626,Cct4;Cctd;RP24-143D17.2-001;mCG_8764,P80315;Q3TII0;Q3UJZ8;Q564F4,"T-complex protein 1 subunit delta;CCT-delta;A45;T-complex protein 1, delta subunit"
IPI00116279,-0.02,0.02,-0.04,0.01,0.04,22,22,18,42.1,0.00E+00,59.6,15,-,31520638,Cct5;Ccte;Kiaa0098,P80316,T-complex protein 1 subunit epsilon;CCT-epsilon
IPI00116281,-0.03,0.03,-0.01,-0.02,-0.03,24,24,22,71,0.00E+00,58,5,+,130293289,Cct6a;Cct6;Cctz;Cctz1;mCG_12435,P80317;Q3TI05;Q3TI62;Q3TIX8;Q3TW97;Q52KG9;Q8VEI1,"T-complex protein 1 subunit zeta;CCT-zeta;CCT-zeta-1;Chaperonin containing Tcp1, subunit 6a (Zeta);Putative uncharacterized protein;Chaperonin subunit 6a (Zeta);Cct6a protein"
IPI00116283,-0.04,0.05,-0.05,-0.02,-0.04,19,19,19,49.4,3.73E-248,60.6,3,+,88101061,Cct3;Cctg;mCG_8828,P80318;Q3TBM6;Q3U0I3;Q3U4U6;Q3UJP4;Q9R1U1,"T-complex protein 1 subunit gamma;CCT-gamma;Matricin;mTRiC-P5;Putative uncharacterized protein;Chaperonin containing Tcp1, subunit 3 (Gamma);Chaperonin subunit 3 (Gamma);Chaperonin containing TCP-1 gamma subunit"
IPI00116302;IPI00480398,-0.05,-0.06,-0.05,-0.11,-0.02,14,14,14,36,1.35E-201,38.1,2,-,154698173,Eif2s2;RP23-480H10.3-001;mCG_3686,Q99L45;Q3ULL5;Q9CS47,"Eukaryotic translation initiation factor 2 subunit 2;Eukaryotic translation initiation factor 2 subunit beta;Eif2s2 protein;Eukaryotic translation initiation factor 2 subunit 2 (Beta);Putative uncharacterized protein;Eukaryotic translation initiation factor 2, subunit 2 (Beta)"
IPI00116308,-0.01,0.04,-0.08,0.09,-0.09,13,13,13,41.2,5.84E-120,41.7,15,-,81195475,St13;Fam10a1;Hip,Q99L47;Q3TGW8;Q3U3N7;Q3U8D2;Q3U9V1,Hsc70-interacting protein;Protein ST13 homolog;Protein FAM10A1;Putative uncharacterized protein
IPI00116331;IPI00399631,-0.03,0,-0.01,0.06,0.08,8,8,8,40,6.02E-90,34.3,10,-,80506820,Sgta;Sgt;mCG_12152,Q8BJU0-1;Q8BJU0;Q8BJU0-2;Q3TN35,"Small glutamine-rich tetratricopeptide repeat-containing protein alpha;Alpha-SGT;Putative uncharacterized protein;Small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha, isoform CRA_b"
IPI00116339,0.11,0.33,0.07,,1.17,3,2,2,16.3,1.36E-17,16.9,17,-,35307937,Aif1;Iba1;mCG_15923;Aif-1;iba1,O70200;A1E2H8;Q4FJL9;Q7TSW1;Q9EQW9,"Allograft inflammatory factor 1;Ionized calcium-binding adapter molecule 1;Ionized calcium binding adapter molecule 1;Aif1 protein;Allograft inflammatory factor 1, isoform CRA_a"
IPI00116356;IPI00622811;IPI00751634,0.03,-0.1,-0.05,0.08,0.05,22,22,22,65.7,0.00E+00,49.7,16,+,20535577,Ap2m1;Clapm1;mKIAA0109;mCG_128452,P84091;Q3TH69;Q3UCW9;Q5FWI9;Q6A0C9;Q3TWV4,"AP-2 complex subunit mu-1;Mu2-adaptin;AP-2 mu-2 chain;Plasma membrane adaptor AP-2 50 kDa protein;Clathrin assembly protein complex 2 medium chain;Clathrin coat assembly protein AP50;Clathrin coat-associated protein AP50;Putative uncharacterized protein;Adaptor protein complex AP-2, mu1;MKIAA0109 protein;Adaptor protein complex AP-2, mu1, isoform CRA_a"
IPI00116360,-0.04,0,0.02,,-0.12,9,9,9,17.7,1.06E-38,60.1,1,-,145602737,Trove2;Ssa2;mCG_19761;Ro,O08848;Q3TJ75;Q80W12;Q8R562,"60 kDa SS-A/Ro ribonucleoprotein;TROVE domain family member 2;Putative uncharacterized protein;TROVE domain family, member 2;Ribonucleoprotein"
IPI00116394;IPI00751032;IPI00751937;IPI00471005;IPI00475210,0.17,-0.15,0.06,,,4,4,4,4.8,2.73E-49,118.6,2,-,168459938,Atp9a;RP23-156F1.1-002;RP23-156F1.1-003;mCG_20648;RP23-156F1.1-001,O70228;A2AQC3;Q505G9;Q6DI68;Q8C288;Q8C4G3,"Probable phospholipid-transporting ATPase IIA;ATPase class II type 9A;ATPase, class II, type 9A;Atp9a protein;Putative uncharacterized protein;ATPase, class II, type 9A, isoform CRA_c"
IPI00116432;IPI00858095;IPI00857935;IPI00459884,-0.03,-0.27,-0.81,,-0.62,14,14,14,35.9,1.91E-93,59.9,1,-,164759693,Fmo1;Fmo-1,P50285,Dimethylaniline monooxygenase [N-oxide-forming] 1;Hepatic flavin-containing monooxygenase 1;Dimethylaniline oxidase 1
IPI00116442;IPI00875101;IPI00885518,-0.07,0.24,-0.11,,,7,5,5,13.6,1.74E-42,75.2,17,+,56219080,Hdgfrp2,Q3UMU9-3;Q3UMU9;Q3UMU9-1;Q3UMU9-2,Hepatoma-derived growth factor-related protein 2
IPI00116462,-0.05,0.1,-0.25,,0.65,11,11,11,7.6,1.19E-77,240.1,10,-,18307817,Arfgef3;Big3;D10Bwg1379e;Kiaa1244,Q3UGY8,Brefeldin A-inhibited guanine nucleotide-exchange protein 3
IPI00116498;IPI00853851;IPI00473203;IPI00776377;IPI00775847,-0.05,-0.1,-0.05,0.02,0.04,18,18,16,81.2,0.00E+00,27.8,15,-,36700525,Ywhaz,P63101;Q3UA58,14-3-3 protein zeta/delta;Protein kinase C inhibitor protein 1;SEZ-2;Putative uncharacterized protein
IPI00116554;IPI00316479,0,-0.02,0.05,0.02,0.44,15,15,15,30.5,3.30E-66,68.5,5,-,121580542,Ptpn11;PTP,P35235-1;P35235;P35235-2;Q05C78;Q63848;Q9CT18,Tyrosine-protein phosphatase non-receptor type 11;Protein-tyrosine phosphatase SYP;SH-PTP2;Ptpn11 protein;Tissue-specific protein tyrosine phosphatase;Putative uncharacterized protein
IPI00116558,0.28,0.5,-0.02,,0.31,7,6,6,60.7,5.10E-129,21.3,7,-,109387637,Rhog;Arhg;Sid10750;mCG_23419,P84096;B2KKU6;Q3UDZ1,"Rho-related GTP-binding protein RhoG;Sid 10750;Ras homolog gene family member G;Putative uncharacterized protein;Ras homolog gene family, member G"
IPI00116563;IPI00849548;IPI00458976;IPI00649007;IPI00648335,-0.02,0.08,-0.05,0.1,-0.03,5,4,3,34.1,4.35E-72,25.3,10,-,128114933,Rab5b;mCG_18696;Rab5B,P61021;B2RPS1;Q0PD56;Q8C458,"Ras-related protein Rab-5B;Rab5b protein;RAB5B, member RAS oncogene family;RAB5B, member RAS oncogene family, isoform CRA_a;Rab5B;Putative uncharacterized protein;RAB5B, member RAS oncogene family, isoform CRA_b"
IPI00116589,,,,,,3,3,2,8.6,4.59E-19,67.7,19,+,60965652,Grk5;Gprk5,Q8VEB1;Q3TST4,G protein-coupled receptor kinase 5;G protein-coupled receptor kinase GRK5;Putative uncharacterized protein
IPI00116591;IPI00331251;IPI00885762,0.04,0.37,0.14,0.12,0.03,12,12,12,48.3,2.07E-270,44.9,5,-,115560309,Acads;mCG_19231,Q07417;Q6LCR2;Q91W85,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial;Butyryl-CoA dehydrogenase;Short-chain acyl-CoA dehydrogenase;Acyl-Coenzyme A dehydrogenase, short chain;Putative uncharacterized protein;Acyl-Coenzyme A dehydrogenase, short chain, isoform CRA_a"
IPI00116645;IPI00228258,,,,-0.21,-0.07,4,3,3,16.8,4.21E-20,33.4,9,+,21903725,Cnn1;mCG_22833,Q08091-1;Q08091;B2RSH3;Q8CBQ2;Q08091-2,"Calponin-1;Calponin H1, smooth muscle;Basic calponin;Calponin 1;Calponin 1, isoform CRA_b;Putative uncharacterized protein"
IPI00116649;IPI00830538,,-0.02,,,,2,1,1,7.2,3.61E-05,33.2,10,+,79451368,Cnn2;mCG_13425,Q08093;Q543F3;Q922F8,"Calponin-2;Calponin H2, smooth muscle;Neutral calponin;Putative uncharacterized protein;Calponin 2;Cnn2 protein"
IPI00116668;IPI00857189;IPI00857352,-0.04,0.15,-0.05,-0.18,0.03,10,10,10,25.7,5.39E-52,51.4,7,+,112885183,Ilk,O55222,Integrin-linked protein kinase
IPI00116688;IPI00895100,,,,,,3,2,1,20.5,3.27E-20,24.4,9,-,21711954,Rab3d;Rab3D;mCG_14029,P35276;Q543Q4;Q8BP17,"Ras-related protein Rab-3D;Putative uncharacterized protein;Rab3D;RAB3D, member RAS oncogene family, isoform CRA_a"
IPI00116697;IPI00230011;IPI00757748;IPI00458129;IPI00850244,-0.05,0,-0.04,-0.05,,5,2,2,32.7,9.29E-62,23.6,7,+,107755924,Rab6a;Rab6;MNCb-1660;Rab6A;mCG_2848,P35279-1;P35279;Q0PD54;P35279-2;Q3U4W5,"Ras-related protein Rab-6A;Rab6A;RAB6, member RAS oncogene family, isoform CRA_a;Putative uncharacterized protein;RAB6, member RAS oncogene family, isoform CRA_c"
IPI00116705;IPI00473910;IPI00553439,0.05,0,0.39,0.1,0.2,9,9,9,81.8,5.41E-145,14.7,3,-,10204347,Fabp4;Ap2;mCG_1645,P04117;Q542H7,"Fatty acid-binding protein, adipocyte;A-FABP;Fatty acid-binding protein 4;Adipocyte lipid-binding protein;P2 adipocyte protein;Myelin P2 protein homolog;3T3-L1 lipid-binding protein;Protein 422;P15;Fabp4 protein;Putative uncharacterized protein;Fatty acid binding protein 4, adipocyte"
IPI00116712,,0.55,,,,1,1,1,4.3,3.26E-24,30.3,17,+,34335313,Psmb8;Lmp7;Mc13,P28063,Proteasome subunit beta type-8;Proteasome subunit beta-5i;Proteasome component C13;Macropain subunit C13;Multicatalytic endopeptidase complex subunit C13
IPI00116713;IPI00654371;IPI00928434;IPI00652536,0,-0.04,,,0.61,5,5,5,8.9,1.39E-10,67.8,5,-,107978042,Glmn;Fap48,Q8BZM1;Q3TMW7;Q3T9A5,Glomulin;FKBP-associated protein;FK506-binding protein-associated protein;Putative uncharacterized protein
IPI00116729;IPI00751807;IPI00886032,0.04,,,,0.15,3,2,2,17.5,1.15E-07,21.8,2,+,173485346,Rab22a;Rab22;Rab22A;RP23-292G16.1-001;mCG_13765;RP23-292G16.1-003,P35285;Q0PD34;Q9CXG2;A2ARZ7,"Ras-related protein Rab-22A;Rab-14;RAB22A, member RAS oncogene family;Rab22A;RAB22A, member RAS oncogene family, isoform CRA_a;Putative uncharacterized protein;RAB22A, member RAS oncogene family, isoform CRA_c"
IPI00116734;IPI00621963,0,0.05,0.1,0.01,,7,7,7,34.6,6.72E-54,26.7,1,+,33776741,Rab23;mCG_10410,P35288;Q0PD32;Q9D4I9,"Ras-related protein Rab-23;Rab-15;Rab23;Putative uncharacterized protein;RAB23, member RAS oncogene family, isoform CRA_a"
IPI00116741;IPI00850219,-0.4,-0.13,,,,6,6,6,7.3,2.06E-59,109.7,10,-,121024436,Xpot,Q9CRT8,Exportin-T;tRNA exportin;Exportin(tRNA)
IPI00116748,0.11,0.09,-0.03,-0.08,-0.18,14,14,14,60.3,0.00E+00,40.6,1,-,94336300,Ndufa10,Q99LC3,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH-ubiquinone oxidoreductase 42 kDa subunit;Complex I-42kD"
IPI00116753;IPI00848750;IPI00849166,-0.02,0.15,0.06,0.02,-0.07,17,17,17,73.6,0.00E+00,35,9,-,55302329,Etfa;RP23-231K10.3-001;mCG_129031,Q99LC5;B1B1B4,"Electron transfer flavoprotein subunit alpha, mitochondrial;Electron transferring flavoprotein, alpha polypeptide"
IPI00116760,,0.74,,,,2,2,2,18.2,5.30E-27,23.1,13,-,55421246,Rab24;mCG_3181,P35290;Q0PD31;Q8K133,"Ras-related protein Rab-24;Rab-16;Rab24;RAB24, member RAS oncogene family;Rab24 protein"
IPI00116770,-0.01,-0.02,-0.07,0.13,0.13,7,7,7,39.3,6.51E-96,23,18,+,6765211,Rab18;mCG_15535,P35293;Q0PD38;Q8CEH2,"Ras-related protein Rab-18;Rab18;RAB18, member RAS oncogene family, isoform CRA_a;Putative uncharacterized protein"
IPI00116804;IPI00886198;IPI00885400,0.18,,,,,2,2,2,9.7,2.93E-47,38.9,12,+,86560468,Eif2b2,Q99LD9;Q8BK57,Translation initiation factor eIF-2B subunit beta;eIF-2B GDP-GTP exchange factor subunit beta;Putative uncharacterized protein
IPI00116825,0.07,0.06,-0.02,0.29,-0.02,12,12,12,25,9.65E-88,71.8,5,-,24071161,Abcf2,Q99LE6;Q3UVI9,ATP-binding cassette sub-family F member 2;Putative uncharacterized protein
IPI00116843,,,0.92,,-0.25,5,5,5,12.4,1.56E-16,51.9,MT,+,10167,Mtnd4;mt-Nd4;Nd4;ND4;ENSMUSG00000065947;ENSMUSG00000064363,P03911;A9UIX0;Q3UPP3;Q3UQ59;Q7JCY6;Q9ME04,NADH-ubiquinone oxidoreductase chain 4;NADH dehydrogenase subunit 4;Putative uncharacterized protein
IPI00116850;IPI00928035,-0.05,0.02,0.07,-0.06,0.1,15,15,15,44.2,3.72E-111,55.2,10,-,85401382,D10Wsu52e,Q99LF4;Q3TJ01,UPF0027 protein C22orf28 homolog;Putative uncharacterized protein
IPI00116877,0.01,0.01,0,0.11,-0.07,17,17,13,22.7,8.29E-103,101.4,8,+,87560814,Tnpo2,Q99LG2;Q3U1S0;Q3U316,Transportin-2;Karyopherin beta-2b;Putative uncharacterized protein
IPI00116896,0,0,-0.11,-0.05,-0.2,4,4,4,52.2,3.23E-28,7.8,MT,+,7766,Mtatp8;Atp8;mt-Atp8;mt-Atp6;ATP8;ATPase 8;ATPase8,P03930;A3R404;Q7JCZ0,ATP synthase protein 8;F-ATPase subunit 8;A6L
IPI00116929;IPI00473978;IPI00656237,-0.12,0.07,-0.33,-0.1,0.06,6,6,6,9.5,6.54E-49,82.9,2,+,104430680,Cstf3;RP24-334I20.1-001;mCG_130694,Q99LI7;A2AQH9;Q3TV86;Q3TXN6,"Cleavage stimulation factor 77 kDa subunit;CF-1 77 kDa subunit;Cleavage stimulation factor, 3' pre-RNA, subunit 3;Cleavage stimulation factor, 3' pre-RNA, subunit 3, isoform CRA_a;Putative uncharacterized protein"
IPI00116966;IPI00857879;IPI00857568;IPI00858226,-0.05,0.18,-0.15,,,10,10,10,21.9,6.55E-35,64.3,6,-,7625169,Asns,Q61024;Q3TIA9;Q3TV20,Asparagine synthetase [glutamine-hydrolyzing];Glutamine-dependent asparagine synthetase;Putative uncharacterized protein
IPI00116968;IPI00408178;IPI00461029,0.11,-0.12,,,,4,4,4,3.8,4.55E-07,158.5,1,-,13129186,Ncoa2;Grip1;Tif2;GRIP1,Q61026;A6P3E3;Q7TPU7;Q8BN74;Q8C961;Q8CBM5;Q8CE59;Q8CAG7,Nuclear receptor coactivator 2;Transcriptional intermediary factor 2;Glucocorticoid receptor-interacting protein 1;Glucocorticoid receptor interacting protein 1;Ncoa2 protein;Putative uncharacterized protein
IPI00117011;IPI00944046,0.19,-0.21,,,1.18,3,3,3,6.2,1.17E-05,54.2,16,+,36935091,Hcls1;Hs1,P49710;Q542G0;Q3V192;Q8CA06;Q922I8,Hematopoietic lineage cell-specific protein;Hematopoietic cell-specific LYN substrate 1;LckBP1;Putative uncharacterized protein;Hematopoietic cell specific Lyn substrate 1
IPI00117038;IPI00458189,0.07,0.21,-0.37,,,4,4,4,30.7,4.00E-29,18.6,10,+,87553817,Pmch;Mch;mCG_16778,P56942;Q80ZR6;Q9D220,Pro-MCH;Neuropeptide-glycine-glutamic acid;Neuropeptide-glutamic acid-isoleucine;Melanin-concentrating hormone;Pro-melanin-concentrating hormone;Putative uncharacterized protein
IPI00117039;IPI00914726,,-0.24,,,,4,2,2,4.7,5.38E-14,128.2,1,+,158489180,Abl2;Arg;arg,Q4JIM5;B2RQ57;B7ZMZ2;Q61055;Q99P28,"Tyrosine-protein kinase ABL2;Abelson murine leukemia viral oncogene homolog 2;Abelson-related gene protein;Tyrosine kinase ARG;Abl2 protein;V-abl Abelson murine leukemia viral oncogene homolog 2 (Arg, Abelson-related gene);Protein tyrosine kinase;ARG"
IPI00117042,0.38,1.3,1.28,-0.22,0.3,12,10,4,45.1,1.04E-114,49.9,11,-,102748661,Gfap,P03995-1;P03995,Glial fibrillary acidic protein
IPI00117043;IPI00404804;IPI00266875;IPI00885994;IPI00885500,,,,,0.08,15,1,1,72.4,0.00E+00,42,19;6,-,34316014,Acta2;Actsa;Actvs;Actg2;Acta3;Actsg;mCG_133573,P62737;Q3U122;P63268;Q3UJ36;Q61852,"Actin, aortic smooth muscle;Alpha-actin-2;Putative uncharacterized protein;Actin, gamma-enteric smooth muscle;Smooth muscle gamma-actin;Gamma-2-actin;Alpha-actin-3;Actin, gamma 2, smooth muscle, enteric, isoform CRA_a"
IPI00117059,,,,0.04,,2,2,2,3.4,1.62E-04,78.1,16,+,20517137,Dvl3,Q61062,Segment polarity protein dishevelled homolog DVL-3;DSH homolog 3
IPI00117063;IPI00830623;IPI00474942;IPI00882153;IPI00621195,-0.24,-0.07,0.1,-0.04,0.06,6,6,4,13.5,2.10E-63,52.7,7,+,135111004,Fus,P56959;Q3UK30;Q3USY4,RNA-binding protein FUS;Protein pigpen;Putative uncharacterized protein
IPI00117072,-0.16,-0.09,0.02,0.28,0.29,12,12,12,32.7,2.61E-113,58.7,5,-,31505043,Ppm1g;Fin13;Ppm1c,Q61074,Protein phosphatase 1G;Protein phosphatase 2C isoform gamma;Protein phosphatase magnesium-dependent 1 gamma;Protein phosphatase 1C;Fibroblast growth factor-inducible protein 13
IPI00117083,0.09,0.04,-0.05,0.02,0.01,12,12,12,62.7,5.74E-106,24.3,5,+,36807839,Grpel1,Q99LP6;Q3UTB8,"GrpE protein homolog 1, mitochondrial;Mt-GrpE#1;GrpE protein homolog"
IPI00117087,-0.05,-0.01,-0.04,0.07,0.08,16,16,16,47.2,7.77E-143,44.6,9,-,20943876,Cdc37,Q61081,Hsp90 co-chaperone Cdc37;Hsp90 chaperone protein kinase-targeting subunit;p50Cdc37
IPI00117104;IPI00882331,0.21,0.09,-0.1,-0.21,-0.1,4,4,4,11.8,1.47E-19,41.9,5,+,65782780,Lias;Lip1,Q99M04;Q8CCZ4,"Lipoyl synthase, mitochondrial;Lipoic acid synthase;Lipoate synthase;Putative uncharacterized protein"
IPI00117106;IPI00874729;IPI00885271;IPI00919213;IPI00885359,0.12,-0.02,-0.13,0.07,0.04,9,9,9,23.7,3.74E-47,50.5,10,-,5891401,,A6H630-1;A6H630;A6H630-2;A6H630-4,UPF0364 protein C6orf211 homolog
IPI00117109,0.03,,,0.34,0.12,1,1,1,23,1.13E-03,8.4,1,-,37477171,,Q99M07,Uncharacterized protein C2orf64 homolog
IPI00117159;IPI00938514;IPI00131170;IPI00649746;IPI00895446,-0.48,0.02,,0.06,,4,4,3,5.8,9.29E-11,81.3,8,-,73292078,Pik3r2;mCG_14779,O08908;Q3UK33;Q5U3K7,"Phosphatidylinositol 3-kinase regulatory subunit beta;PI3-kinase p85 subunit beta;PtdIns-3-kinase p85-beta;Putative uncharacterized protein;Phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (P85 beta)"
IPI00117167;IPI00759948,-0.04,0.34,0.15,-0.25,-0.04,20,20,13,30.3,1.26E-158,85.9,2,+,35111950,Gsn;Gsb;RP23-186B18.2-001;mCG_21267;RP23-186B18.2-004,P13020-1;P13020;A2AL35;Q3TGJ9;Q3U9Q8;Q3UCW8;P13020-2;A6PWS5;Q6PAC1,"Gelsolin;Actin-depolymerizing factor;Brevin;Gelsolin, isoform CRA_b;Putative uncharacterized protein;Gsn protein;Gelsolin, isoform CRA_c"
IPI00117178;IPI00880643,-0.04,0.02,-0.04,,,5,5,5,22.4,1.38E-64,37.6,19,-,4114446,Aip,O08915,AH receptor-interacting protein;Aryl-hydrocarbon receptor-interacting protein
IPI00117181,0.11,0.03,0.07,0.14,0,11,11,11,33.4,1.95E-145,47.5,17,+,35960296,Flot1;mCG_19908,O08917;Q3TJS0;Q540I4;Q6Y9S2,Flotillin-1;Putative uncharacterized protein;Lipid raft protein flotillin-1;Flotillin 1
IPI00117214;IPI00649973;IPI00649718,0.03,0.14,-0.06,0.03,0.01,22,22,22,52.4,0.00E+00,54.2,4,+,59594463,Hsdl2;RP23-6E12.1-002,Q2TPA8;B1AX78;Q99JH2,Hydroxysteroid dehydrogenase-like protein 2;Hydroxysteroid dehydrogenase like 2;Putative uncharacterized protein
IPI00117229;IPI00461237;IPI00461238,0.06,0.03,-0.26,0.06,0.08,10,9,9,9.2,4.40E-20,136.5,5,+,122161618,Atxn2;Atx2;Sca2,O70305-1;O70305;Q3UX07;O70305-2;Q3UX51;O70305-3,Ataxin-2;Spinocerebellar ataxia type 2 protein homolog;Putative uncharacterized protein
IPI00117252;IPI00750566;IPI00229324,-0.12,-0.05,,,,6,5,5,14.7,1.36E-42,60.5,2,+,3201520,Nmt2;RP23-167G19.1-001;mCG_17292;RP23-167G19.1-003;RP23-167G19.1-002,O70311;Q3THR4;A2AJH3;Q8CFK1,Glycylpeptide N-tetradecanoyltransferase 2;Peptide N-myristoyltransferase 2;Myristoyl-CoA:protein N-myristoyltransferase 2;Type II N-myristoyltransferase;Glycylpeptide N-tetradecanoyltransferase
IPI00117264;IPI00895414;IPI00649406;IPI00895518;IPI00649794;IPI00894769;IPI00650052;IPI00648764;IPI00894598;IPI00894710,-0.02,0.05,0.06,0.05,-0.05,13,13,13,91.5,0.00E+00,20,4,-,150271242,Park7;RP23-272N19.5-001;RP23-272N19.5-004;RP23-272N19.5-005,Q99LX0;B2KFH8;A2A813;B2KFH7;A2A815;B2KFH9,"Protein DJ-1;Parkinson disease protein 7 homolog;Parkinson disease (Autosomal recessive, early onset) 7"
IPI00117274;IPI00807817;IPI00475204;IPI00895046;IPI00653379,,-0.92,,,,7,7,7,6.3,2.75E-10,211.7,11,-,34126864,Dock2;RP23-32J15.2-001;mKIAA0209;RP23-32J15.2-002,Q8C3J5;Q5SRI4;Q6A0A3;Q5SRI3,Dedicator of cytokinesis protein 2;Protein Hch;Dedicator of cyto-kinesis 2;MKIAA0209 protein
IPI00117281;IPI00660262;IPI00227783;IPI00463220,0.09,0.34,0.22,0.17,0.05,7,7,7,36.5,2.19E-62,22.2,10,+,79516233,Gpx4;GPx4;Hnrpll;PHGPx,O70325-1;O70325;Q3TIF2;Q5XJZ8;O70325-2;Q3TI34;Q76LV0;Q91XR9;Q8K4U7,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;GPX-4;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, nuclear"
IPI00117300;IPI00649019,0.11,0.12,-0.04,-0.07,-0.19,8,8,8,72.6,1.90E-55,12.6,4,-,123389953,Ndufs5;RP23-247I20.4-002,Q99LY9;B1ARW4,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH-ubiquinone oxidoreductase 15 kDa subunit;Complex I-15 kDa;NADH dehydrogenase (Ubiquinone) Fe-S protein 5
IPI00117312,0.08,0.03,-0.06,-0.05,-0.18,23,23,23,83.5,0.00E+00,47.4,8,-,98388036,Got2;Got-2,P05202,"Aspartate aminotransferase, mitochondrial;Transaminase A;Glutamate oxaloacetate transaminase 2;Fatty acid-binding protein;FABP-1;FABPpm"
IPI00117325;IPI00754021;IPI00117322;IPI00896082;IPI00275456;IPI00856811;IPI00896045;IPI00857551;IPI00753550;IPI00856273;IPI00856663,0.15,0.21,,,,2,2,2,4,9.81E-05,66.1,6,+,17643947,St7;Lrp12,Q99M96-1;Q99M96;Q99M96-2;Q99M96-3;Q99M95;Q99M96-5;Q99M96-8;Q99M96-6;Q99M96-4;Q99M96-9;Q99M96-7,Suppressor of tumorigenicity protein 7;ST7 protein form1 splice variant b
IPI00117332,,,,,,4,4,4,11.4,3.82E-09,47.1,5,+,145306771,Nptx2,O70340;Q3UYB9,Neuronal pentraxin-2;Neuronal pentraxin II;Putative uncharacterized protein
IPI00117350,0.04,0,0,0.04,0.1,15,15,5,55.8,0.00E+00,49.9,1,-,75212126,Tuba4a;Tuba4,P68368,Tubulin alpha-4A chain;Tubulin alpha-4 chain;Alpha-tubulin 4;Alpha-tubulin isotype M-alpha-4
IPI00117352,-0.01,,-0.12,,0.21,11,2,2,57.7,0.00E+00,49.7,17,-,35971753,Tubb5,P99024;Q80ZV2,Tubulin beta-5 chain;Tubb5 protein
IPI00117357;IPI00881597,0.24,0.03,-0.21,,-0.17,7,7,7,39.4,7.26E-28,23.9,9,-,99287935,Mras;Xras;mCG_18105,O08989;Q3TPX5,"Ras-related protein M-Ras;Ras-related protein R-Ras3;Muscle and microspikes Ras;X-Ras;Putative uncharacterized protein;Muscle and microspikes RAS, isoform CRA_a"
IPI00117375;IPI00648280;IPI00649904;IPI00647998;IPI00850884;IPI00649618;IPI00649387,0.17,-0.07,,1.12,,5,5,5,15.1,1.98E-09,32.4,4,+,6292856,Sdcbp;RP23-89L15.4-002;mCG_4375,O08992;O88601;Q3TET7;Q3TWV1;Q3TXC7;Q3U6J5;Q3U6Q3;Q3U724;Q3U902;Q3UB97;Q3UBE4;Q3TMX0;Q3UC68,"Syntenin-1;Syndecan-binding protein 1;Scaffold protein Pbp1;Syntenin;Putative uncharacterized protein;Syndecan binding protein;MCG4375, isoform CRA_b"
IPI00117379,-0.1,0.08,0.06,0.01,0.13,5,5,5,92.6,1.66E-108,7.3,11,-,55260143,Atox1,O08997,Copper transport protein ATOX1;Metal transport protein ATX1
IPI00117454;IPI00473528;IPI00649454,-0.12,0.21,-0.06,0.38,0.22,18,18,18,27.3,5.44E-185,98.5,4,+,108952906,Eps15;RP23-414M10.3-001,P42567-1;P42567;Q5JC28;Q80ZL3,Epidermal growth factor receptor substrate 15;Protein AF-1p;Epidermal growth factor receptor pathway substrate 15 isoform B;Epidermal growth factor receptor pathway substrate 15
IPI00117569;IPI00762542;IPI00663929;IPI00668534,-0.01,-0.01,-0.01,0,0.1,9,9,4,57.2,1.33E-48,19.4,7,-,52377757,Rps11;mCG_23457,Q9DB79;P62281;Q3UC02;Q9CW75;Q9D0P6,Putative uncharacterized protein;40S ribosomal protein S11;MCG23457
IPI00117570;IPI00856807;IPI00856413;IPI00856658,-0.26,0.43,,,0.04,8,8,8,37.9,3.86E-54,34.9,7,+,59117385,Gas2;Gas-2,P11862;Q9D699,Growth arrest-specific protein 2;Putative uncharacterized protein
