Accession,Significance (-10lgP),Coverage (%),#Peptides,#Unique,PTM,Adult_1 Area,Adult_2 Area,Adult_3 Area,Adult_4 Area,Old_1 Area,Old_2 Area,Old_3 Area,Old_4 Area,Sample Profile (Ratio),Adult Area,Old Area,Group Profile (Ratio),Avg. Mass,Description
Q6PDM2|SRSF1_MOUSE,11.43,8,2,2,,1.14E+05,6.88E+04,1.34E+05,8.66E+04,1.01E+05,2.32E+05,8.18E+05,8.18E+04,1.32:0.80:1.55:1.00:1.17:2.69:9.45:0.94,1.01E+05,3.08E+05,1.00:3.05,27745,Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3
P63328|PP2BA_MOUSE,11.42,11,6,2,,8.46E+05,8.54E+05,8.65E+05,8.26E+05,1.16E+06,1.15E+06,1.35E+06,1.20E+06,1.02:1.03:1.05:1.00:1.40:1.40:1.63:1.46,8.48E+05,1.22E+06,1.00:1.43,58644,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca PE=1 SV=1
P58774|TPM2_MOUSE,11.33,86,34,17,N-ethylmaleimide on cysteines; NEM_LysineArginine,2.17E+06,9.94E+05,8.50E+05,2.06E+06,3.00E+05,3.23E+05,2.82E+05,1.29E+06,1.05:0.48:0.41:1.00:0.15:0.16:0.14:0.63,1.57E+06,5.74E+05,1.00:0.37,32837,Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1
P63101|1433Z_MOUSE,11.31,81,21,13,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.83E+06,2.99E+06,2.52E+06,2.91E+06,2.98E+06,3.27E+06,4.87E+06,3.51E+06,0.97:1.03:0.87:1.00:1.02:1.12:1.67:1.21,2.81E+06,3.66E+06,1.00:1.30,27771,14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1
Q9D6F9|TBB4_MOUSE,11.31,50,18,2,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.12E+06,1.62E+06,1.25E+06,1.32E+06,1.00E+06,9.61E+05,7.23E+05,6.95E+05,0.85:1.23:0.95:1.00:0.76:0.73:0.55:0.52,1.33E+06,8.63E+05,1.00:0.65,49586,Tubulin beta-4 chain OS=Mus musculus GN=Tubb4 PE=1 SV=3
Q7TSJ2|MAP6_MOUSE,11.28,14,9,9,NEM_LysineArginine,8.39E+05,9.50E+05,8.56E+05,9.73E+05,6.45E+05,7.02E+05,6.02E+05,6.06E+05,0.86:0.98:0.88:1.00:0.66:0.72:0.62:0.62,9.05E+05,6.39E+05,1.00:0.71,96450,Microtubule-associated protein 6 OS=Mus musculus GN=Map6 PE=1 SV=2
Q80X19|COEA1_MOUSE,11.16,4,5,5,,1.43E+05,1.79E+05,2.23E+05,1.72E+05,1.81E+05,2.45E+05,5.56E+05,1.90E+05,0.83:1.04:1.30:1.00:1.05:1.43:3.23:1.11,1.75E+05,2.93E+05,1.00:1.67,193011,Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2
P06151|LDHA_MOUSE,11.12,21,7,5,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.65E+05,5.10E+05,4.49E+05,5.04E+05,4.32E+05,6.13E+05,1.45E+06,6.34E+05,1.12:1.01:0.89:1.00:0.86:1.22:2.87:1.26,5.07E+05,7.81E+05,1.00:1.54,36499,L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3
Q8BHN3|GANAB_MOUSE,11.11,12,11,11,,2.50E+05,3.71E+05,2.47E+05,3.73E+05,2.65E+05,4.97E+05,1.24E+06,1.80E+05,0.67:0.99:0.66:1.00:0.71:1.33:3.32:0.48,3.10E+05,5.45E+05,1.00:1.76,106911,Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab PE=1 SV=1
P13412|TNNI2_MOUSE,11.02,24,6,5,,1.26E+06,1.84E+05,6.77E+04,7.38E+05,0,0,6.86E+04,8.78E+05,1.71:0.25:0.09:1.00:0:0:0.09:1.19,5.63E+05,2.37E+05,1.00:0.42,21358,Troponin I  fast skeletal muscle OS=Mus musculus GN=Tnni2 PE=1 SV=2
Q9JKF1|IQGA1_MOUSE,10.98,4,3,3,,0,0,0,0,2.90E+04,2.98E+04,5.91E+05,1.73E+04,0:0:0:0:1.00:1.03:20.39:0.60,0,1.67E+05,00:01.0,188755,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=1
P70296|PEBP1_MOUSE,10.97,63,9,9,N-ethylmaleimide on cysteines; NEM_LysineArginine,2.99E+06,2.88E+06,2.24E+06,2.77E+06,2.54E+06,3.41E+06,5.02E+06,4.46E+06,1.08:1.04:0.81:1.00:0.91:1.23:1.81:1.61,2.72E+06,3.86E+06,1.00:1.42,20830,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3
Q9QYE9|PKHB1_MOUSE,10.9,11,2,2,,2.41E+05,2.49E+05,2.94E+05,2.05E+05,4.93E+05,5.37E+05,4.16E+05,5.75E+05,1.17:1.21:1.43:1.00:2.40:2.62:2.03:2.80,2.53E+05,5.06E+05,1.00:2.00,27340,Pleckstrin homology domain-containing family B member 1 OS=Mus musculus GN=Plekhb1 PE=1 SV=1
P60710|ACTB_MOUSE,10.82,76,28,1,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.55E+06,1.92E+06,1.97E+06,1.84E+06,2.39E+06,2.35E+06,4.68E+06,2.76E+06,0.84:1.05:1.07:1.00:1.30:1.28:2.54:1.50,1.82E+06,3.07E+06,1.00:1.69,41737,Actin  cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1
Q61879|MYH10_MOUSE,10.78,2,6,1,N-ethylmaleimide on cysteines,4.30E+06,3.45E+06,4.43E+06,3.45E+06,5.92E+06,6.92E+06,8.27E+06,9.89E+06,1.24:1.00:1.28:1.00:1.72:2.00:2.39:2.86,3.91E+06,7.75E+06,1.00:1.98,228994,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2
Q9D1X0|NOL3_MOUSE,10.73,9,1,1,,1.75E+05,3.45E+05,2.94E+05,2.20E+05,4.03E+05,3.50E+05,6.96E+05,3.41E+05,0.80:1.57:1.33:1.00:1.83:1.59:3.16:1.55,2.59E+05,4.47E+05,1.00:1.73,24568,Nucleolar protein 3 OS=Mus musculus GN=Nol3 PE=1 SV=1
P08551|NFL_MOUSE,10.71,73,51,44,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.60E+08,1.99E+08,1.66E+08,1.90E+08,1.85E+08,1.62E+08,1.03E+08,1.26E+08,0.84:1.05:0.88:1.00:0.98:0.85:0.54:0.66,1.79E+08,1.44E+08,1.00:0.80,61509,Neurofilament light polypeptide OS=Mus musculus GN=Nefl PE=1 SV=5
P97450|ATP5J_MOUSE,10.65,18,1,1,,3.06E+05,2.82E+05,1.61E+05,4.18E+05,7.01E+04,1.16E+05,1.84E+05,8.50E+04,0.73:0.68:0.39:1.00:0.17:0.28:0.44:0.20,2.92E+05,1.07E+05,1.00:0.37,12496,ATP synthase-coupling factor 6  mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1
Q7TMM9|TBB2A_MOUSE,10.64,62,24,2,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.94E+06,3.88E+06,3.28E+06,3.55E+06,2.87E+06,2.40E+06,2.00E+06,1.97E+06,0.83:1.09:0.92:1.00:0.81:0.67:0.56:0.55,3.41E+06,2.31E+06,1.00:0.68,49907,Tubulin beta-2A chain OS=Mus musculus GN=Tubb2a PE=1 SV=1
Q91V12|BACH_MOUSE,10.47,4,2,2,N-ethylmaleimide on cysteines; NEM_LysineArginine,4.45E+05,4.36E+05,4.32E+05,4.90E+05,2.07E+05,2.65E+05,1.61E+05,1.54E+05,0.91:0.89:0.88:1.00:0.42:0.54:0.33:0.31,4.51E+05,1.97E+05,1.00:0.44,42537,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2
Q9JI46|NUDT3_MOUSE,10.3,20,2,2,,3.18E+05,4.04E+05,3.68E+05,3.05E+05,4.56E+05,4.47E+05,7.59E+05,5.57E+05,1.04:1.32:1.21:1.00:1.49:1.46:2.48:1.82,3.44E+05,5.55E+05,1.00:1.61,19030,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus GN=Nudt3 PE=1 SV=1
Q9ERD7|TBB3_MOUSE,10.2,57,23,9,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.28E+06,9.45E+06,6.44E+06,7.56E+06,6.22E+06,6.27E+06,4.58E+06,4.40E+06,0.70:1.25:0.85:1.00:0.82:0.83:0.61:0.58,7.18E+06,5.37E+06,1.00:0.75,50419,Tubulin beta-3 chain OS=Mus musculus GN=Tubb3 PE=1 SV=1
P61161|ARP2_MOUSE,10.18,5,2,2,NEM_LysineArginine,0,0,0,0,4.42E+04,0,2.84E+05,0,0:0:0:0:1.00:0:6.44:0,0,8.21E+04,00:01.0,44761,Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1
P19253|RL13A_MOUSE,10.17,18,3,3,N-ethylmaleimide on cysteines; NEM_LysineArginine,5.17E+04,9.45E+04,5.55E+04,5.23E+04,8.58E+04,1.06E+05,4.04E+05,6.15E+04,0.99:1.81:1.06:1.00:1.64:2.02:7.72:1.18,6.35E+04,1.64E+05,1.00:2.59,23464,60S ribosomal protein L13a OS=Mus musculus GN=Rpl13a PE=1 SV=4
P97927|LAMA4_MOUSE,10.09,11,17,17,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.33E+06,1.60E+06,1.16E+06,1.62E+06,1.07E+06,1.02E+06,1.32E+06,8.20E+05,0.82:0.99:0.71:1.00:0.66:0.63:0.81:0.50,1.43E+06,1.06E+06,1.00:0.74,201818,Laminin subunit alpha-4 OS=Mus musculus GN=Lama4 PE=1 SV=2
P26883|FKB1A_MOUSE,10.06,22,2,2,NEM_LysineArginine,5.67E+05,6.48E+05,6.03E+05,6.79E+05,7.33E+05,9.24E+05,1.37E+06,1.00E+06,0.83:0.95:0.89:1.00:1.08:1.36:2.02:1.48,6.24E+05,1.01E+06,1.00:1.62,11923,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus GN=Fkbp1a PE=2 SV=2
Q09098|PATE4_MOUSE,10.02,7,1,1,D5 N-ethylmaleimide on cysteines,0,0,0,0,0,7.67E+05,0,9.39E+05,0:0:0:0:0:1.00:0:1.22,0,4.26E+05,00:01.0,11058,Prostate and testis expressed protein 4 OS=Mus musculus GN=Pate4 PE=1 SV=3
Q8C1B7|SEP11_MOUSE,9.85,12,6,3,,3.96E+05,4.35E+05,4.27E+05,3.68E+05,4.94E+05,7.22E+05,8.91E+05,5.66E+05,1.08:1.18:1.16:1.00:1.34:1.96:2.42:1.54,4.06E+05,6.63E+05,1.00:1.63,49695,Septin-11 OS=Mus musculus GN=Sept11 PE=1 SV=4
P08905|LYZ2_MOUSE,9.85,26,4,1,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,0,0,0,0,9.16E+05,9.52E+05,3.01E+06,7.17E+05,0:0:0:0:1.00:1.04:3.28:0.78,0,1.40E+06,00:01.0,16689,Lysozyme C-2 OS=Mus musculus GN=Lyz2 PE=1 SV=2
P19246|NFH_MOUSE,9.84,45,58,50,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,6.21E+07,8.05E+07,6.12E+07,7.34E+07,7.19E+07,5.96E+07,4.15E+07,5.27E+07,0.85:1.10:0.83:1.00:0.98:0.81:0.56:0.72,6.93E+07,5.64E+07,1.00:0.81,116994,Neurofilament heavy polypeptide OS=Mus musculus GN=Nefh PE=1 SV=3
P54728|RD23B_MOUSE,9.8,14,5,5,,4.80E+05,5.61E+05,4.11E+05,5.16E+05,5.66E+05,6.26E+05,8.87E+05,5.76E+05,0.93:1.09:0.80:1.00:1.10:1.21:1.72:1.12,4.92E+05,6.64E+05,1.00:1.35,43517,UV excision repair protein RAD23 homolog B OS=Mus musculus GN=Rad23b PE=1 SV=1
Q9EPC1|PARVA_MOUSE,9.79,10,3,3,,5.79E+04,5.53E+04,6.61E+04,4.39E+04,8.66E+04,1.80E+05,2.98E+05,1.00E+05,1.32:1.26:1.51:1.00:1.97:4.10:6.79:2.29,5.58E+04,1.66E+05,1.00:2.98,42330,Alpha-parvin OS=Mus musculus GN=Parva PE=1 SV=1
P47911|RL6_MOUSE,9.78,8,2,2,,1.14E+05,6.99E+04,1.28E+05,7.96E+04,1.24E+05,2.10E+05,5.18E+05,1.10E+05,1.43:0.88:1.60:1.00:1.56:2.64:6.52:1.38,1.00E+05,2.41E+05,1.00:2.40,33510,60S ribosomal protein L6 OS=Mus musculus GN=Rpl6 PE=1 SV=3
P11680|PROP_MOUSE,9.68,5,2,2,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,0,0,0,0,0,0,5.35E+05,0,0:0:0:0:0:0:1.00:0,0,1.34E+05,00:01.0,50327,Properdin OS=Mus musculus GN=Cfp PE=2 SV=2
O55131|SEPT7_MOUSE,9.57,17,7,6,NEM_LysineArginine,3.80E+05,5.09E+05,4.27E+05,3.72E+05,4.18E+05,6.25E+05,9.59E+05,5.54E+05,1.02:1.37:1.15:1.00:1.12:1.68:2.58:1.49,4.22E+05,6.39E+05,1.00:1.51,50550,Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1
P80314|TCPB_MOUSE,9.4,11,4,4,NEM_LysineArginine,3.38E+05,4.15E+05,4.65E+05,3.49E+05,5.04E+05,5.39E+05,9.31E+05,4.07E+05,0.97:1.19:1.33:1.00:1.44:1.55:2.67:1.17,3.92E+05,5.95E+05,1.00:1.52,57477,T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4
P16125|LDHB_MOUSE,9.36,31,12,10,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,4.48E+05,5.16E+05,4.52E+05,4.05E+05,4.15E+05,5.71E+05,8.35E+05,1.18E+06,1.11:1.27:1.12:1.00:1.02:1.41:2.06:2.92,4.55E+05,7.51E+05,1.00:1.65,36572,L-lactate dehydrogenase B chain OS=Mus musculus GN=Ldhb PE=1 SV=2
Q8CGK3|LONM_MOUSE,9.29,1,1,1,,6.03E+05,6.49E+05,5.62E+05,7.63E+05,8.20E+05,1.27E+06,1.78E+06,1.11E+06,0.79:0.85:0.74:1.00:1.07:1.66:2.33:1.46,6.44E+05,1.24E+06,1.00:1.93,105843,Lon protease homolog  mitochondrial OS=Mus musculus GN=Lonp1 PE=1 SV=2
P49312|ROA1_MOUSE,9.24,5,2,1,NEM_LysineArginine,0,0,0,0,0,8.35E+04,6.52E+05,9.97E+04,0:0:0:0:0:1.00:7.82:1.20,0,2.09E+05,00:01.0,34196,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2
Q7TPR4|ACTN1_MOUSE,9.24,19,14,5,NEM_LysineArginine,2.70E+05,1.60E+05,4.03E+05,1.80E+05,3.08E+05,3.72E+05,1.02E+06,9.62E+04,1.50:0.89:2.24:1.00:1.71:2.06:5.65:0.53,2.53E+05,4.81E+05,1.00:1.90,103068,Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=2 SV=1
Q9QWK4|CD5L_MOUSE,9.06,14,4,3,D5 N-ethylmaleimide on cysteines,2.32E+04,3.12E+04,0,2.44E+04,1.90E+04,2.85E+04,7.64E+05,3.72E+04,0.95:1.28:0:1.00:0.78:1.17:31.29:1.52,1.97E+04,2.12E+05,1.00:10.78,38836,CD5 antigen-like OS=Mus musculus GN=Cd5l PE=1 SV=2
Q62093|SRSF2_MOUSE,9.05,8,1,1,,0,0,0,0,0,4.17E+04,2.30E+05,0,0:0:0:0:0:1.00:5.52:0,0,6.79E+04,00:01.0,25476,Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4
Q8R1I1|QCR9_MOUSE,8.95,11,1,1,,1.62E+05,1.95E+05,1.40E+05,2.22E+05,5.76E+04,7.23E+04,1.31E+05,1.19E+05,0.73:0.88:0.63:1.00:0.26:0.33:0.59:0.54,1.80E+05,9.51E+04,1.00:0.53,7446,Cytochrome b-c1 complex subunit 9 OS=Mus musculus GN=Uqcr10 PE=1 SV=1
P14211|CALR_MOUSE,8.95,39,12,12,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,5.52E+05,4.45E+05,9.11E+04,6.19E+05,4.08E+04,6.91E+05,2.70E+06,4.64E+05,0.89:0.72:0.15:1.00:0.07:1.12:4.37:0.75,4.10E+05,9.75E+05,1.00:2.38,47995,Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1
Q6IRU2|TPM4_MOUSE,8.95,52,17,7,N-ethylmaleimide on cysteines; NEM_LysineArginine,1.64E+06,1.71E+06,1.53E+06,1.64E+06,1.75E+06,1.86E+06,3.52E+06,1.31E+06,1.00:1.04:0.93:1.00:1.07:1.14:2.15:0.80,1.63E+06,2.11E+06,1.00:1.30,28468,Tropomyosin alpha-4 chain OS=Mus musculus GN=Tpm4 PE=2 SV=3
P00920|CAH2_MOUSE,8.93,5,1,1,,1.10E+06,1.16E+06,9.34E+05,9.07E+05,5.05E+05,8.96E+05,5.74E+05,6.54E+05,1.21:1.28:1.03:1.00:0.56:0.99:0.63:0.72,1.03E+06,6.57E+05,1.00:0.64,29033,Carbonic anhydrase 2 OS=Mus musculus GN=Ca2 PE=1 SV=4
P07091|S10A4_MOUSE,8.86,9,1,1,NEM_LysineArginine,0,0,0,0,5.81E+04,0,5.32E+05,9.33E+04,0:0:0:0:1.00:0:9.14:1.60,0,1.71E+05,00:01.0,11721,Protein S100-A4 OS=Mus musculus GN=S100a4 PE=1 SV=1
P17183|ENOG_MOUSE,8.84,60,22,13,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,4.33E+06,4.54E+06,4.32E+06,3.98E+06,6.18E+06,5.94E+06,5.44E+06,6.67E+06,1.09:1.14:1.08:1.00:1.55:1.49:1.37:1.68,4.29E+06,6.06E+06,1.00:1.41,47297,Gamma-enolase OS=Mus musculus GN=Eno2 PE=1 SV=2
P60879|SNP25_MOUSE,8.83,16,2,2,,4.92E+05,4.95E+05,4.02E+05,6.02E+05,2.78E+05,2.40E+05,3.43E+05,2.48E+05,0.82:0.82:0.67:1.00:0.46:0.40:0.57:0.41,4.98E+05,2.68E+05,1.00:0.54,23315,Synaptosomal-associated protein 25 OS=Mus musculus GN=Snap25 PE=1 SV=1
P27573|MYP0_MOUSE,8.8,41,20,18,Oxidation (M); NEM_LysineArginine,7.89E+08,1.05E+09,8.25E+08,9.08E+08,1.09E+09,8.39E+08,7.18E+08,1.01E+09,0.87:1.15:0.91:1.00:1.20:0.92:0.79:1.12,8.92E+08,9.14E+08,1.00:1.02,27622,Myelin protein P0 OS=Mus musculus GN=Mpz PE=1 SV=1
Q8K183|PDXK_MOUSE,8.8,11,2,2,NEM_LysineArginine,2.39E+05,3.29E+05,2.22E+05,3.18E+05,3.42E+05,4.13E+05,8.56E+05,3.38E+05,0.75:1.04:0.70:1.00:1.08:1.30:2.70:1.06,2.71E+05,4.87E+05,1.00:1.80,35015,Pyridoxal kinase OS=Mus musculus GN=Pdxk PE=1 SV=1
P46660|AINX_MOUSE,8.78,23,14,8,Oxidation (M); NEM_LysineArginine,8.51E+05,1.21E+06,8.67E+05,1.13E+06,1.03E+06,8.75E+05,4.68E+05,5.91E+05,0.75:1.07:0.77:1.00:0.91:0.78:0.41:0.52,1.01E+06,7.40E+05,1.00:0.73,55742,Alpha-internexin OS=Mus musculus GN=Ina PE=1 SV=2
Q9WV54|ASAH1_MOUSE,8.74,3,1,1,,0,0,0,0,0,2.40E+05,5.42E+05,3.13E+05,0:0:0:0:0:1.00:2.26:1.30,0,2.74E+05,00:01.0,44670,Acid ceramidase OS=Mus musculus GN=Asah1 PE=1 SV=1
Q9R111|GUAD_MOUSE,8.71,4,2,2,,0,0,3.18E+04,2.17E+04,0,8.37E+04,5.22E+05,4.10E+04,0:0:1.47:1.00:0:3.85:24.03:1.89,1.34E+04,1.62E+05,1.00:12.07,51013,Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1
P29391|FRIL1_MOUSE,8.69,13,1,1,,9.28E+05,1.00E+06,1.09E+06,-,2.03E+06,1.48E+06,2.07E+06,1.20E+06,1.00:1.08:1.18:-:2.19:1.59:2.23:1.29,1.01E+06,1.70E+06,1.00:1.68,20802,Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2
Q61598|GDIB_MOUSE,8.68,22,9,5,N-ethylmaleimide on cysteines; NEM_LysineArginine,6.01E+05,6.20E+05,6.88E+05,6.14E+05,7.37E+05,7.58E+05,1.20E+06,6.63E+05,0.98:1.01:1.12:1.00:1.20:1.23:1.96:1.08,6.31E+05,8.40E+05,1.00:1.33,50537,Rab GDP dissociation inhibitor beta OS=Mus musculus GN=Gdi2 PE=1 SV=1
P59808|SASH1_MOUSE,8.67,2,1,1,D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.79E+05,0,0,4.85E+05,0,0,0,0,0.57:0:0:1.00:0:0:0:0,1.91E+05,0,1.00:0,135591,SAM and SH3 domain-containing protein 1 OS=Mus musculus GN=Sash1 PE=1 SV=1
P82347|SGCD_MOUSE,8.66,10,2,2,NEM_LysineArginine,4.88E+05,6.33E+05,3.21E+05,5.29E+05,3.74E+05,3.16E+05,3.63E+05,1.53E+05,0.92:1.20:0.61:1.00:0.71:0.60:0.69:0.29,4.93E+05,3.01E+05,1.00:0.61,32133,Delta-sarcoglycan OS=Mus musculus GN=Sgcd PE=1 SV=1
P99028|QCR6_MOUSE,8.65,20,1,1,D5 N-ethylmaleimide on cysteines,1.26E+06,1.47E+06,1.05E+06,1.59E+06,6.45E+05,7.34E+05,9.53E+05,8.30E+05,0.79:0.92:0.66:1.00:0.41:0.46:0.60:0.52,1.34E+06,7.91E+05,1.00:0.59,10435,Cytochrome b-c1 complex subunit 6  mitochondrial OS=Mus musculus GN=Uqcrh PE=1 SV=2
Q91VD9|NDUS1_MOUSE,8.61,2,1,1,,2.12E+05,2.82E+05,1.98E+05,3.61E+05,1.37E+05,1.23E+05,2.29E+05,1.44E+05,0.59:0.78:0.55:1.00:0.38:0.34:0.64:0.40,2.63E+05,1.58E+05,1.00:0.60,79749,NADH-ubiquinone oxidoreductase 75 kDa subunit  mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=1
P60202|MYPR_MOUSE,8.55,16,4,4,D5 N-ethylmaleimide on cysteines,7.00E+05,7.78E+05,5.66E+05,7.80E+05,1.07E+06,8.12E+05,9.69E+05,1.64E+06,0.90:1.00:0.73:1.00:1.37:1.04:1.24:2.10,7.06E+05,1.12E+06,1.00:1.59,30077,Myelin proteolipid protein OS=Mus musculus GN=Plp1 PE=1 SV=2
Q9JJU8|SH3L1_MOUSE,8.5,20,2,2,,3.47E+05,3.84E+05,2.94E+05,3.31E+05,3.30E+05,4.42E+05,7.82E+05,3.97E+05,1.05:1.16:0.89:1.00:1.00:1.34:2.36:1.20,3.39E+05,4.88E+05,1.00:1.44,12811,SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=2 SV=1
P10518|HEM2_MOUSE,8.5,19,4,4,N-ethylmaleimide on cysteines; NEM_LysineArginine,1.87E+06,1.72E+06,1.39E+06,1.69E+06,1.94E+06,2.07E+06,3.39E+06,1.94E+06,1.11:1.02:0.83:1.00:1.15:1.23:2.01:1.15,1.65E+06,2.37E+06,1.00:1.44,36024,Delta-aminolevulinic acid dehydratase OS=Mus musculus GN=Alad PE=1 SV=1
P17751|TPIS_MOUSE,8.47,39,9,9,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,1.32E+06,1.30E+06,1.08E+06,9.74E+05,1.22E+06,1.55E+06,2.22E+06,1.98E+06,1.36:1.33:1.11:1.00:1.25:1.59:2.28:2.03,1.17E+06,1.74E+06,1.00:1.49,26713,Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=3
Q9R1P4|PSA1_MOUSE,8.42,6,1,1,NEM_LysineArginine,2.19E+05,2.97E+05,3.08E+05,2.94E+05,3.83E+05,4.77E+05,8.31E+05,3.54E+05,0.74:1.01:1.05:1.00:1.30:1.62:2.83:1.20,2.79E+05,5.11E+05,1.00:1.83,29547,Proteasome subunit alpha type-1 OS=Mus musculus GN=Psma1 PE=1 SV=1
Q9R1Q8|TAGL3_MOUSE,8.4,15,2,2,NEM_LysineArginine,3.69E+05,7.31E+05,5.64E+05,5.72E+05,4.62E+05,4.13E+05,2.55E+05,3.38E+05,0.64:1.28:0.98:1.00:0.81:0.72:0.45:0.59,5.59E+05,3.67E+05,1.00:0.66,22471,Transgelin-3 OS=Mus musculus GN=Tagln3 PE=1 SV=1
A2AG50|MA7D2_MOUSE,8.36,3,2,2,NEM_LysineArginine,1.90E+05,2.36E+05,1.70E+05,2.28E+05,1.60E+05,1.48E+05,1.09E+05,8.79E+04,0.83:1.04:0.74:1.00:0.70:0.65:0.48:0.39,2.06E+05,1.26E+05,1.00:0.61,86050,MAP7 domain-containing protein 2 OS=Mus musculus GN=Map7d2 PE=1 SV=1
O70370|CATS_MOUSE,8.35,7,2,2,,1.13E+06,8.06E+05,1.17E+06,1.26E+06,1.43E+06,1.55E+06,2.45E+06,1.80E+06,0.89:0.64:0.93:1.00:1.14:1.22:1.94:1.42,1.09E+06,1.81E+06,1.00:1.66,38438,Cathepsin S OS=Mus musculus GN=Ctss PE=2 SV=1
Q91VJ2|PRDBP_MOUSE,8.33,25,6,6,NEM_LysineArginine,7.83E+05,7.84E+05,8.01E+05,7.99E+05,5.34E+05,5.71E+05,6.97E+05,5.59E+05,0.98:0.98:1.00:1.00:0.67:0.71:0.87:0.70,7.92E+05,5.90E+05,1.00:0.75,27853,Protein kinase C delta-binding protein OS=Mus musculus GN=Prkcdbp PE=1 SV=1
P63017|HSP7C_MOUSE,8.32,44,36,22,Oxidation (M); N-ethylmaleimide on cysteines; NEM_LysineArginine,9.09E+06,9.36E+06,7.33E+06,9.23E+06,8.29E+06,1.01E+07,1.38E+07,1.22E+07,0.98:1.01:0.79:1.00:0.90:1.09:1.49:1.32,8.75E+06,1.11E+07,1.00:1.27,70871,Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1
Q9R062|GLYG_MOUSE,8.32,4,1,1,,6.59E+05,6.40E+05,5.74E+05,5.89E+05,6.71E+05,7.63E+05,1.52E+06,9.68E+05,1.12:1.09:0.97:1.00:1.14:1.30:2.58:1.64,6.15E+05,9.80E+05,1.00:1.59,37402,Glycogenin-1 OS=Mus musculus GN=Gyg1 PE=2 SV=3
Q9WVA4|TAGL2_MOUSE,8.31,20,3,3,,5.68E+05,6.41E+05,5.41E+05,6.22E+05,5.70E+05,6.97E+05,1.56E+06,6.21E+05,0.91:1.03:0.87:1.00:0.92:1.12:2.51:1.00,5.93E+05,8.63E+05,1.00:1.46,22395,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4
