Accession,Description,Entry Name,Gene names,Y1_OG  (Spec count),Y2_OG (Spec count),Y3_OG (Spec count),Y4_OG (Spec count),Y5_OG (Spec count),Y6_OG (Spec count),Y1_HP (Spec count),Y2_HP (Spec count),Y3_HP (Spec count),Y4_HP (Spec count),Y5_HP (Spec count),Y6_HP (Spec count),O1_OG (Spec count),O2_OG (Spec count),O3_OG (Spec count),O4_OG (Spec count),O5_OG (Spec count),O6_OG (Spec count),O1_HP (Spec count),O2_HP (Spec count),O3_HP (Spec count),O4_HP (Spec count),O5_HP (Spec count),O6_HP (Spec count),G_value OG,SAM (D) OG,OG_Fold Change (Old/Young),G_value HP,SAM (D) HP,HP_Fold Change (Old/Young),G-val OG_HP,SAM (D) OG_HP
Q91X17,Uromodulin OS=Mus musculus GN=Umod PE=1 SV=1,UROM_MOUSE,Umod,9,10,7,7,7,5,9,10,6,6,7,8,7,2,5,3,8,5,2,13,5,5,6,5,3.244940932,-2.065,0.667,0.866302374,-1.066,0.783,4.138,-2.254
P01728,Ig lambda-2 chain V region OS=Mus musculus PE=3 SV=1,LV2A_MOUSE,0,6,4,1,0,3,0,2,2,1,0,2,2,4,3,4,4,5,5,1,2,1,1,3,2,2.966207074,1.539,1.786,2.74756E-06,0.288,1.111,2.389,1.289
Q00519,Xanthine dehydrogenase/oxidase OS=Mus musculus GN=Xdh PE=1 SV=5,XDH_MOUSE,Xdh,14,4,6,4,1,3,6,7,11,4,5,3,3,5,8,1,4,0,3,6,5,4,7,1,2.799776119,-0.814,0.656,0.548007587,-0.974,0.722,3.316,-1.151
P01887,Beta-2-microglobulin OS=Mus musculus GN=B2m PE=1 SV=2,B2MG_MOUSE,B2m,24,20,27,11,25,9,22,32,43,42,28,26,24,27,19,22,34,22,18,39,29,38,35,29,5.765216245,1.952,1.276,0.042517391,0.279,0.974,3.422,1.694
Q9CVB6,Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=1 SV=3,ARPC2_MOUSE,Arpc2,2,1,2,1,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2.194417471,-2.053,0.300,0.166666667,0.000,#DIV/0!,1.721,-1.432
P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2,FAS_MOUSE,Fasn,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1.987969447,0.931,6.000,0.166666667,0.000,#DIV/0!,1.403,0.912
P25785,Metalloproteinase inhibitor 2 OS=Mus musculus GN=Timp2 PE=1 SV=2,TIMP2_MOUSE,Timp2 Timp-2,4,1,3,1,0,0,6,5,7,4,2,1,1,2,0,0,0,0,1,4,5,4,2,1,1.905701511,-1.133,0.333,0.674603136,-0.999,0.680,2.540,-1.422
P16675,Lysosomal protective protein OS=Mus musculus GN=Ctsa PE=1 SV=1,PPGB_MOUSE,Ctsa Ppgb,10,12,9,8,11,11,6,4,3,1,2,1,16,10,15,5,11,8,8,10,7,2,3,1,0.168725961,0.000,1.066,3.388363322,1.294,1.824,1.792,0.719
P47867,Isoform 2 of Secretogranin-3 OS=Mus musculus GN=Scg3,SCG3_MOUSE,Scg3,2,1,3,1,2,1,0,3,3,0,0,0,0,0,1,1,0,0,0,2,2,1,0,0,2.89326011,-2.584,0.200,0.048602892,-0.042,0.833,1.765,-1.666
Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",C1TC_MOUSE,Mthfd1,0,0,2,1,1,0,0,0,1,0,0,0,3,1,6,0,0,0,0,2,0,0,0,0,2.121531182,0.957,2.500,0.002040938,0.360,2.000,1.969,0.992
O09051,Guanylate cyclase activator 2B OS=Mus musculus GN=Guca2b PE=2 SV=2,GUC2B_MOUSE,Guca2b,5,6,7,3,3,1,3,0,1,0,1,1,4,1,2,2,2,3,1,0,0,1,1,1,2.354073571,-1.599,0.560,0.04138775,-0.476,0.667,2.443,-1.216
P35454,Vasopressin-neurophysin 2-copeptin OS=Mus musculus GN=Avp PE=2 SV=1,NEU1_MOUSE,Oxt,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.556021457,-1.528,0.000,0.166666667,0.000,#DIV/0!,1.012,-1.397
P36369,Kallikrein 1-related peptidase b26 OS=Mus musculus GN=Klk1b26 PE=2 SV=1,K1B26_MOUSE,Klk1b26 Klk-26 Klk26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725370048,-0.887,0.000,0.166666667,0.000,#DIV/0!,1.132,-0.886
Q4VAH7,HEPACAM family member 2 OS=Mus musculus GN=Hepacam2 PE=2 SV=1,HECA2_MOUSE,Hepacam2 Miki,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327398976,-2.102,0.000,0.166666667,0.000,#DIV/0!,0.853,-1.716
A2AJ76,Hemicentin-2 OS=Mus musculus GN=Hmcn2 PE=2 SV=1,HMCN2_MOUSE,Hmcn2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446104732,-1.451,0.000,0.166666667,0.000,#DIV/0!,0.935,-1.342
A2ASQ1,Isoform 3 of Agrin OS=Mus musculus GN=Agrn,AGRIN_MOUSE,Agrn Agrin,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5955578,-1.526,0.000,0.000229531,-0.598,0.000,0.705,-1.704
Q8BHR2,Isoform 2 of Ecto-NOX disulfide-thiol exchanger 1 OS=Mus musculus GN=Enox1,ENOX1_MOUSE,Enox1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451366611,-1.470,0.000,0.003614225,-0.547,0.000,0.516,-1.636
Q8VDC1,FYVE and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Fyco1 PE=1 SV=1,FYCO1_MOUSE,Fyco1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507148656,-1.122,0.000,0.013572013,-0.500,0.000,0.514,-1.305
Q91XA9,Acidic mammalian chitinase OS=Mus musculus GN=Chia PE=1 SV=2,CHIA_MOUSE,Chia Chia1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955489298,-1.576,0.000,0.166666667,0.000,#DIV/0!,0.600,-1.414
Q9JI18,Low-density lipoprotein receptor-related protein 1B OS=Mus musculus GN=Lrp1b PE=1 SV=1,LRP1B_MOUSE,Lrp1b Lrpdit,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139365934,-0.866,0.000,0.166666667,0.000,#DIV/0!,0.724,-0.864
Q924A2,Isoform 2 of Protein capicua homolog OS=Mus musculus GN=Cic,CIC_MOUSE,Cic Kiaa0306,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.29554E-05,-0.596,0.000,0.232547788,-1.331,0.000,0.379,-1.561
A3FIN4,Isoform 3 of Phospholipid-transporting ATPase FetA OS=Mus musculus GN=Atp8b5,AT8B5_MOUSE,Atp8b5 Feta,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.024444064,-0.673,0.000,0.45047485,-1.472,0.000,0.720,-1.688
Q921C3,Isoform B of Bromodomain and WD repeat-containing protein 1 OS=Mus musculus GN=Brwd1,BRWD1_MOUSE,Brwd1 Wdr9,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001962238,-0.561,0.000,0.278256998,-1.369,0.000,0.381,-1.575
P97326,Cadherin-6 OS=Mus musculus GN=Cdh6 PE=1 SV=2,CADH6_MOUSE,Cdh6,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.502578254,-1.427,0.000,0.303,-1.3
Q99K51,Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3,PLST_MOUSE,Pls3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.377818344,-0.802,0.000,0.225,-0.802
P98086,Complement C1q subcomponent subunit A OS=Mus musculus GN=C1qa PE=1 SV=2,C1QA_MOUSE,C1qa,13,20,17,8,20,15,5,13,15,7,5,6,17,21,16,8,26,17,5,15,10,9,9,12,1.055766049,1.078,1.129,1.142699782,1.411,1.176,2.253,0.864
Q80U57,Regulating synaptic membrane exocytosis protein 3 OS=Mus musculus GN=Rims3 PE=2 SV=2,RIMS3_MOUSE,Rims3 Kiaa0237,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0.166666667,0.000,#DIV/0!,1.001348151,-1.478,0.250,0.704,-1.24
O88783,Coagulation factor V OS=Mus musculus GN=F5 PE=1 SV=1,FA5_MOUSE,F5,140,127,117,97,145,102,78,102,94,74,68,78,130,141,107,87,131,116,73,119,97,75,75,90,0.005482564,0.000,0.978,3.285012543,1.660,1.071,1.326,0.316
Q06890,Clusterin OS=Mus musculus GN=Clu PE=1 SV=1,CLUS_MOUSE,Clu Apoj Msgp-2,92,125,107,84,130,99,255,393,382,432,334,287,132,137,93,91,169,127,236,327,294,383,381,334,13.64719977,2.629,1.176,0.000145615,0.000,0.939,4.227,0.334
Q91Y47,Coagulation factor XI OS=Mus musculus GN=F11 PE=2 SV=2,FA11_MOUSE,F11,14,7,10,6,12,8,7,9,7,7,10,9,11,9,7,6,3,4,7,10,7,5,5,6,1.989165474,-1.127,0.702,0.336068285,-0.905,0.816,2.316,-1.323
Q02819,Nucleobindin-1 OS=Mus musculus GN=Nucb1 PE=1 SV=2,NUCB1_MOUSE,Nucb1 Nuc Nucb,12,11,9,6,11,10,7,7,8,3,5,7,19,15,9,9,13,8,6,8,10,8,5,4,1.959703924,1.217,1.237,0.209717619,0.752,1.108,2.188,0.963
Q8QZR4,Out at first protein homolog OS=Mus musculus GN=Oaf PE=2 SV=1,OAF_MOUSE,Oaf D9Ucla1,6,8,4,2,2,2,5,3,5,2,3,4,10,5,5,6,5,4,4,5,5,4,2,5,2.288842649,1.293,1.458,0.130639491,0.727,1.136,2.247,1.354
P09535,Insulin-like growth factor II OS=Mus musculus GN=Igf2 PE=1 SV=1,IGF2_MOUSE,Igf2 Igf-2,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.156178338,-0.855,0.333,0.247315395,-1.334,0.000,0.730,-1.614
P40936,Indolethylamine N-methyltransferase OS=Mus musculus GN=Inmt PE=1 SV=1,INMT_MOUSE,Inmt Temt,1,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.433680209,-1.106,0.200,0.013572013,-0.500,0.000,1.293,-1.186
Q8K297,Procollagen galactosyltransferase 1 OS=Mus musculus GN=Colgalt1 PE=1 SV=2,GT251_MOUSE,Colgalt1 Glt25d1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.001784717,-0.617,0.000,0.517001701,-1.724,0.200,0.676,-1.742
P50704,Alpha-defensin 24 OS=Mus musculus GN=Defa24 PE=3 SV=1,DEFA6_MOUSE,Defa6 Defcr6; Defa12 Defcr12,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.249062027,-0.900,0.167,0.166666667,0.000,#DIV/0!,0.877,-0.871
Q9R1P1,Proteasome subunit beta type-3 OS=Mus musculus GN=Psmb3 PE=1 SV=1,PSB3_MOUSE,Psmb3,3,3,3,3,2,2,1,0,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,2.028643898,-2.681,0.500,0.000229531,-0.598,0.000,2.130,-1.395
P16882,Isoform 2 of Growth hormone receptor OS=Mus musculus GN=Ghr,GHR_MOUSE,Ghr,0,3,0,0,0,3,2,5,4,4,5,7,0,0,0,4,3,0,0,0,0,4,4,5,0.011835743,0.000,1.167,2.814283358,-1.561,0.481,1.372,-0.887
Q62351,Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1,TFR1_MOUSE,Tfrc Trfr,33,34,24,13,30,26,13,16,7,6,9,9,21,28,18,17,21,24,4,15,7,6,9,10,2.351433444,-1.047,0.806,0.383681202,-0.645,0.850,2.855,-0.619
Q8R5M8,Isoform 5 of Cell adhesion molecule 1 OS=Mus musculus GN=Cadm1,CADM1_MOUSE,Cadm1 Igsf4 Necl2 Ra175 Syncam SynCam1 Tslc1,1,2,1,0,1,0,1,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0.83390867,-1.369,0.200,0.192526727,-0.891,0.500,1.310,-1.778
P20918,Plasminogen OS=Mus musculus GN=Plg PE=1 SV=3,PLMN_MOUSE,Plg,566,730,732,413,645,426,795,1187,1123,990,765,753,617,586,671,511,708,638,609,1049,1045,909,763,795,21.38710536,1.250,1.062,1.471159292,-0.736,0.921,5.240,0.708
Q05909,Receptor-type tyrosine-protein phosphatase gamma OS=Mus musculus GN=Ptprg PE=1 SV=1,PTPRG_MOUSE,Ptprg,9,4,5,6,6,8,6,5,8,5,5,4,6,1,3,4,5,6,5,4,5,4,4,4,2.770978543,-1.574,0.658,0.165356913,-0.926,0.788,2.609,-1.705
O70370,Cathepsin S OS=Mus musculus GN=Ctss PE=1 SV=2,CATS_MOUSE,Ctss Cats,5,0,1,2,1,1,2,1,0,0,1,0,5,0,1,1,1,0,5,4,4,1,1,0,0.169629238,-0.360,0.800,3.858824876,1.593,3.750,0.796,0.689
P11352,Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2,GPX1_MOUSE,Gpx1,7,6,5,9,8,7,2,7,5,8,4,4,6,7,4,6,8,3,4,3,3,3,2,3,0.72671719,-1.023,0.810,1.051905359,-1.505,0.600,1.881,-1.207
Q921I1,Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1,TRFE_MOUSE,Tf Trf,127,48,57,4,4,2,70,32,36,3,1,2,88,53,100,8,8,2,41,41,59,3,3,3,0.689545659,0.000,1.070,0.535758777,0.146,1.042,1.277,0
Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus GN=Pgd PE=1 SV=3",6PGD_MOUSE,Pgd,0,0,0,1,1,2,0,0,0,0,0,0,1,0,2,2,2,1,0,0,2,0,0,0,0.70293914,1.125,2.000,0.047454859,0.696,#DIV/0!,1.037,1.192
Q80YC5,Coagulation factor XII OS=Mus musculus GN=F12 PE=2 SV=2,FA12_MOUSE,F12,68,75,80,56,74,53,81,124,122,101,80,87,67,49,68,62,100,73,63,115,110,113,91,108,0.526048559,0.634,1.032,1.006545567,1.535,1.008,1.559,1.266
P19157,Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2,GSTP1_MOUSE,Gstp1 Gstpib,1,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,1.103209331,1.084,3.000,0.009139206,0.643,#DIV/0!,1.281,1.225
P01664,Ig kappa chain V-III region PC 7210 OS=Mus musculus PE=1 SV=1,KV3AC_MOUSE,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,1.536509438,-0.574,0.571,3.466195099,1.258,#DIV/0!,0.007,0
Q9D7Q1,Chitotriosidase-1 OS=Mus musculus GN=Chit1 PE=1 SV=2,CHIT1_MOUSE,Chit1,8,7,6,6,8,6,0,4,2,4,2,3,6,2,5,3,6,5,1,2,0,2,4,3,2.751899827,-2.577,0.659,0.007602764,-0.290,0.800,2.455,-1.207
P10649,Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2,GSTM1_MOUSE,Gstm1,4,3,0,4,7,2,0,0,0,0,0,1,15,6,1,0,5,3,1,0,0,0,0,0,1.78583213,0.657,1.500,0.06545972,0.115,1.000,1.661,0.568
Q09200,"Beta-1,4 N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=B4galnt1 PE=2 SV=1",B4GN1_MOUSE,B4galnt1 Galgt Galgt1 Ggm2,9,4,6,0,3,3,6,4,4,1,0,0,3,3,1,0,3,4,2,4,3,1,1,1,2.898095071,-1.122,0.560,0.028857963,-0.273,0.800,2.465,-1.085
Q07079,Insulin-like growth factor-binding protein 5 OS=Mus musculus GN=Igfbp5 PE=1 SV=1,IBP5_MOUSE,Igfbp5 Igfbp-5,18,15,12,8,12,9,19,12,14,12,11,12,9,5,11,4,12,7,5,15,17,13,10,15,6.131217824,-1.971,0.649,0.094225669,-0.364,0.938,4.159,-1.786
P26262,Plasma kallikrein OS=Mus musculus GN=Klkb1 PE=1 SV=2,KLKB1_MOUSE,Klkb1 Klk3 Pk,145,194,170,103,173,100,246,367,336,277,240,232,155,179,151,120,182,139,163,285,249,264,254,226,3.812795133,0.871,1.046,7.576411856,-2.961,0.849,0.593,-0.299
P21570,Angiogenin OS=Mus musculus GN=Ang PE=1 SV=1,ANGI_MOUSE,Ang Ang1 Rnase5 Rnase5a,3,2,0,0,0,1,1,1,1,0,1,1,4,1,2,0,1,0,3,1,4,0,1,2,0.03459503,0.000,1.333,1.245744817,1.377,2.200,1.116,1.06
P97333,Neuropilin-1 OS=Mus musculus GN=Nrp1 PE=1 SV=2,NRP1_MOUSE,Nrp1 Nrp,14,11,9,10,9,7,3,4,4,2,1,1,9,7,6,6,7,7,3,4,4,2,0,0,3.12214783,-1.774,0.700,0.007196679,-0.098,0.867,2.660,-0.865
O88200,C-type lectin domain family 11 member A OS=Mus musculus GN=Clec11a PE=2 SV=1,CLC11_MOUSE,Clec11a Scgf,12,13,8,6,10,5,7,9,10,9,7,6,8,8,7,7,5,5,6,7,9,5,5,6,1.327451277,-1.101,0.741,0.335703679,-1.482,0.792,1.760,-1.353
O09159,Lysosomal alpha-mannosidase OS=Mus musculus GN=Man2b1 PE=2 SV=4,MA2B1_MOUSE,Man2b1 Laman Man2b Manb,48,41,45,43,36,33,34,39,30,27,22,26,48,62,49,39,35,21,33,47,42,27,23,20,0.557632681,0.000,1.033,1.243710232,0.790,1.079,1.683,0.48
P31725,Protein S100-A9 OS=Mus musculus GN=S100a9 PE=1 SV=3,S10A9_MOUSE,S100a9 Cagb Mrp14,6,2,3,0,3,3,6,6,7,8,7,8,7,7,6,4,1,1,9,8,6,9,9,6,2.417776551,1.105,1.529,0.449569912,0.981,1.119,2.518,1.395
P06745,Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4,G6PI_MOUSE,Gpi Gpi1,4,5,5,4,1,1,0,1,1,0,0,0,12,8,5,2,2,1,1,0,1,0,0,0,2.066656534,0.862,1.500,0.012737845,0.282,1.000,2.017,0.702
P26883,Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Mus musculus GN=Fkbp1a PE=1 SV=2,FKB1A_MOUSE,Fkbp1a Fkbp1,2,1,1,1,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.550321471,-1.064,0.400,0.276076769,-0.945,0.250,1.224,-1.522
P97812,Indian hedgehog protein OS=Mus musculus GN=Ihh PE=1 SV=2,IHH_MOUSE,Ihh,1,2,1,2,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.744497304,-1.268,0.429,0.039963109,-0.920,0.000,1.062,-1.382
Q99M80,Isoform 5 of Receptor-type tyrosine-protein phosphatase T OS=Mus musculus GN=Ptprt,PTPRT_MOUSE,Ptprt,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.166666667,0.000,#DIV/0!,0.818067065,-1.207,0.333,0.600,-1.017
Q8CFG8,Complement C1s-B subcomponent OS=Mus musculus GN=C1sb PE=2 SV=1,CS1B_MOUSE,C1sb C1s Gm5077,44,44,33,31,39,33,33,44,51,28,29,33,37,43,32,29,50,35,23,47,0,29,31,26,0.024999057,0.000,1.009,4.973732144,-1.256,0.716,1.508,-0.618
P12804,Fibroleukin OS=Mus musculus GN=Fgl2 PE=1 SV=1,FGL2_MOUSE,Fgl2 Fiblp,6,6,2,3,2,2,5,6,7,4,4,5,7,2,1,1,3,0,4,4,5,4,2,3,1.369948459,-0.870,0.667,0.52898319,-1.625,0.710,2.054,-1.457
Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4,VINC_MOUSE,Vcl,24,25,22,19,14,18,4,9,9,4,4,6,19,15,28,10,13,12,3,8,7,4,4,4,2.689095296,-1.014,0.795,0.099732215,-0.688,0.833,2.784,-0.606
Q3U1T9,DENN domain-containing protein 1A OS=Mus musculus GN=Dennd1a PE=1 SV=2,DEN1B_MOUSE,Dennd1b,0,3,5,0,3,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0.900429575,-0.866,0.417,0.166666667,0.000,#DIV/0!,0.726,-0.74
O55234,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3,PSB5_MOUSE,Psmb5,3,4,5,5,3,3,0,0,0,0,0,0,1,0,2,3,3,4,0,0,0,0,0,0,2.356057119,-1.803,0.565,0.166666667,0.000,#DIV/0!,2.097,-1.008
P11680,Properdin OS=Mus musculus GN=Cfp PE=2 SV=2,PROP_MOUSE,Cfp Pfc,51,60,56,21,55,46,131,135,163,117,91,86,90,47,33,27,67,43,176,124,114,107,106,93,1.164729474,0.000,1.062,3.529259964,0.503,0.996,4.738,0.496
P29788,Vitronectin OS=Mus musculus GN=Vtn PE=1 SV=2,VTNC_MOUSE,Vtn,70,80,83,75,101,77,138,173,199,154,137,142,77,68,68,65,108,91,122,177,173,166,159,162,0.00018565,0.000,0.981,2.298917339,2.538,1.017,1.404,0.505
P70274,Selenoprotein P OS=Mus musculus GN=Sepp1 PE=2 SV=3,SEPP1_MOUSE,Sepp1 Selp,24,26,10,15,26,17,39,53,45,36,32,28,21,15,10,13,18,12,33,46,38,32,32,30,3.698693981,-1.377,0.754,0.052185131,-0.300,0.906,1.990,-0.86
Q9R0M4,Podocalyxin OS=Mus musculus GN=Podxl PE=1 SV=2,PODXL_MOUSE,Podxl Pclp1,5,6,3,3,3,1,4,7,2,5,2,1,0,2,1,2,3,2,0,3,4,3,3,5,3.392922424,-1.895,0.476,0.030488136,-0.336,0.857,2.431,-1.684
P21614,Vitamin D-binding protein OS=Mus musculus GN=Gc PE=1 SV=2,VTDB_MOUSE,Gc,542,714,850,544,861,621,1138,1541,1513,1424,1190,1086,719,479,719,594,975,736,1023,1494,1291,1298,1205,1145,6.738739921,0.903,1.022,0.058215332,0.108,0.945,3.476,0.311
Q99NH8,Isoform 2 of Triggering receptor expressed on myeloid cells 2 OS=Mus musculus GN=Trem2,TREM2_MOUSE,Trem2 Trem2a Trem2b Trem2c,1,1,1,1,0,0,1,0,0,0,0,0,3,1,1,1,0,1,4,0,0,0,0,0,0.409498949,0.963,1.750,0.740650862,0.684,4.000,1.469,1.162
Q9JI02,Secretoglobin family 2B member 20 OS=Mus musculus GN=Scgb2b20 PE=2 SV=1,S2B20_MOUSE,Scgb2b20 Abpd,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,3,4,2,0,0,0,1,0,0,0.947606505,1.023,2.000,0.002147473,0.557,#DIV/0!,1.031,0.987
P16301,Phosphatidylcholine-sterol acyltransferase OS=Mus musculus GN=Lcat PE=1 SV=2,LCAT_MOUSE,Lcat,29,33,43,26,49,41,25,37,32,27,19,21,28,37,33,20,41,44,17,27,17,26,17,22,0.25615348,-0.494,0.919,1.663643664,-1.793,0.783,1.444,-0.592
Q5BKQ4,Inactive pancreatic lipase-related protein 1 OS=Mus musculus GN=Pnliprp1 PE=2 SV=2,LIPR1_MOUSE,Pnliprp1,1,0,1,6,5,1,0,1,1,0,0,0,1,0,0,3,2,1,0,0,0,0,0,1,1.589777261,-0.846,0.500,0.031947822,-0.245,0.500,1.433,-0.803
P35330,Intercellular adhesion molecule 2 OS=Mus musculus GN=Icam2 PE=1 SV=1,ICAM2_MOUSE,Icam2 Icam-2,2,3,2,1,4,4,2,3,0,1,1,1,2,1,0,1,2,2,1,1,1,1,1,1,1.79458025,-1.986,0.500,0.010758949,-0.531,0.750,1.623,-1.689
Q8BWP8,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase OS=Mus musculus GN=B3gnt1 PE=2 SV=1",B4GA1_MOUSE,B4gat1 B3gnt1 B3gnt6,0,0,0,0,0,0,1,1,2,1,3,1,2,0,2,0,1,1,1,2,2,2,2,1,2.713337205,2.047,#DIV/0!,5.69546E-05,0.357,1.111,1.352,1.647
P05555,Isoform 2 of Integrin alpha-M OS=Mus musculus GN=Itgam,ITAM_MOUSE,Itgam,2,3,3,2,4,4,0,1,1,0,0,0,0,0,1,3,4,1,0,1,1,0,0,0,2.245234766,-1.799,0.500,0.074876278,0.088,1.000,1.733,-1.144
P01675,Ig kappa chain V-VI region SAPC 10 OS=Mus musculus PE=1 SV=1,KV6A1_MOUSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1.26606808,1.010,5.000,0.166666667,0.000,#DIV/0!,0.888,0.961
P01819,Ig heavy chain V region MOPC 141 OS=Mus musculus PE=4 SV=1,HVM43_MOUSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0.166666667,0.000,#DIV/0!,0.455402187,0.762,5.000,0.298,-0.598
O08807,Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1,PRDX4_MOUSE,Prdx4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0.756137457,1.578,#DIV/0!,0.001566354,0.461,2.000,0.719,1.655
Q9CZQ6,Retinoic acid early-inducible protein 1-epsilon OS=Mus musculus GN=Raet1e PE=1 SV=1,RAE1E_MOUSE,Raet1e,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1.158626182,2.092,#DIV/0!,0.10737979,0.044,1.000,0.699,1.613
P10605,Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2,CATB_MOUSE,Ctsb,29,33,34,36,42,31,19,17,16,16,14,17,51,32,33,18,37,38,27,21,20,15,17,14,0.12781111,0.000,1.020,2.032799899,0.979,1.152,1.229,0.416
P97399,Dentin sialophosphoprotein OS=Mus musculus GN=Dspp PE=1 SV=2,DSPP_MOUSE,Dspp Dmp3,1,5,3,2,4,2,7,3,3,3,7,5,2,3,4,1,3,3,1,3,3,1,6,1,0.020860907,0.000,0.941,2.912085931,-1.560,0.536,1.495,-1.344
P09581,Macrophage colony-stimulating factor 1 receptor OS=Mus musculus GN=Csf1r PE=1 SV=3,CSF1R_MOUSE,Csf1r Csfmr Fms,47,47,49,27,39,27,54,65,74,49,36,37,65,47,38,33,45,33,71,48,52,50,46,41,2.483509617,0.822,1.106,1.085810579,0.480,0.978,3.551,0.949
P97873,Lysyl oxidase homolog 1 OS=Mus musculus GN=Loxl1 PE=2 SV=3,LOXL1_MOUSE,Loxl1 Lox2 Loxl,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.435395259,-1.159,0.250,0.077022207,-0.834,0.333,0.795,-1.564
P62259,14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1,1433E_MOUSE,Ywhae,0,0,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.187495471,-0.430,0.400,0.022151703,-0.885,0.000,0.429,-0.663
